stock,date,gap,high
부스타,2020-09-16,1.2924,6270
JB금융지주,2020-12-16,1.461,6250
한전기술,2020-09-04,2.7569,20500
GS홈쇼핑,2020-10-29,3.0429,149000
국도화학,2020-12-17,3.3217,59100
바텍,2020-04-29,3.3708,27600
강원랜드,2020-05-27,3.4884,26700
현대그린푸드,2020-05-18,3.9542,9990
금화피에스시,2020-08-18,3.9587,30200
코텍,2020-06-09,4.4335,10600
크라운해태홀딩스,2020-09-07,4.9474,9970
한국캐피탈,2020-11-27,5.2632,620
대신증권우,2020-12-28,5.3097,11900
퍼시스,2020-12-11,5.3512,31500
에버다임,2020-09-17,5.4159,5450
기신정기,2020-09-09,5.75,4230
성창기업지주,2020-12-22,6.0852,2615
삼양통상,2020-08-18,6.1162,69400
삼익악기,2020-06-04,6.135,1730
케이프이에스제4호,2020-06-22,6.5534,2195
인포바인,2020-03-31,6.9652,21500
대신증권2우B,2020-12-28,7.0755,11350
코리안리,2020-04-17,7.0999,8900
모베이스,2020-12-03,7.1429,4725
신한지주,2020-06-04,7.3759,37850
동성코퍼레이션,2020-12-21,7.3812,5310
부국증권우,2020-11-23,7.4169,21000
우진플라임,2020-12-29,7.445,6350
맥쿼리인프라,2020-06-01,7.6577,11950
삼성카드,2020-12-22,7.6923,35700
S&TC,2020-06-08,7.8313,17900
신세계인터내셔날,2020-04-28,7.8431,220000
세아홀딩스,2020-12-09,7.874,82200
이상네트웍스,2020-11-16,7.9427,8290
GKL,2020-12-11,8.0357,18150
코리아에셋투자증권,2020-08-05,8.125,8650
오뚜기,2020-08-12,8.2902,627000
유니켐,2020-04-29,8.3067,1695
씨큐브,2020-05-29,8.4044,8900
우리금융지주,2020-06-04,8.4763,10750
NH투자증권우,2020-12-28,8.5549,9390
오리온홀딩스,2020-05-15,8.6022,15150
현대일렉트릭,2020-09-10,8.6162,20800
현대건설기계,2020-12-11,8.9572,40750
금호타이어,2020-09-17,9.0446,4280
진로발효,2020-03-10,9.1057,33550
이루온,2020-04-02,9.3093,1820
크리스에프앤씨,2020-09-04,9.3254,27550
씨티케이코스메틱스,2020-08-13,9.3548,16950
뉴프라이드,2020-03-09,9.484,785
용평리조트,2020-05-25,9.7804,5500
동아엘텍,2020-10-13,9.8485,10150
SPC삼립,2020-05-07,9.8611,79100
쌍용양회,2020-12-11,9.9259,7420
