stock,date,gap,high
롯데손해보험,2020-06-11,1.4218,2140
에이스침대,2020-07-01,1.686,48250
텔코웨어,2020-06-30,3.0769,13400
하이골드12호,2020-12-07,3.6585,2550
삼성화재우,2020-10-26,3.681,169000
토비스,2020-11-24,4.0426,9780
한국패러랠,2020-06-03,4.2607,2080
하이즈항공,2020-12-17,6.2092,6500
한국쉘석유,2020-12-21,6.3063,295000
서흥,2020-08-20,6.3492,60300
엠에스씨,2020-10-08,6.4286,5960
인피니트헬스케어,2020-06-25,6.7734,8670
KT&G,2020-06-03,6.8019,89500
우리로,2020-06-04,7.0681,2045
스카이라이프,2020-07-28,7.322,10700
인천도시가스,2020-09-15,7.3555,30650
상상인,2020-06-09,7.8005,8430
네오팜,2020-06-03,7.973,39950
코웰패션,2020-09-15,8.2812,6930
포시에스,2020-09-16,8.2969,9920
동우팜투테이블,2020-06-03,8.8643,3930
동원수산,2020-12-14,9.1102,10300
한글과컴퓨터,2020-09-15,9.5477,21800
에스넷,2020-09-09,9.7724,8200
한창산업,2020-10-07,10.0,9900
빙그레,2020-06-15,10.2564,68800
알루코,2020-08-13,10.3383,5870
휴네시온,2020-09-18,10.3395,7150
LS전선아시아,2020-12-18,10.3763,9680
JYP Ent,2020-12-03,10.6599,43600
매일유업,2020-06-16,10.7595,87500
한국콜마홀딩스,2020-07-21,11.0585,35150
동부건설,2020-12-11,11.1111,14500
예스코홀딩스,2020-12-02,11.2532,43500
LG생활건강우,2020-08-14,11.4685,797000
에스티아이,2020-07-23,11.5789,21200
조흥,2020-11-30,11.75,223500
휴젤,2020-10-23,11.7961,230300
알리코제약,2020-07-24,12.2374,15601
한창제지,2020-12-21,12.4,2810
미래산업,2020-07-02,12.5278,20255
미디어젠,2020-12-09,12.5392,17950
SK가스,2020-10-15,12.6087,129500
SGC에너지,2020-09-21,12.6362,51700
SG세계물산,2020-07-16,12.6675,925
디지털대성,2020-12-07,12.6946,9410
아난티,2020-06-05,12.7895,11200
화성산업,2020-10-16,12.8302,14950
하나제약,2020-08-05,13.177,26540
엔에스쇼핑,2020-09-11,13.2404,16250
타이거일렉,2020-12-03,13.4615,17700
디에이치피코리아,2020-12-21,13.8554,9450
메타바이오메드,2020-09-15,13.8889,3485
유화증권우,2020-09-17,14.2355,3250
창해에탄올,2020-08-03,14.2361,16450
브이티지엠피,2020-06-11,14.6055,10750
현대리바트,2020-07-15,14.6465,22700
코리아나,2020-08-19,14.8077,5970
오뚜기,2020-08-12,14.8352,627000
GS리테일,2020-06-03,15.2146,44300
토니모리,2020-07-03,15.2381,12100
재영솔루텍,2020-12-15,15.2778,1245
삼화왕관,2020-06-03,15.3318,50400
우리산업홀딩스,2020-06-04,15.3322,6770
무림페이퍼,2020-12-11,15.4362,3440
세진중공업,2020-09-11,15.507,8201
일신석재,2020-06-05,15.6044,2630
푸드웰,2020-12-16,15.6716,9300
에이블씨엔씨,2020-06-30,15.7663,10500
SK머티리얼즈,2020-12-29,15.7765,375000
코웨이,2020-08-11,15.9006,93300
에스씨디,2020-12-08,16.0194,2390
삼진제약,2020-08-06,16.158,32350
브랜드엑스코퍼레이션,2020-08-28,16.1943,14350
현대해상,2020-06-10,16.4241,28000
한국전력,2020-12-18,16.4729,30050
에프엔씨엔터,2020-10-12,16.6667,7420
삼양사,2020-08-13,16.7939,76500
젠큐릭스,2020-06-25,17.0213,27500
윙입푸드,2020-06-10,17.1521,1810
한솔홈데코,2020-11-09,17.2566,2650
티와이홀딩스,2020-09-22,17.4312,32000
하이트진로,2020-06-24,17.9198,47050
디지틀조선,2020-08-14,17.9747,4660
피씨디렉트,2020-07-15,18.0617,13400
광전자,2020-10-21,18.0915,2970
이월드,2020-07-03,18.1001,4600
보광산업,2020-08-28,18.1572,8720
셀바스헬스케어,2020-09-07,18.2283,3470
진흥기업2우B,2020-09-18,18.5567,23000
샘표,2020-07-24,18.5886,68900
기산텔레콤,2020-06-04,18.6207,3440
금비,2020-12-29,18.6747,98500
대양제지,2020-12-17,18.7117,3870
젬백스링크,2020-06-10,18.7135,2030
아이앤씨,2020-08-21,18.8867,5980
다믈멀티미디어,2020-12-29,19.0131,4100
한국정보통신,2020-12-02,19.0476,11000
푸드나무,2020-08-11,19.3182,31500
제이엠아이,2020-06-09,19.4553,1535
라파스,2020-06-24,19.8767,38900
티플랙스,2020-07-24,19.9257,4845
파버나인,2020-08-31,20.0,7500
와이지엔터테인먼트,2020-09-09,20.0397,60500
일성신약,2020-07-24,20.1335,108000
KG이니시스,2020-07-15,20.1835,26200
에이루트,2020-11-13,20.2435,7900
평화산업,2020-06-11,20.3187,1510
디에스케이,2020-10-13,20.3528,8870
한진중공업,2020-09-17,20.4465,10250
보라티알,2020-12-17,20.4678,20600
덴티스,2020-06-22,20.4808,17289
에스코넥,2020-10-16,20.5231,2995
아나패스,2020-09-09,20.6827,30050
코데즈컴바인,2020-06-22,20.9059,3470
KH바텍,2020-08-05,21.0162,26200
유아이엘,2020-06-25,21.066,4770
다우데이타,2020-07-31,21.1604,17750
삼화전자,2020-11-27,21.2195,4970
이미지스,2020-07-13,21.365,4090
신일전자,2020-06-08,21.4112,2495
오픈베이스,2020-07-09,21.5625,3890
케이엔더블유,2020-10-30,21.7292,10700
마크로젠,2020-08-07,21.7868,38850
KC그린홀딩스,2020-12-17,22.0441,6090
동양피스톤,2020-09-16,22.4194,7590
이크레더블,2020-08-07,22.5287,26650
NICE,2020-07-03,22.6158,22500
대호특수강,2020-10-30,22.6216,1160
THE E&M,2020-12-01,22.8216,1480
NHN,2020-07-08,22.8304,92000
WI,2020-10-13,22.8571,1935
오션브릿지,2020-07-09,22.973,22750
TPC,2020-09-18,23.1127,5300
다원시스,2020-08-31,23.1368,23396
신흥,2020-10-30,23.2877,18000
한양디지텍,2020-07-29,23.3108,7300
마니커,2020-06-03,23.4456,953
SK증권,2020-07-02,23.4742,1315
한국화장품,2020-08-13,24.2188,15900
유니트론텍,2020-10-14,24.3017,8900
휴켐스,2020-11-09,24.5495,27650
제노레이,2020-08-14,24.6445,13150
S&K폴리텍,2020-06-04,24.6552,7230
아이센스,2020-09-11,25.0,34500
원방테크,2020-12-21,25.0545,57400
에스엔유,2020-10-20,25.0585,5340
나이스디앤비,2020-08-06,25.1163,13450
뉴파워프라즈마,2020-11-02,25.12,7820
동국제약,2020-09-10,25.3033,36150
휴맥스홀딩스,2020-10-13,25.3121,5520
우리기술,2020-11-20,25.5034,1870
다스코,2020-09-09,25.7549,7080
에이텍,2020-08-14,25.853,47950
머큐리,2020-07-14,25.8706,12650
정원엔시스,2020-09-01,25.8907,2650
경농,2020-08-10,26.1146,19800
케어젠,2020-06-10,26.1261,84000
대원,2020-10-15,26.3415,12950
일야,2020-06-03,26.4234,866
조비,2020-08-10,26.4271,29900
더블유게임즈,2020-06-24,26.5487,85800
디자인,2020-08-24,26.9531,16250
아이디스홀딩스,2020-09-18,27.0758,17600
KCI,2020-08-25,27.5304,12600
인터엠,2020-06-23,27.5964,2150
동아에스티,2020-08-06,27.7974,108500
파인텍,2020-06-08,27.8689,1950
보락,2020-09-14,28.0488,3150
오가닉티코스메틱,2020-06-30,28.1915,1205
컬러레이,2020-11-10,28.4464,2935
에스원,2020-08-18,28.5363,104500
동양고속,2020-06-18,28.5448,34450
HDC현대EP,2020-10-14,28.6899,7760
대창솔루션,2020-10-16,28.7879,680
COWON,2020-12-21,28.8462,3685
코위버,2020-09-08,28.877,12050
웨이브일렉트로,2020-06-03,28.8779,10452
하이브,2020-10-15,28.9388,347490
동아쏘시오홀딩스,2020-12-04,29.0984,157500
메타랩스,2020-08-13,29.1139,1530
하이트진로홀딩스,2020-06-24,29.1667,24800
네오크레마,2020-10-06,29.1892,11950
대아티아이,2020-07-08,29.2484,7910
유엔젤,2020-08-28,29.4811,5490
소프트센,2020-06-03,29.5,2590
태양금속우,2020-09-18,29.5238,4760
램테크놀러지,2020-06-05,29.5522,8680
서진시스템,2020-09-07,29.6505,57500
인베니아,2020-10-08,29.7297,3600
아남전자,2020-12-30,29.7659,3880
삼영엠텍,2020-09-08,29.8587,7350
대양금속,2020-06-08,29.8969,6300
한국화장품제조,2020-08-13,29.909,49950
모토닉,2020-09-10,30.0,16250
대유,2020-07-24,30.136,12441
오공,2020-06-15,30.1498,6950
가비아,2020-07-10,30.1695,19200
코엔텍,2020-06-05,30.2476,12100
파이오링크,2020-10-05,30.6273,17700
잇츠한불,2020-08-21,30.6291,39450
KG모빌리언스,2020-06-23,30.8057,13800
차바이오텍,2020-06-10,30.8673,25650
성창오토텍,2020-09-15,31.5789,12500
에프에스티,2020-06-26,31.7195,39450
티앤엘,2020-11-20,31.7957,80000
NICE평가정보,2020-12-28,31.8872,30400
헝셩그룹,2020-06-23,31.9018,860
큐브엔터,2020-09-01,31.9774,5840
크리스탈신소재,2020-11-13,32.0242,2185
계양전기우,2020-06-18,32.0639,10750
켐트로스,2020-08-12,32.1045,8600
탑엔지니어링,2020-08-12,32.2404,12100
바이오솔루션,2020-12-04,32.3993,37800
쎌바이오텍,2020-12-23,32.4121,26350
제일파마홀딩스,2020-11-11,32.5301,33000
나무기술,2020-09-17,32.5658,4030
유라테크,2020-11-19,32.8185,17200
이그잭스,2020-06-10,32.8691,2385
코스맥스비티아이,2020-07-17,32.9208,26850
남성,2020-11-19,32.9897,5160
서호전기,2020-09-07,33.012,27600
영흥,2020-11-17,33.0544,1590
에코마케팅,2020-09-04,33.1325,33150
삼양사우,2020-07-29,33.1349,67100
농심,2020-07-14,33.1675,401500
미스터블루,2020-07-10,33.1858,15050
초록뱀미디어,2020-09-28,33.2039,3430
유니온,2020-07-27,33.2533,11100
기가레인,2020-12-23,33.2636,3185
동진쎄미켐,2020-08-11,33.2762,38850
우양,2020-12-21,33.3898,7870
엠플러스,2020-09-22,33.4267,20014
윈스,2020-09-11,33.5211,23700
일지테크,2020-11-06,33.7838,5940
홈센타홀딩스,2020-07-31,33.8272,1626
오파스넷,2020-12-29,33.8583,6800
알티캐스트,2020-10-08,34.0517,3110
소프트캠프,2020-12-18,34.2894,5150
아이쓰리시스템,2020-08-14,34.414,26950
알에프세미,2020-10-14,34.4178,7850
와이어블,2020-06-10,34.4595,5970
DRB동일,2020-09-04,34.6397,10650
유앤아이,2020-06-08,34.9785,6290
고려제약,2020-07-23,35.023,14650
선데이토즈,2020-06-23,35.1064,31750
체리부로,2020-07-15,35.2814,3125
유한양행우,2020-06-09,35.4095,83006
KR모터스,2020-12-04,35.8333,1630
피델릭스,2020-06-23,35.9375,2175
한일단조,2020-06-19,36.0771,3885
우리금융캐피탈,2020-10-21,36.2869,16150
제이스텍,2020-06-09,36.541,10500
에이엔피,2020-12-09,36.7601,2195
나무가,2020-09-10,36.8479,12330
위세아이텍,2020-07-29,36.8528,18133
대한뉴팜,2020-09-03,36.9099,15950
휴맥스,2020-08-14,36.9485,6642
고려산업,2020-08-26,37.1007,5580
한국기업평가,2020-12-28,37.1528,118500
제이브이엠,2020-11-23,37.2093,23600
풍국주정,2020-07-01,37.3737,27200
NHN한국사이버결제,2020-08-31,37.3945,70346
대한약품,2020-09-08,37.464,47700
LS ELECTRIC,2020-09-07,37.5,79200
아미코젠,2020-09-21,37.5346,49650
현대이지웰,2020-12-15,37.6744,14800
비츠로셀,2020-07-30,37.8738,20750
모다이노칩,2020-10-14,37.931,5600
케이피에프,2020-10-15,38.1381,6900
대우부품,2020-10-13,38.1526,3440
스맥,2020-10-23,38.172,2570
한익스프레스,2020-12-08,38.3217,9890
미투온,2020-08-14,38.3808,9230
바른손,2020-12-01,38.5762,4185
엘컴텍,2020-06-04,38.6293,2225
녹원씨엔아이,2020-08-10,38.6482,8000
조광피혁,2020-06-19,38.6643,78900
네오위즈,2020-08-07,38.6892,32800
오리온,2020-08-14,38.8186,164500
삼륭물산,2020-12-16,38.9914,11300
우리넷,2020-06-04,39.1403,12300
시너지이노베이션,2020-09-18,39.3643,5700
피엔케이피부임상연구센타,2020-09-09,39.4737,31800
조이시티,2020-12-29,39.607,13500
시큐브,2020-06-19,39.8026,2125
CJ씨푸드,2020-08-31,39.8139,6760
에이치엘비제약,2020-09-10,40.0651,21500
