stock,date,gap,high
에버다임,2020-09-17,0.9259,5450
현대건설기계,2020-12-11,1.1166,40750
현대그린푸드,2020-05-18,2.6721,9990
GS홈쇼핑,2020-10-29,2.7586,149000
대신증권우,2020-12-28,3.0303,11900
국도화학,2020-12-17,3.3217,59100
강원랜드,2020-05-27,3.6893,26700
삼양통상,2020-08-18,3.7369,69400
바텍,2020-04-29,3.7594,27600
금화피에스시,2020-08-18,3.7801,30200
크라운해태홀딩스,2020-09-07,3.8542,9970
코텍,2020-06-09,4.4335,10600
대신증권2우B,2020-12-28,4.6083,11350
우진플라임,2020-12-29,4.7855,6350
씨큐브,2020-05-29,5.3254,8900
신한지주,2020-06-04,5.4318,37850
삼익악기,2020-06-04,6.135,1730
세아홀딩스,2020-12-09,6.2016,82200
우리금융지주,2020-06-04,6.4356,10750
케이프이에스제4호,2020-06-22,6.5534,2195
코리안리,2020-04-17,6.5868,8900
NH투자증권우,2020-12-28,7.0696,9390
GKL,2020-12-11,7.0796,18150
맥쿼리인프라,2020-06-01,7.1749,11950
삼성카드,2020-12-22,7.2072,35700
현대일렉트릭,2020-09-10,7.2165,20800
부국증권우,2020-11-23,7.4169,21000
퍼시스,2020-12-11,7.5085,31500
오뚜기,2020-08-12,7.5472,627000
씨티케이코스메틱스,2020-08-13,7.9618,16950
보성파워텍,2020-10-19,8.061,2480
신송홀딩스,2020-12-17,8.4708,4930
S&TC,2020-06-08,8.4848,17900
성창기업지주,2020-12-22,8.5062,2615
코리아에셋투자증권,2020-08-05,8.532,8650
보해양조,2020-12-09,8.5714,1140
인포바인,2020-03-31,8.5859,21500
이상네트웍스,2020-11-16,9.0789,8290
금호타이어,2020-09-17,9.1837,4280
동성코퍼레이션,2020-12-21,9.2593,5310
진로발효,2020-03-10,9.2834,33550
동방아그로,2020-08-06,9.375,7350
오리온홀딩스,2020-05-15,9.3863,15150
뉴프라이드,2020-03-09,9.484,785
제룡산업,2020-12-17,9.5729,7440
유니켐,2020-04-29,9.7087,1695
신세계인터내셔날,2020-04-28,9.7257,220000
용평리조트,2020-05-25,9.7804,5500
대성에너지,2020-09-16,9.9624,5850
세이브존I&C,2020-10-12,9.9851,3690
쌍용양회,2020-12-11,10.089,7420
삼성화재,2020-11-19,10.1299,212000
크리스에프앤씨,2020-09-04,10.4208,27550
동아엘텍,2020-10-13,10.5664,10150
미래에셋생명,2020-09-10,10.5968,4540
진양홀딩스,2020-07-10,10.6227,3020
피제이메탈,2020-08-04,10.6996,2690
한국자산신탁,2020-12-22,11.0971,4405
SPC삼립,2020-05-07,11.2518,79100
인바디,2020-05-11,11.2903,20700
광주신세계,2020-10-08,11.3497,181500
GS우,2020-06-19,11.36,34800
한국토지신탁,2020-12-21,11.4428,2240
LG상사,2020-12-23,11.5242,30000
KT&G,2020-06-03,11.7353,89500
정상제이엘에스,2020-03-09,11.84,6990
삼천리,2020-09-10,11.8644,92400
동성화인텍,2020-11-25,12.069,13000
우리손에프앤지,2020-06-02,12.1212,2590
이스트소프트,2020-10-05,12.1343,10350
아시아경제,2020-10-14,12.212,2435
이니텍,2020-07-09,12.3711,5450
정산애강,2020-07-20,12.4402,2350
아스트,2020-03-11,12.4585,6770
SBS콘텐츠허브,2020-06-23,12.4807,7300
카프로,2020-11-25,12.5298,4715
이루온,2020-04-02,12.6935,1820
제일기획,2020-10-15,12.7139,23050
에스제이그룹,2020-06-15,12.7814,24248
와이지-원,2020-11-25,12.8284,7300
기업은행,2020-06-04,12.9032,10150
화일약품,2020-08-06,13.0159,17800
노랑풍선,2020-11-17,13.0785,28100
휴비츠,2020-03-09,13.1378,8870
신일전자,2020-05-20,13.1403,2540
골프존뉴딘홀딩스,2020-11-06,13.1498,7400
코스맥스,2020-10-12,13.3333,127500
동원F&B,2020-05-18,13.3501,225000
노바렉스,2020-08-10,13.5068,45800
에이텍티앤,2020-08-14,13.5185,30650
디지캡,2020-08-27,13.5496,5950
TS인베스트먼트,2020-11-25,13.6598,4410
세아제강지주,2020-09-08,13.7212,51800
현대홈쇼핑,2020-12-16,13.7709,88400
영원무역홀딩스,2020-06-03,13.7845,45400
동남합성,2020-12-28,13.8829,52500
코스메카코리아,2020-08-13,13.9706,15500
화성밸브,2020-06-04,14.0,6840
신세계푸드,2020-05-14,14.0376,78800
무학,2020-09-17,14.1194,7840
SK머티리얼즈,2020-12-29,14.1205,375000
혜인,2020-05-27,14.1447,6940
KSS해운,2020-11-12,14.218,12050
옵티시스,2020-09-16,14.4444,10300
한국패러랠,2020-03-09,14.7287,2220
바다로19호,2020-03-09,14.7917,2755
한국큐빅,2020-12-30,14.9038,4780
아가방컴퍼니,2020-03-09,15.0,4140
드림시큐리티,2020-09-17,15.0235,4900
엔피케이,2020-12-21,15.0376,2295
동성화학,2020-06-05,15.0943,18300
한화손해보험,2020-12-07,15.3374,4700
한라IMS,2020-06-04,15.5298,7960
부방,2020-12-15,15.5635,3230
LG생활건강우,2020-03-11,15.6609,805000
넥센,2020-05-08,15.7328,5370
진도,2020-12-02,15.7895,5500
코메론,2020-09-16,16.2403,10450
일진파워,2020-09-16,16.3227,6200
JTC,2020-12-03,16.3842,6180
NPC우,2020-06-19,16.4583,2795
브리지텍,2020-08-27,16.6881,4545
아주IB투자,2020-12-03,16.7644,4980
삼일,2020-12-11,16.8224,2500
한국특수형강,2020-12-04,16.8478,2150
성문전자,2020-09-07,16.8798,2285
경방,2020-05-29,16.9231,15200
HDC,2020-09-14,16.9725,12750
글로벌텍스프리,2020-12-04,17.0732,3600
인산가,2020-09-17,17.1429,2255
현대중공업지주,2020-06-02,17.1735,327500
화천기공,2020-05-08,17.2196,37100
삼영무역,2020-03-11,17.2414,17000
삼천리자전거,2020-06-19,17.2549,14950
드림어스컴퍼니,2020-12-11,17.2862,6310
남해화학,2020-08-10,17.3349,9950
현대해상,2020-06-10,17.4004,28000
코웰패션,2020-09-15,17.4576,6930
고려아연,2020-08-07,17.4843,467000
애경산업,2020-04-28,17.505,29200
멀티캠퍼스,2020-10-26,17.6829,38600
도이치모터스,2020-05-26,17.7545,7866
삼성화재우,2020-10-26,17.77,169000
시디즈,2020-08-18,17.8333,70700
태경산업,2020-11-12,17.8445,6670
고려신용정보,2020-05-18,17.9104,7110
신세계 I&C,2020-09-14,17.9775,157500
부국증권,2020-10-23,18.0556,25500
대우조선해양,2020-06-02,18.0769,30700
한국전자인증,2020-05-26,18.0905,9400
에스넷,2020-09-09,18.1556,8200
예림당,2020-12-17,18.1667,3545
티플랙스,2020-07-24,18.1707,4845
LG유플러스,2020-05-13,18.2573,14250
SM C&C,2020-07-03,18.2891,2005
대동스틸,2020-05-26,18.2994,6400
매일홀딩스,2020-03-09,18.3908,10300
농심홀딩스,2020-06-17,18.4032,87500
에스티아이,2020-07-23,18.4358,21200
중앙에너비스,2020-04-06,18.6709,11250
대양제지,2020-12-17,18.7117,3870
진바이오텍,2020-08-06,18.7192,7230
미래에셋대우2우B,2020-08-11,18.8235,5050
서진오토모티브,2020-10-23,18.8356,3470
우진아이엔에스,2020-08-24,19.1576,8770
대원화성,2020-05-27,19.2513,2230
지역난방공사,2020-05-18,19.2935,43900
한샘,2020-07-15,19.3237,123500
이녹스첨단소재,2020-09-15,19.3685,53119
경동도시가스,2020-09-16,19.5251,22650
한국쉘석유,2020-12-21,19.6755,295000
삼일기업공사,2020-12-24,19.6885,5380
에스티큐브,2020-06-17,19.7368,13650
유니트론텍,2020-10-14,19.7847,8900
지란지교시큐리티,2020-05-18,19.8582,6760
아나패스,2020-09-09,19.9601,30050
나이스정보통신,2020-05-15,20.0,34200
티앤알바이오팹,2020-12-01,20.2046,23500
빅솔론,2020-07-23,20.2559,5640
맵스리얼티1,2020-03-10,20.2952,4890
유성티엔에스,2020-12-17,20.3175,3790
파인테크닉스,2020-08-04,20.3704,5850
동아지질,2020-04-22,20.3762,19200
인천도시가스,2020-09-15,20.4322,30650
피앤씨테크,2020-10-13,20.6637,8000
GS리테일,2020-05-14,20.6989,44900
삼양옵틱스,2020-04-20,20.7277,10950
뉴트리,2020-05-18,20.7581,33450
동아타이어,2020-08-05,20.7729,12500
한전KPS,2020-06-04,20.8633,33600
블러썸엠앤씨,2020-03-09,20.966,5510
DSC인베스트먼트,2020-12-15,20.9914,5614
대상,2020-08-31,21.2,30300
티비씨,2020-12-03,21.4286,1360
