stock,date,gap,high
에버다임,2020-09-17,1.1132,5450
한세실업,2020-10-22,1.3889,21900
강원랜드,2020-05-27,1.9084,26700
부스타,2020-09-16,1.9512,6270
GS홈쇼핑,2020-10-29,2.4759,149000
KB금융,2020-11-26,3.0851,48450
바텍,2020-04-29,3.3708,27600
한전기술,2020-09-04,3.7975,20500
JB금융지주,2020-12-16,3.8206,6250
부국증권우,2020-11-23,3.9604,21000
금화피에스시,2020-08-18,4.1379,30200
우진플라임,2020-12-29,4.2693,6350
한국캐피탈,2020-11-27,4.3771,620
씨큐브,2020-05-29,4.4601,8900
삼양통상,2020-08-18,4.6757,69400
DGB금융지주,2020-11-18,4.7872,7880
파세코,2020-06-04,5.042,18750
아모레G3우(전환),2020-03-06,5.0786,43450
GKL,2020-12-11,5.2174,18150
대신증권우,2020-12-28,5.3097,11900
퍼시스,2020-12-11,5.3512,31500
코텍,2020-06-09,5.4726,10600
현대그린푸드,2020-05-18,5.6025,9990
세아특수강,2020-06-03,6.0241,13200
삼익악기,2020-06-04,6.135,1730
케이디켐,2020-12-21,6.383,15000
이루온,2020-04-02,6.7449,1820
코리안리,2020-04-17,6.9712,8900
케이프이에스제4호,2020-06-22,7.335,2195
국도화학,2020-12-17,7.4545,59100
대신증권2우B,2020-12-28,7.5829,11350
씨티케이코스메틱스,2020-08-13,7.619,16950
맥쿼리인프라,2020-06-01,7.6577,11950
동성코퍼레이션,2020-12-21,7.7079,5310
이상네트웍스,2020-11-16,7.8023,8290
신세계인터내셔날,2020-04-28,7.8431,220000
KSS해운,2020-11-12,8.0717,12050
성창기업지주,2020-12-22,8.2816,2615
세아홀딩스,2020-12-09,8.3004,82200
현대일렉트릭,2020-09-10,8.3333,20800
금호타이어,2020-09-17,8.3544,4280
크리스에프앤씨,2020-09-04,8.4646,27550
오뚜기,2020-08-12,8.4775,627000
코리아에셋투자증권,2020-08-05,8.532,8650
오리온홀딩스,2020-05-15,8.6022,15150
크라운해태홀딩스,2020-09-07,8.6057,9970
쌍용양회,2020-12-11,8.7977,7420
인포바인,2020-03-31,8.8608,21500
기신정기,2020-09-09,8.8803,4230
피제이메탈,2020-08-04,8.9069,2690
코스맥스,2020-10-12,8.9744,127500
영원무역홀딩스,2020-06-03,9.2659,45400
진로발효,2020-03-10,9.2834,33550
삼성카드,2020-12-22,9.5092,35700
코스메카코리아,2020-08-13,9.5406,15500
동방아그로,2020-08-06,9.8655,7350
진양홀딩스,2020-07-10,10.0182,3020
한국토지신탁,2020-12-21,10.0737,2240
NH투자증권우,2020-12-28,10.0821,9390
인바디,2020-05-11,10.4,20700
에스제이그룹,2020-06-15,10.4692,24248
SPC삼립,2020-05-07,10.4749,79100
한국자산신탁,2020-12-22,10.6784,4405
삼일,2020-12-11,10.8647,2500
