stock,date,gap,high
대신증권2우B,2020-12-28,0.4425,11350
대신증권우,2020-12-28,0.8475,11900
아스트,2020-03-11,1.8045,6770
바텍,2020-04-29,1.845,27600
금화피에스시,2020-08-18,3.6021,30200
현대그린푸드,2020-05-18,3.6307,9990
GS홈쇼핑,2020-10-29,4.0503,149000
오뚜기,2020-08-12,4.3261,627000
코리아에셋투자증권,2020-08-05,4.3426,8650
강원랜드,2020-05-27,4.501,26700
삼성카드,2020-12-22,4.5388,35700
뉴프라이드,2020-03-11,4.6025,750
진로발효,2020-05-25,4.8622,32350
씨큐브,2020-05-29,5.0767,8900
삼양통상,2020-08-18,5.7927,69400
코리안리,2020-04-17,6.2053,8900
코텍,2020-06-09,6.2124,10600
NH투자증권우,2020-12-28,6.2217,9390
부국증권우,2020-11-23,6.599,21000
맥쿼리인프라,2020-06-01,6.6964,11950
신한지주,2020-06-04,6.9209,37850
대원화성,2020-05-27,6.9544,2230
우리금융지주,2020-06-04,6.9652,10750
케이프이에스제4호,2020-06-22,7.0732,2195
세아홀딩스,2020-12-09,7.3107,82200
삼익악기,2020-06-04,7.4534,1730
퍼시스,2020-12-11,7.5085,31500
제룡산업,2020-12-17,7.67,7440
골프존뉴딘홀딩스,2020-11-06,7.7147,7400
인포바인,2020-03-31,7.7694,21500
피제이메탈,2020-08-04,7.8156,2690
LG상사,2020-12-23,8.1081,30000
동성코퍼레이션,2020-12-21,8.1466,5310
와이지-원,2020-11-25,8.1481,7300
삼성화재,2020-11-19,8.1633,212000
금호타이어,2020-09-17,8.7675,4280
성창기업지주,2020-12-22,8.9583,2615
오리온홀딩스,2020-05-15,8.9928,15150
미래에셋생명,2020-09-10,9.0036,4540
동방아그로,2020-08-06,9.0504,7350
GKL,2020-12-11,9.3373,18150
지니언스,2020-12-17,9.5062,8870
한국자산신탁,2020-12-22,9.5771,4405
티비씨,2020-12-03,9.6774,1360
유니켐,2020-04-29,9.7087,1695
S&TC,2020-06-08,9.816,17900
진양홀딩스,2020-07-10,9.8182,3020
크리스에프앤씨,2020-09-04,9.98,27550
쌍용양회,2020-12-11,10.089,7420
정상제이엘에스,2020-03-11,10.1124,6860
보해양조,2020-12-09,10.1449,1140
동아엘텍,2020-10-13,10.3261,10150
이상네트웍스,2020-11-16,10.3862,8290
SPC삼립,2020-05-07,10.4749,79100
GS우,2020-06-19,10.6518,34800
이니텍,2020-07-09,10.6599,5450
인바디,2020-05-11,10.6952,20700
신송홀딩스,2020-12-17,10.7865,4930
대성에너지,2020-09-16,10.7955,5850
용평리조트,2020-05-25,11.1111,5500
바다로19호,2020-03-11,11.157,2690
KT&G,2020-06-03,11.1801,89500
현대일렉트릭,2020-09-10,11.2299,20800
한국토지신탁,2020-12-21,11.4428,2240
제일기획,2020-10-15,11.6223,23050
광주신세계,2020-10-08,11.6923,181500
삼천리,2020-09-10,11.7291,92400
SBS콘텐츠허브,2020-06-23,11.7917,7300
드림시큐리티,2020-09-17,12.0,4900
이루온,2020-04-02,12.0,1820
승일,2020-06-08,12.0219,10250
한라IMS,2020-06-04,12.1127,7960
신세계푸드,2020-05-14,12.2507,78800
동남합성,2020-12-28,12.2995,52500
아시아경제,2020-10-14,12.4711,2435
기업은행,2020-06-04,12.6526,10150
신세계인터내셔날,2020-04-28,12.8205,220000
우리손에프앤지,2020-06-02,12.854,2590
고려신용정보,2020-05-18,12.8571,7110
동성화학,2020-06-05,12.963,18300
혜인,2020-05-27,13.0293,6940
한국패러랠,2020-03-16,13.1105,2200
유성티엔에스,2020-12-17,13.1343,3790
SM C&C,2020-07-03,13.2768,2005
블러썸엠앤씨,2020-04-09,13.2821,5160
아이진,2020-08-05,13.3117,17450
에스티아이,2020-07-23,13.369,21200
한국큐빅,2020-12-30,13.4045,4780
지란지교시큐리티,2020-05-18,13.4228,6760
이스트소프트,2020-10-05,13.4868,10350
영원무역홀딩스,2020-06-03,13.7845,45400
일진파워,2020-09-16,13.9706,6200
GST,2020-07-15,14.0351,22750
노바렉스,2020-08-10,14.0722,45800
골프존,2020-07-28,14.0845,81000
신일전자,2020-05-20,14.1573,2540
KSS해운,2020-11-12,14.218,12050
코스맥스,2020-10-12,14.3498,127500
현대홈쇼핑,2020-12-16,14.3596,88400
아주IB투자,2020-12-03,14.4828,4980
동원F&B,2020-05-18,14.5038,225000
SK머티리얼즈,2020-12-29,14.6789,375000
드림어스컴퍼니,2020-12-11,14.7273,6310
엔피케이,2020-12-21,14.75,2295
유티아이,2020-05-12,14.7849,21350
우진아이엔에스,2020-08-24,14.7906,8770
카프로,2020-11-25,14.8599,4715
유안타증권우,2020-06-18,14.8624,3130
정산애강,2020-07-20,14.9144,2350
맵스리얼티1,2020-03-11,14.9144,4700
태경산업,2020-11-12,15.0,6670
전방,2020-10-19,15.1811,41350
코메론,2020-09-16,15.215,10450
세아제강지주,2020-09-08,15.3675,51800
파인테크닉스,2020-08-04,15.3846,5850
무학,2020-09-17,15.4639,7840
에스제이그룹,2020-06-15,15.4667,24248
서진오토모티브,2020-10-23,15.4742,3470
에이텍티앤,2020-08-14,15.6604,30650
LG생활건강우,2020-03-11,15.8273,805000
화일약품,2020-08-06,15.9609,17800
성문전자,2020-09-07,15.9898,2285
고려아연,2020-08-07,16.0248,467000
코스메카코리아,2020-08-13,16.1049,15500
넥센,2020-05-08,16.1081,5370
피앤씨테크,2020-10-13,16.1103,8000
노랑풍선,2020-11-17,16.1157,28100
브리지텍,2020-08-27,16.2404,4545
부국증권,2020-10-23,16.4384,25500
경방,2020-05-29,16.4751,15200
화성밸브,2020-06-04,16.5247,6840
동성화인텍,2020-11-25,16.5919,13000
신세계 I&C,2020-09-14,16.6667,157500
NPC우,2020-06-19,16.7015,2795
매일홀딩스,2020-03-11,16.763,10100
시디즈,2020-08-18,16.8595,70700
인산가,2020-09-17,17.1429,2255
남해화학,2020-08-10,17.1967,9950
TS인베스트먼트,2020-11-25,17.2872,4410
에스넷,2020-09-09,17.3104,8200
미래에셋대우2우B,2020-08-11,17.4419,5050
멀티캠퍼스,2020-10-26,17.5038,38600
지역난방공사,2020-05-18,17.5368,43900
삼성화재우,2020-10-26,17.77,169000
이녹스첨단소재,2020-09-15,17.7805,53119
코웰패션,2020-09-15,17.8571,6930
삼일,2020-12-11,17.9245,2500
화천기공,2020-05-08,17.965,37100
애경산업,2020-04-28,17.9798,29200
HDC,2020-09-14,18.0556,12750
농심홀딩스,2020-06-17,18.0837,87500
삼일기업공사,2020-12-24,18.112,5380
한국특수형강,2020-12-04,18.1319,2150
유니트론텍,2020-10-14,18.1939,8900
글로벌텍스프리,2020-12-04,18.2266,3600
삼익THK,2020-09-21,18.4,14800
예림당,2020-12-17,18.5619,3545
현대중공업지주,2020-06-02,18.6594,327500
대양제지,2020-12-17,18.7117,3870
LG유플러스,2020-05-13,18.75,14250
삼영무역,2020-03-11,18.8811,17000
아나패스,2020-09-09,19.0099,30050
나노,2020-04-14,19.0476,1750
동아타이어,2020-08-05,19.0476,12500
한일사료,2020-05-28,19.0736,2185
우성사료,2020-05-28,19.0751,4120
대동스틸,2020-05-26,19.1806,6400
한국쉘석유,2020-12-21,19.1919,295000
동부건설,2020-12-11,19.3416,14500
도이치모터스,2020-05-26,19.3627,7866
동아지질,2020-04-22,19.6262,19200
에스티큐브,2020-06-17,19.7368,13650
한화손해보험,2020-12-07,19.7452,4700
원방테크,2020-12-21,19.833,57400
서흥,2020-08-20,19.8807,60300
티앤알바이오팹,2020-12-01,19.898,23500
에스텍,2020-12-29,19.9052,12650
휴네시온,2020-09-18,19.9664,7150
한전KPS,2020-06-04,20.0,33600
뉴트리,2020-05-18,20.1077,33450
빅솔론,2020-07-23,20.1278,5640
현대해상,2020-06-10,20.1717,28000
삼양옵틱스,2020-04-20,20.1976,10950
지에스이,2020-09-17,20.2381,2020
성신양회,2020-07-27,20.3822,9450
경동도시가스,2020-09-16,20.4787,22650
한샘,2020-07-15,20.4878,123500
무림페이퍼,2020-12-11,20.7018,3440
아세아텍,2020-03-11,21.0059,4090
삼천리자전거,2020-06-19,21.0526,14950
미래에셋대우우,2020-08-11,21.0634,5920
인천도시가스,2020-09-15,21.1462,30650
푸드나무,2020-08-11,21.1538,31500
세명전기,2020-04-21,21.1561,5240
GS리테일,2020-05-14,21.3514,44900
컴퍼니케이,2020-05-21,21.3924,9590
알루코,2020-08-13,21.5321,5870
대우조선해양,2020-06-02,21.5842,30700
해성산업,2020-05-08,21.6102,14350
JTC,2020-12-03,21.6535,6180
대상,2020-08-31,21.6867,30300
현대엘리베이,2020-07-02,21.7993,52800
영신금속,2020-12-11,21.8391,4240
블루콤,2020-07-29,21.8927,8630
나이스정보통신,2020-05-15,22.1429,34200
하림,2020-05-06,22.164,3500
태원물산,2020-10-07,22.1687,5070
진도,2020-12-02,22.2222,5500
디에이치피코리아,2020-12-21,22.251,9450
에이루트,2020-11-13,22.6708,7900
지투알,2020-05-04,22.6843,6490
에이플러스에셋,2020-11-20,22.8216,8880
모헨즈,2020-07-27,22.8512,5860
중앙백신,2020-09-17,22.8571,19350
해마로푸드서비스,2020-12-21,22.9197,4210
진바이오텍,2020-08-06,22.9592,7230
대상홀딩스우,2020-08-31,23.0012,10000
오리온,2020-08-14,23.221,164500
이엠넷,2020-08-12,23.3083,5740
SBS미디어홀딩스,2020-06-23,23.3333,2405
DSC인베스트먼트,2020-12-15,23.3846,5614
레이언스,2020-04-28,23.3871,15300
위메이드,2020-11-23,23.43,51100
선창산업,2020-10-14,23.516,5410
위니아딤채,2020-05-07,23.6014,3535
코리아나,2020-08-19,23.7306,5970
도화엔지니어링,2020-04-21,23.7562,9950
엠에스씨,2020-10-08,23.7799,5960
라온시큐어,2020-05-21,23.7913,4865
한국금융지주우,2020-09-15,23.825,76400
피에스케이,2020-12-17,23.9884,42900
이랜시스,2020-10-16,24.0175,2840
네오팜,2020-05-27,24.1486,40100
세중,2020-05-29,24.2701,3405
코드네이처,2020-05-20,24.2972,3095
DB손해보험,2020-05-19,24.3736,54600
에코마케팅,2020-09-04,24.3902,33150
미래테크놀로지,2020-08-05,24.399,10350
인터로조,2020-05-14,24.488,26018
아이티센,2020-06-08,24.5552,7000
오리콤,2020-12-10,24.5931,6890
한솔제지,2020-05-06,24.6212,16450
레드캡투어,2020-08-04,24.7002,26000
대유,2020-07-24,24.7492,18650
롯데손해보험,2020-06-11,24.7813,2140
신라젠,2020-03-27,24.7934,15100
대주산업,2020-11-11,24.8408,2940
삼성중공업,2020-06-04,24.8819,7930
이오테크닉스,2020-08-10,24.9515,128700
와이지엔터테인먼트,2020-09-09,25.0,60500
휴비스,2020-08-31,25.0,9850
티플랙스,2020-07-24,25.0323,4845
삼호개발,2020-04-22,25.0829,5660
경동나비엔,2020-09-10,25.1012,61800
한일홀딩스,2020-12-18,25.1185,13200
뷰웍스,2020-05-15,25.1471,42550
TPC,2020-09-18,25.1476,5300
서산,2020-07-24,25.1485,3160
쿠쿠홈시스,2020-08-21,25.1605,48750
티웨이항공,2020-11-16,25.2269,3450
다원시스,2020-08-31,25.323,24250
태웅로직스,2020-12-17,25.3937,6370
케어젠,2020-06-10,25.5605,84000
옵티시스,2020-09-16,25.6098,10300
HDC현대EP,2020-10-14,25.7699,7760
부방,2020-12-15,25.9259,3230
동양물산,2020-11-12,25.9386,1845
휴온스,2020-09-02,26.0197,70445
이화산업,2020-06-19,26.0736,20550
서울가스,2020-12-14,26.0965,115000
에이스침대,2020-05-15,26.2136,52000
대림B&Co,2020-12-18,26.2264,6690
하이골드12호,2020-12-07,26.2376,2550
E1,2020-09-15,26.3547,51300
아남전자,2020-12-30,26.3844,3880
한국내화,2020-05-29,26.3946,4645
기산텔레콤,2020-06-04,26.4706,3440
한국선재,2020-11-18,26.5273,3935
신영와코루,2020-12-04,26.5957,119000
에스에스알,2020-05-18,26.643,7130
모비스,2020-07-29,26.6667,3325
크리스탈신소재,2020-11-13,26.6667,2185
엠벤처투자,2020-04-22,26.6968,1400
영풍정밀,2020-09-08,26.7427,10000
쎄니트,2020-05-22,26.8012,2200
나무가,2020-09-10,26.8041,24600
모토닉,2020-09-10,26.9531,16250
화승인더,2020-03-11,27.0408,9960
시공테크,2020-06-02,27.1062,6940
JYP Ent,2020-12-03,27.1137,43600
이녹스,2020-12-18,27.1186,15000
에스엠,2020-09-08,27.2013,40450
우리산업홀딩스,2020-06-01,27.2222,6870
하이골드3호,2020-03-12,27.2727,1540
서한,2020-11-05,27.4306,1835
자이글,2020-11-16,27.4359,4970
제이브이엠,2020-11-23,27.4399,45050
하이즈항공,2020-12-17,27.451,6500
디지털대성,2020-12-07,27.8533,9410
하나제약,2020-08-05,27.9121,29100
동원수산,2020-05-28,28.0,11200
휴켐스,2020-11-09,28.0093,27650
조흥,2020-11-30,28.0802,223500
야스,2020-06-08,28.125,16400
LS전선아시아,2020-12-18,28.2119,9680
한국전자인증,2020-05-26,28.2401,9400
스카이라이프,2020-07-28,28.2974,10700
특수건설,2020-04-23,28.331,9150
롯데정밀화학,2020-09-07,28.3784,66500
피씨디렉트,2020-03-11,28.4519,15350
대교우B,2020-03-17,28.46,3295
LG헬로비전,2020-05-12,28.5554,5740
갤럭시아에스엠,2020-08-07,28.5714,1980
에이치엔티,2020-03-12,28.6458,2470
동국제약,2020-09-10,28.6477,36150
화인베스틸,2020-06-08,28.6837,3275
에스원,2020-08-18,28.6946,104500
예스코홀딩스,2020-12-02,28.6982,43500
엑사이엔씨,2020-08-26,28.7129,1950
현진소재,2020-03-31,28.75,515
멜파스,2020-12-07,28.7958,2460
남성,2020-11-19,28.839,5160
휴온스글로벌,2020-05-08,28.8807,35120
다믈멀티미디어,2020-12-29,28.9308,4100
힘스,2020-06-11,28.9655,16830
하이록코리아,2020-06-03,29.0541,19100
KH바텍,2020-08-05,29.064,26200
