stock,date,gap,high
대신증권우,2020-12-28,1.2766,11900
코리아에셋투자증권,2020-08-05,1.4068,8650
노랑풍선,2020-11-17,2.1818,28100
대신증권2우B,2020-12-28,2.2523,11350
동남합성,2020-12-28,2.3392,52500
삼양통상,2020-08-18,2.3599,69400
이녹스첨단소재,2020-09-15,2.7447,53119
신세계푸드,2020-05-14,2.8721,78800
NH투자증권우,2020-12-28,3.1868,9390
코텍,2020-06-09,3.4146,10600
코리안리,2020-04-17,3.4884,8900
금화피에스시,2020-08-18,3.6021,30200
GST,2020-07-15,3.8813,22750
에스제이그룹,2020-06-15,4.0687,24248
맵스리얼티1,2020-06-02,4.0915,4325
크리스에프앤씨,2020-09-04,4.5541,27550
GKL,2020-12-11,4.611,18150
세아홀딩스,2020-12-09,4.7134,82200
진로발효,2020-05-25,4.8622,32350
유니켐,2020-04-29,4.9536,1695
아시아경제,2020-10-14,4.9569,2435
이스트소프트,2020-10-05,4.9696,10350
부국증권우,2020-11-23,5.0,21000
인포바인,2020-03-31,5.1345,21500
신세계인터내셔날,2020-04-28,5.2632,220000
보해양조,2020-12-09,5.5556,1140
삼성카드,2020-12-22,5.6213,35700
이상네트웍스,2020-11-16,5.7398,8290
동방아그로,2020-08-06,5.7554,7350
퍼시스,2020-12-11,5.8824,31500
삼익악기,2020-06-04,6.135,1730
쌍용양회,2020-12-11,6.3037,7420
신한지주,2020-06-04,6.6197,37850
맥쿼리인프라,2020-06-01,6.6964,11950
동성코퍼레이션,2020-12-21,6.7337,5310
케이프이에스제4호,2020-06-22,6.8127,2195
우리금융지주,2020-06-04,6.9652,10750
제룡산업,2020-12-17,7.0504,7440
오리온홀딩스,2020-05-15,7.0671,15150
코스맥스,2020-10-12,7.1429,127500
한국토지신탁,2020-12-21,7.177,2240
와이지-원,2020-11-25,7.1953,7300
정산애강,2020-07-20,7.3059,2350
오뚜기,2020-08-12,7.363,627000
골프존뉴딘홀딩스,2020-11-06,7.402,7400
씨큐브,2020-05-29,7.4879,8900
골프존,2020-07-28,7.5697,81000
정상제이엘에스,2020-11-12,7.9365,6800
KT&G,2020-06-03,7.9614,89500
바다로19호,2020-07-20,8.18,2645
브리지텍,2020-08-27,8.2143,4545
미래에셋생명,2020-09-10,8.2241,4540
SNT에너지,2020-06-08,8.4848,17900
한국자산신탁,2020-12-22,8.6313,4405
제일기획,2020-10-15,8.7264,23050
금호타이어,2020-09-17,8.7675,4280
한국패러랠,2020-03-25,8.9059,2140
GS우,2020-06-19,8.9202,34800
SPC삼립,2020-05-07,8.9532,79100
이니텍,2020-07-09,9.0,5450
한라IMS,2020-06-04,9.0411,7960
서진오토모티브,2020-10-23,9.1195,3470
코스메카코리아,2020-08-13,9.1549,15500
인바디,2020-05-11,9.2348,20700
동성화인텍,2020-11-25,9.2437,13000
드림시큐리티,2020-09-17,9.375,4900
성창기업지주,2020-12-22,9.4142,2615
쎄니트,2020-05-22,9.4527,2200
대성에너지,2020-09-16,9.5506,5850
용평리조트,2020-05-25,9.5618,5500
우리손에프앤지,2020-06-02,9.7458,2590
한화손해보험,2020-12-07,9.8131,4700
S&TC,2020-06-08,9.816,17900
에스티아이,2020-07-23,9.8446,21200
남해화학,2020-08-10,10.1883,9950
신일전자,2020-05-20,10.1952,2540
승일,2020-06-08,10.3337,10250
동아엘텍,2020-10-13,10.4461,10150
SBS콘텐츠허브,2020-06-23,10.6061,7300
이루온,2020-04-02,10.6383,1820
신송홀딩스,2020-12-17,10.7865,4930
이오테크닉스,2020-08-10,10.8527,128700
영원무역홀딩스,2020-06-03,10.8669,45400
기업은행,2020-06-04,11.172,10150
세아제강지주,2020-09-08,11.2782,51800
글로벌텍스프리,2020-12-04,11.2828,3600
지란지교시큐리티,2020-05-18,11.5512,6760
쿠쿠홈시스,2020-08-21,11.5561,48750
코웰패션,2020-09-15,11.5942,6930
일진파워,2020-09-16,11.7117,6200
화성밸브,2020-06-04,11.7647,6840
매일홀딩스,2020-05-14,11.9318,9850
엔피케이,2020-12-21,11.9512,2295
에이치엔티,2020-03-23,11.9792,2150
광주신세계,2020-10-08,12.037,181500
신세계 I&C,2020-09-14,12.0996,157500
삼천리,2020-09-10,12.1359,92400
한국큐빅,2020-12-30,12.2066,4780
동성화학,2020-06-05,12.2699,18300
중앙백신,2020-09-17,12.5,19350
유니트론텍,2020-10-14,12.6582,8900
삼성화재,2020-11-19,12.766,212000
현대홈쇼핑,2020-12-16,12.8991,88400
드림어스컴퍼니,2020-12-11,13.0824,6310
노바렉스,2020-08-10,13.0864,45800
멜파스,2020-12-07,13.1034,2460
무학,2020-09-17,13.1313,7840
휴네시온,2020-09-18,13.1329,7150
우진아이엔에스,2020-08-24,13.1613,8770
블러썸엠앤씨,2020-04-09,13.2821,5160
진바이오텍,2020-08-06,13.3229,7230
미래에셋대우2우B,2020-08-11,13.3558,5050
고려아연,2020-08-07,13.4872,467000
아나패스,2020-09-09,13.6106,30050
KSS해운,2020-11-12,13.6792,12050
아이에이네트웍스,2020-06-03,13.7529,2440
JTC,2020-12-03,13.8122,6180
시디즈,2020-08-18,13.8486,70700
삼일기업공사,2020-12-24,13.8624,5380
고려신용정보,2020-05-18,13.9423,7110
지투알,2020-05-04,14.0598,6490
동부건설,2020-12-11,14.1732,14500
하이골드3호,2020-09-02,14.2292,1445
피앤씨테크,2020-10-13,14.2857,8000
코메론,2020-09-16,14.3326,10450
HDC,2020-09-14,14.3498,12750
태경산업,2020-11-12,14.4082,6670
삼일,2020-12-11,14.4165,2500
동원F&B,2020-05-18,14.5038,225000
피에스케이,2020-12-17,14.5527,42900
동아타이어,2020-08-05,14.6789,12500
LG생활건강우,2020-08-14,14.8415,797000
화승인더,2020-06-03,14.9874,9130
흥아해운,2020-03-27,15.1163,297
화천기공,2020-05-08,15.2174,37100
인산가,2020-09-17,15.3453,2255
부국증권,2020-10-23,15.3846,25500
오스템,2020-09-14,15.4054,4270
넥스트사이언스,2020-04-10,15.4321,7480
모비스,2020-07-29,15.4514,3325
한국특수형강,2020-12-04,15.5914,2150
지역난방공사,2020-05-18,15.6785,43900
에스넷,2020-09-09,15.8192,8200
화일약품,2020-08-06,15.8789,5933
