stock,date,gap,high
코리아에셋투자증권,2020-08-05,2.1251,8650
맵스리얼티1,2020-06-02,2.3669,4325
금화피에스시,2020-08-18,2.3729,30200
이녹스첨단소재,2020-09-15,2.7447,53119
삼양통상,2020-08-18,2.9674,69400
한화손해보험,2020-12-07,3.4103,4700
NH투자증권우,2020-12-28,3.5281,9390
동남합성,2020-12-28,3.5503,52500
코스맥스,2020-10-12,4.5082,127500
바다로19호,2020-07-20,4.5455,2645
삼성카드,2020-12-22,5.0,35700
진로발효,2020-05-25,5.0325,32350
코리안리,2020-04-17,5.2009,8900
GKL,2020-12-11,5.2174,18150
이상네트웍스,2020-11-16,5.3367,8290
신한지주,2020-06-04,5.4318,37850
에스앤씨엔진그룹,2020-03-23,5.5838,208
아시아경제,2020-10-14,5.6399,2435
화성밸브,2020-06-04,5.7187,6840
부국증권우,2020-11-23,5.7935,21000
인포바인,2020-03-31,6.1728,21500
맥쿼리인프라,2020-06-01,6.2222,11950
세아홀딩스,2020-12-09,6.4767,82200
디에스티,2020-03-27,6.4865,394
정상제이엘에스,2020-11-12,6.7504,6800
신세계인터내셔날,2020-04-28,6.7961,220000
케이프이에스제4호,2020-06-22,6.8127,2195
쌍용양회,2020-12-11,6.9164,7420
우리금융지주,2020-06-04,6.9652,10750
오리온홀딩스,2020-05-15,7.0671,15150
이에스에이,2020-03-23,7.1186,316
퍼시스,2020-12-11,7.1429,31500
신세계푸드,2020-05-14,7.5034,78800
한라IMS,2020-06-04,7.5676,7960
에스티아이,2020-07-23,7.6142,21200
오뚜기,2020-08-12,7.732,627000
씨큐브,2020-05-29,7.8788,8900
동성화인텍,2020-11-25,7.8838,13000
고려신용정보,2020-05-18,7.8907,7110
삼익악기,2020-06-04,8.125,1730
유니켐,2020-04-29,8.3067,1695
미래에셋생명,2020-09-10,8.3532,4540
인바디,2020-05-11,8.377,20700
동방아그로,2020-08-06,8.4071,7350
SPC삼립,2020-05-07,8.5048,79100
골프존뉴딘홀딩스,2020-11-06,8.6637,7400
GS우,2020-06-19,8.75,34800
제룡산업,2020-12-17,8.9312,7440
한국토지신탁,2020-12-21,9.0024,2240
동아엘텍,2020-10-13,9.1398,10150
파인테크닉스,2020-08-04,9.1418,5850
SBS콘텐츠허브,2020-06-23,9.2814,7300
중앙백신,2020-09-17,9.322,19350
대성에너지,2020-09-16,9.3458,5850
전방,2020-10-19,9.3915,41350
노바렉스,2020-08-10,9.4385,45800
KSS해운,2020-11-12,9.5455,12050
한국패러랠,2020-03-25,9.7436,2140
S&TC,2020-06-08,9.816,17900
영원무역홀딩스,2020-06-03,9.9274,45400
옵티시스,2020-09-16,10.0427,10300
화일약품,2020-08-06,10.0742,5933
현대홈쇼핑,2020-12-16,10.5,88400
한국자산신탁,2020-12-22,10.5395,4405
이니텍,2020-07-09,10.5477,5450
브리지텍,2020-08-27,10.5839,4545
매일홀딩스,2020-05-14,10.6742,9850
일진파워,2020-09-16,10.7143,6200
성창기업지주,2020-12-22,10.8051,2615
해성산업,2020-05-08,10.8108,14350
제일기획,2020-10-15,10.8173,23050
지란지교시큐리티,2020-05-18,10.8197,6760
유성티엔에스,2020-12-17,10.981,3790
광주신세계,2020-10-08,11.0092,181500
한국큐빅,2020-12-30,11.2922,4780
신세계 I&C,2020-09-14,11.3074,157500
KT&G,2020-06-03,11.457,89500
하이골드3호,2020-09-02,11.583,1445
금호타이어,2020-09-17,11.6037,4280
이오테크닉스,2020-08-10,11.7188,128700
글로벌텍스프리,2020-12-04,11.8012,3600
에이치엔티,2020-03-23,11.9792,2150
신송홀딩스,2020-12-17,12.0455,4930
동아타이어,2020-08-05,12.1076,12500
신일전자,2020-05-20,12.1413,2540
한국특수형강,2020-12-04,12.2715,2150
아이에이네트웍스,2020-06-03,12.4424,2440
세아제강지주,2020-09-08,12.4864,51800
코웰패션,2020-09-15,12.5,6930
성신양회,2020-07-27,12.5,9450
빅솔론,2020-07-23,12.5749,5640
삼일,2020-12-11,12.6126,2500
영신금속,2020-12-11,12.6162,4240
기업은행,2020-06-04,12.6526,10150
이루온,2020-04-02,12.6935,1820
삼천리,2020-09-10,12.8205,92400
모헨즈,2020-07-27,12.9094,5860
에스넷,2020-09-09,13.1034,8200
드림시큐리티,2020-09-17,13.164,4900
뉴트리,2020-05-18,13.198,33450
정산애강,2020-07-20,13.253,2350
블러썸엠앤씨,2020-04-09,13.2821,5160
무학,2020-09-17,13.2948,7840
우진아이엔에스,2020-08-24,13.3075,8770
두산인프라코어,2020-09-28,13.319,10550
HDC,2020-09-14,13.3333,12750
남해화학,2020-08-10,13.5845,9950
코메론,2020-09-16,13.587,10450
용평리조트,2020-05-25,13.6364,5500
에스에스알,2020-05-18,13.7161,7130
동부건설,2020-12-11,13.7255,14500
피씨엘,2020-09-23,13.7975,44950
엠벤처투자,2020-04-22,13.8211,1400
넥스트사이언스,2020-04-10,13.8508,7480
보해양조,2020-12-09,14.0,1140
서연,2020-11-11,14.0152,15050
휴비스,2020-08-31,14.1367,9850
쿠쿠홈시스,2020-08-21,14.1686,48750
부국증권,2020-10-23,14.3498,25500
나이스정보통신,2020-05-15,14.3813,34200
진양폴리,2020-11-10,14.554,4880
대림B&Co,2020-12-18,14.5548,6690
삼성화재,2020-11-19,14.5946,212000
한일홀딩스,2020-12-18,14.7826,13200
한샘,2020-07-15,14.8837,123500
고려아연,2020-08-07,15.0246,467000
흥아해운,2020-03-27,15.1163,297
시디즈,2020-08-18,15.3344,70700
화천기공,2020-05-08,15.5763,37100
피에스케이,2020-12-17,15.6334,42900
우리로,2020-05-28,15.7068,2210
드림어스컴퍼니,2020-12-11,15.7798,6310
LG생활건강우,2020-08-14,15.843,797000
유니온,2020-07-27,15.8664,11100
인산가,2020-09-17,15.9383,2255
지역난방공사,2020-05-18,15.9841,43900
삼익THK,2020-09-21,16.0784,14800
노바텍,2020-12-29,16.0963,45800
아나패스,2020-09-09,16.2476,30050
롯데정밀화학,2020-09-07,16.2587,66500
나노,2020-04-14,16.2791,1750
국동,2020-09-16,16.2996,5280
에이루트,2020-11-13,16.3476,7900
미래에셋대우2우B,2020-08-11,16.3594,5050
