stock,date,gap,high
대신증권2우B,2020-12-28,1.3393,11350
대신증권우,2020-12-28,1.7094,11900
현대그린푸드,2020-05-18,2.3566,9990
현대일렉트릭,2020-09-10,2.716,20800
금화피에스시,2020-08-18,3.7801,30200
GS홈쇼핑,2020-10-29,3.9777,149000
진로발효,2020-05-25,4.6926,32350
강원랜드,2020-05-27,4.7059,26700
씨큐브,2020-05-29,5.2009,8900
코리아에셋투자증권,2020-08-05,5.2311,8650
유니켐,2020-04-29,5.2795,1695
삼성카드,2020-12-22,5.3097,35700
삼양통상,2020-08-18,5.4711,69400
NH투자증권우,2020-12-28,5.6243,9390
퍼시스,2020-12-11,5.8824,31500
우리금융지주,2020-06-04,5.9113,10750
코텍,2020-06-09,6.1061,10600
맥쿼리인프라,2020-06-01,6.2222,11950
맵스리얼티1,2020-03-16,6.2577,4330
케이프이에스제4호,2020-06-22,6.5534,2195
코리안리,2020-04-17,6.5868,8900
제룡산업,2020-12-17,6.5903,7440
부국증권우,2020-11-23,6.8702,21000
오뚜기,2020-08-12,6.9966,627000
세아홀딩스,2020-12-09,7.3107,82200
인포바인,2020-03-31,7.5,21500
성창기업지주,2020-12-22,7.6132,2615
동성코퍼레이션,2020-12-21,7.7079,5310
SPC삼립,2020-05-07,8.0601,79100
와이지-원,2020-11-25,8.1481,7300
신한지주,2020-06-04,8.2976,37850
인바디,2020-05-11,8.377,20700
제일기획,2020-10-15,8.4706,23050
코스맥스,2020-10-12,8.5106,127500
오리온홀딩스,2020-05-15,8.6022,15150
GKL,2020-12-11,8.6826,18150
삼익악기,2020-06-04,8.805,1730
크리스에프앤씨,2020-09-04,8.8933,27550
정상제이엘에스,2020-11-12,8.9744,6800
보해양조,2020-12-09,9.0909,1140
금호타이어,2020-09-17,9.1837,4280
이상네트웍스,2020-11-16,9.2227,8290
삼성화재,2020-11-19,9.2784,212000
바다로19호,2020-07-20,9.2975,2645
진양홀딩스,2020-07-10,9.6189,3020
골프존뉴딘홀딩스,2020-11-06,9.6296,7400
한국자산신탁,2020-12-22,9.7136,4405
쌍용양회,2020-12-11,9.7633,7420
GS우,2020-06-19,9.7792,34800
SNT에너지,2020-06-08,9.816,17900
S&TC,2020-06-08,9.816,17900
동방아그로,2020-08-06,9.8655,7350
미래에셋생명,2020-09-10,9.9274,4540
대성에너지,2020-09-16,10.1695,5850
이녹스첨단소재,2020-09-15,10.2054,53119
골프존,2020-07-28,10.3542,81000
TS인베스트먼트,2020-11-25,10.388,4410
이니텍,2020-07-09,10.885,5450
아시아경제,2020-10-14,10.9339,2435
SBS콘텐츠허브,2020-06-23,10.9422,7300
대원화성,2020-05-27,10.9453,2230
이루온,2020-04-02,10.9756,1820
동아엘텍,2020-10-13,11.0503,10150
한국토지신탁,2020-12-21,11.1663,2240
KT&G,2020-06-03,11.3184,89500
에스제이그룹,2020-06-15,11.4851,24248
코스메카코리아,2020-08-13,11.5108,15500
신송홀딩스,2020-12-17,11.5385,4930
승일,2020-06-08,11.6558,10250
신세계푸드,2020-05-14,11.773,78800
한국큐빅,2020-12-30,11.8129,4780
에이치엔티,2020-03-23,11.9792,2150
GST,2020-07-15,12.069,22750
지란지교시큐리티,2020-05-18,12.1061,6760
한라IMS,2020-06-04,12.1127,7960
신세계인터내셔날,2020-04-28,12.2449,220000
동남합성,2020-12-28,12.2995,52500
우리손에프앤지,2020-06-02,12.3644,2590
광주신세계,2020-10-08,12.3839,181500
삼천리,2020-09-10,12.4088,92400
동성화인텍,2020-11-25,12.5541,13000
에스티아이,2020-07-23,12.766,21200
한국패러랠,2020-03-16,12.8205,2200
고려신용정보,2020-05-18,12.8571,7110
하이골드3호,2020-09-02,12.8906,1445
동성화학,2020-06-05,12.963,18300
티앤알바이오팹,2020-12-01,12.9808,23500
정산애강,2020-07-20,12.9808,2350
서진오토모티브,2020-10-23,13.0293,3470
KSS해운,2020-11-12,13.1455,12050
화성밸브,2020-06-04,13.245,6840
기업은행,2020-06-04,13.2812,10150
블러썸엠앤씨,2020-04-09,13.2821,5160
신세계 I&C,2020-09-14,13.3094,157500
화일약품,2020-08-06,13.3758,17800
용평리조트,2020-05-25,13.4021,5500
매일홀딩스,2020-05-14,13.4793,9850
영원무역홀딩스,2020-06-03,13.5,45400
우진아이엔에스,2020-08-24,13.601,8770
일진파워,2020-09-16,13.7615,6200
브리지텍,2020-08-27,13.7672,4545
드림시큐리티,2020-09-17,13.8211,4900
엔피케이,2020-12-21,13.8958,2295
신일전자,2020-05-20,13.9013,2540
아주IB투자,2020-12-03,13.9588,4980
유성티엔에스,2020-12-17,13.985,3790
LG생활건강우,2020-08-14,14.02,797000
현대홈쇼핑,2020-12-16,14.0645,88400
세아제강지주,2020-09-08,14.3488,51800
무학,2020-09-17,14.4526,7840
코메론,2020-09-16,14.4578,10450
