stock,date,gap,high
코리안리,2020-04-17,1.3667,8900
대신증권우,2020-12-28,1.7094,11900
코리아에셋투자증권,2020-08-05,2.0047,8650
삼양통상,2020-08-18,2.6627,69400
세아홀딩스,2020-12-09,2.8786,82200
대신증권2우B,2020-12-28,3.1818,11350
NH투자증권우,2020-12-28,3.6424,9390
코텍,2020-06-09,3.9216,10600
금화피에스시,2020-08-18,3.9587,30200
맵스리얼티1,2020-03-16,4.2118,4330
삼성카드,2020-12-22,4.386,35700
진로발효,2020-05-25,4.5234,32350
동남합성,2020-12-28,5.0,52500
GST,2020-07-15,5.0808,22750
신세계푸드,2020-05-14,5.4886,78800
부국증권우,2020-11-23,5.5276,21000
JTC,2020-12-03,5.641,6180
퍼시스,2020-12-11,5.7047,31500
GKL,2020-12-11,5.8309,18150
오리온홀딩스,2020-05-15,5.9441,15150
골프존,2020-07-28,6.0209,81000
인바디,2020-05-11,6.1538,20700
맥쿼리인프라,2020-06-01,6.2222,11950
우리금융지주,2020-06-04,6.4356,10750
씨큐브,2020-05-29,6.4593,8900
동성코퍼레이션,2020-12-21,6.5196,5310
유니켐,2020-04-29,6.6038,1695
골프존뉴딘홀딩스,2020-11-06,6.7821,7400
케이프이에스제4호,2020-06-22,6.8127,2195
이상네트웍스,2020-11-16,6.9677,8290
이니텍,2020-07-09,7.0727,5450
쌍용양회,2020-12-11,7.2254,7420
인포바인,2020-03-31,7.5,21500
신한지주,2020-06-04,7.5284,37850
오뚜기,2020-08-12,7.5472,627000
신세계인터내셔날,2020-04-28,7.5795,220000
코스맥스,2020-10-12,7.5949,127500
한화손해보험,2020-12-07,7.6747,4700
미래에셋생명,2020-09-10,7.7106,4540
에스제이그룹,2020-06-15,7.7689,24248
제룡산업,2020-12-17,8.1395,7440
이녹스첨단소재,2020-09-15,8.1853,53119
한국토지신탁,2020-12-21,8.2126,2240
아시아경제,2020-10-14,8.2222,2435
정상제이엘에스,2020-11-12,8.453,6800
크리스에프앤씨,2020-09-04,8.4646,27550
제일기획,2020-10-15,8.4706,23050
SNT에너지,2020-06-08,8.4848,17900
노랑풍선,2020-11-17,8.4942,28100
신세계 I&C,2020-09-14,8.6207,157500
와이지-원,2020-11-25,8.631,7300
SPC삼립,2020-05-07,8.6538,79100
동방아그로,2020-08-06,8.7278,7350
GS우,2020-06-19,8.75,34800
바다로19호,2020-07-20,8.8477,2645
금호타이어,2020-09-17,8.9059,4280
이스트소프트,2020-10-05,9.1772,10350
한국자산신탁,2020-12-22,9.441,4405
삼익악기,2020-06-04,9.4937,1730
코스메카코리아,2020-08-13,9.5406,15500
정산애강,2020-07-20,9.5571,2350
용평리조트,2020-05-25,9.7804,5500
S&TC,2020-06-08,9.816,17900
신송홀딩스,2020-12-17,10.0446,4930
성창기업지주,2020-12-22,10.1053,2615
