stock,date,gap,high
금강공업,2021-06-07,0.1193,8390
삼성화재,2021-05-13,0.4566,220000
지역난방공사,2021-06-03,0.5441,46200
CJ4우(전환),2021-06-01,0.6536,92400
동양,2021-04-28,0.6557,1535
신영증권,2021-06-03,0.7657,65800
맥쿼리인프라,2021-06-01,0.7968,12650
SBS,2021-06-07,1.0753,47000
넥센타이어1우B,2021-05-10,1.0811,3740
자이글,2021-06-07,1.1673,5200
신한지주,2021-06-02,1.1696,43250
트루윈,2021-06-04,1.2706,7970
우리금융지주,2021-06-04,1.2876,11800
바텍,2021-05-12,1.2912,35300
기업은행,2021-06-04,1.3636,11150
SK텔레콤,2021-06-02,1.372,332500
S-Oil우,2021-06-07,1.4975,61000
신영와코루,2021-05-31,1.5625,130000
인포바인,2021-05-31,1.5625,22750
BYC우,2021-06-01,1.5666,194500
맵스리얼티1,2021-06-02,1.5936,5100
에스텍,2021-06-03,1.5936,12750
현대엘리베이,2021-06-07,1.7606,57800
삼성화재우,2020-10-26,1.8072,169000
인바디,2021-06-01,1.8395,30450
롯데손해보험,2021-06-04,1.8692,2180
아모레G3우(전환),2021-06-03,1.9455,52400
SK가스,2020-10-15,1.9685,129500
리드코프,2021-06-03,1.9704,10350
씨큐브,2021-06-02,2.0179,9100
라온시큐어,2021-06-07,2.0654,5930
롯데정보통신,2021-01-06,2.0737,44300
쎄니트,2021-04-20,2.1226,2165
부산산업,2021-06-07,2.1605,165500
네오티스,2021-06-07,2.1627,4960
GS홈쇼핑,2021-06-01,2.2407,159700
고려신용정보,2021-06-04,2.2901,9380
하나금융지주,2021-06-04,2.3454,48000
진로발효,2021-06-02,2.3599,34700
하이골드12호,2020-12-07,2.4096,2550
이녹스첨단소재,2021-06-07,2.4116,63700
CJ프레시웨이,2021-06-01,2.4465,33500
한화3우B,2021-01-26,2.5157,16300
교보증권,2021-05-11,2.5247,9340
3S,2021-04-27,2.5682,3195
CJ우,2021-06-01,2.5719,67800
KT,2021-06-01,2.6826,34450
인터로조,2021-06-03,2.7132,26500
세보엠이씨,2021-06-07,2.7746,8890
신라교역,2021-06-03,2.807,14650
DL이앤씨,2021-05-12,2.847,144500
현대에버다임,2021-06-03,2.8571,6480
에이스침대,2020-07-01,2.8785,48250
우리로,2020-06-09,2.8796,1965
삼성증권,2021-06-01,2.9158,47650
DGB금융지주,2021-06-04,2.9443,9790
서부T&D,2021-06-03,2.9443,9790
DB손해보험,2021-06-03,2.9528,52300
디티알오토모티브,2021-05-31,3.0184,39250
신화콘텍,2021-01-26,3.0303,4080
카카오,2021-04-15,3.1128,132500
신도리코,2021-06-03,3.1206,36350
동일금속,2021-05-11,3.2258,14400
사조오양,2021-06-03,3.252,12700
TJ미디어,2021-06-07,3.2558,6660
KB금융,2021-05-11,3.2815,59800
부국증권우,2021-05-11,3.3408,23200
대한화섬,2021-06-07,3.367,153500
서희건설,2021-06-03,3.4091,2275
아진엑스텍,2021-02-17,3.444,8410
아모레G,2021-06-02,3.466,80600
엔피케이,2021-06-03,3.5011,2365
한국쉘석유,2020-12-21,3.5088,295000
대현,2021-06-01,3.5714,3045
유진기업,2021-04-09,3.5714,6380
제주항공,2021-06-02,3.5985,27350
SGC이테크건설,2021-06-07,3.6212,74400
정상제이엘에스,2021-06-02,3.7086,7830
한국패러랠,2020-06-24,3.7406,2080
동방아그로,2021-05-12,3.7713,8530
GKL,2021-05-31,3.7736,19250
CJ제일제당,2021-06-01,3.8055,491000
에스에스알,2021-06-04,3.8298,7320
선광,2021-05-17,3.8605,41700
JB금융지주,2021-05-14,3.8961,8000
매일홀딩스,2021-06-01,3.8961,12000
LG유플러스,2021-06-02,3.8961,16000
동원산업,2021-05-13,4.0336,309500
강원랜드,2021-06-03,4.0493,29550
