stock,date,gap,high
하이골드3호,2021-05-18,0.2915,1720
CJ제일제당,2021-05-27,0.3071,490000
연우,2021-05-28,0.4747,31750
SNT중공업,2021-04-26,0.5464,9200
사조대림,2021-05-28,0.5545,27200
LG유플러스,2021-05-18,0.6623,15200
SK네트웍스,2021-05-27,1.1551,6130
서부T&D,2021-05-28,1.3333,9120
위즈코프,2021-05-12,1.3624,7440
이니텍,2021-04-26,1.3913,5830
AK홀딩스,2021-05-28,1.4124,35900
KB금융,2021-05-11,1.7007,59800
대성홀딩스,2021-05-18,1.7045,35800
신한지주,2021-05-11,1.7668,43200
CJ우,2021-05-13,1.8072,67600
현대홈쇼핑,2021-05-14,1.919,95600
펌텍코리아,2021-05-27,1.9231,23850
BGF리테일,2021-05-11,1.9284,185000
하나금융지주,2021-05-18,1.9334,47450
블루콤,2020-07-29,2.0095,8630
이녹스첨단소재,2021-05-28,2.0101,60900
한국콜마,2021-04-20,2.0134,60800
태광산업,2021-05-28,2.0817,1275000
쿠쿠홈시스,2021-05-20,2.1401,52500
아진엑스텍,2021-02-17,2.1871,8410
신대양제지,2021-05-27,2.1944,97800
엔피케이,2020-12-21,2.2272,2295
제이시스메디칼,2021-05-25,2.2609,5880
환인제약,2021-04-19,2.2831,22400
트루윈,2021-05-11,2.2971,6680
광진실업,2021-05-11,2.3022,7110
씨큐브,2021-05-27,2.3041,8880
부산산업,2021-02-22,2.3102,155000
실리콘웍스,2021-05-24,2.3256,110000
대한항공,2021-05-27,2.3474,32700
인터로조,2020-06-18,2.4634,25872
지역난방공사,2021-05-18,2.5143,44850
신영증권,2021-04-26,2.5437,64500
휴비츠,2021-05-26,2.6289,10150
우리금융지주,2021-05-11,2.6906,11450
일진전기,2021-05-27,2.7322,4700
DB손해보험,2021-05-14,2.7613,52100
기업은행,2021-05-18,2.7778,11100
아모레G,2021-05-27,2.8314,79900
한전KPS,2021-05-27,2.9316,47400
에스제이그룹,2021-05-11,2.9412,31500
현대엘리베이,2021-05-27,2.952,55800
에스엠,2021-05-28,2.9748,45000
유진투자증권,2021-05-27,2.9866,5000
아모레G우,2020-07-03,3.0303,28900
아프리카TV,2021-05-25,3.0488,101400
비상교육,2021-05-27,3.0973,11650
원일특강,2021-05-20,3.125,14850
사람인에이치알,2021-05-27,3.1373,39450
SK텔레콤,2021-05-28,3.1546,327000
제주항공,2021-03-19,3.1746,26000
삼성화재우,2020-10-26,3.3639,169000
DGB금융지주,2021-05-13,3.3827,9780
사조오양,2021-04-12,3.3898,12200
교보증권,2021-05-11,3.433,9340
CJ,2021-01-15,3.4934,118500
쿠쿠홀딩스,2021-04-27,3.5842,144500
롯데푸드,2021-05-27,3.6093,488000
레이언스,2021-05-12,3.6232,14300
빅솔론,2020-07-23,3.6765,5640
한국ANKOR유전,2021-01-29,3.7464,1800
동아지질,2021-05-07,3.8117,23150
한국경제TV,2021-05-27,3.8186,8700
유신,2021-05-28,3.9261,22500
나이스정보통신,2021-05-17,3.9271,37050
제너셈,2021-05-24,3.9755,10200
삼보산업,2021-02-01,4.0,3120
한전산업,2021-04-22,4.0,5980
삼성화재,2021-05-13,4.0189,220000
JB금융지주,2021-05-14,4.0312,8000
코리안리,2021-05-13,4.0816,10200
현대백화점,2021-05-11,4.0816,96900
F&F,2021-05-21,4.1157,468000
디와이,2021-01-20,4.1467,6530
한화3우B,2021-01-26,4.1534,16300
삼성공조,2021-05-20,4.1667,17500
NH투자증권,2021-05-10,4.1825,13700
에이스침대,2020-07-01,4.2117,48250
대덕,2021-05-21,4.3011,9700
삼양옵틱스,2021-03-26,4.3478,10800
현대그린푸드,2021-05-14,4.4248,11800
DB,2021-01-27,4.4554,1055
부국증권우,2021-05-11,4.5045,23200
대상,2021-05-13,4.5151,31250
아모레퍼시픽,2021-05-27,4.5296,300000
네오티스,2021-02-04,4.5455,4600
LG헬로비전,2021-04-15,4.5455,5750
사조산업,2021-03-18,4.5534,59700
한전기술,2021-05-28,4.6472,60800
경방,2021-05-26,4.6667,15700
아가방컴퍼니,2021-04-28,4.6713,6050
넥센,2021-04-26,4.7059,5340
동원산업,2021-05-13,4.7377,309500
아스트,2021-03-15,4.7546,6830
무학,2021-05-12,4.8299,9550
바텍,2021-05-12,4.9034,35300
이노션,2021-01-08,4.918,70400
SBS,2021-05-26,4.9327,46800
KTis,2021-05-27,4.9849,3475
토비스,2020-11-24,5.0483,9780
넥센타이어1우B,2021-05-10,5.0562,3740
에쎈테크,2021-04-26,5.0676,1555
일신방직,2021-04-26,5.0691,114000
동일금속,2021-05-11,5.1095,14400
금호건설,2020-11-17,5.1282,12300
CJ제일제당 우,2021-01-27,5.1339,235500
디알텍,2021-01-19,5.1576,1835
골프존,2021-05-26,5.1647,118100
유성기업,2021-05-21,5.1965,4150
윌비스,2021-05-06,5.2124,2725
매커스,2021-05-24,5.225,7250
CJ ENM,2021-01-26,5.2632,174000
한국자산신탁,2021-05-18,5.2632,5400
한국패러랠,2020-06-01,5.2764,2095
BNK금융지주,2021-05-13,5.283,8370
매일홀딩스,2021-05-14,5.3097,11900
대한화섬,2021-04-13,5.3381,148000
지에스이,2021-05-20,5.3435,2070
KG ETS,2021-05-28,5.4054,11700
삼성카드,2021-04-28,5.4412,35850
동원F&B,2021-05-13,5.5085,249000
네오팜,2020-06-03,5.5482,39950
영원무역,2021-05-18,5.6025,49950
삼영무역,2021-05-17,5.7057,17600
루트로닉3우C,2021-03-22,5.8172,19100
아모레퍼시픽우,2021-05-18,5.8252,109000
미창석유,2021-04-15,5.8559,94000
휠라홀딩스,2021-05-13,5.8716,57700
미래에셋증권2우B,2021-05-10,5.8824,5130
유수홀딩스,2021-04-28,5.9394,8740
롯데손해보험,2020-06-11,5.9406,2140
한신기계,2021-05-27,5.9829,3100
엘디티,2021-05-10,5.9846,5490
한국토지신탁,2021-05-24,6.0041,2560
케이씨씨글라스,2021-05-12,6.0842,68000
삼성생명,2021-05-03,6.0859,88900
세보엠이씨,2021-05-26,6.087,8540
한국캐피탈,2021-05-21,6.113,920
노바렉스,2021-04-22,6.1159,49450
