stock,date,gap,high
디씨엠,2021-03-16,0.339,14800
신영증권우,2021-03-09,0.346,58000
JB금융지주,2021-03-16,0.4688,6430
한국철강,2021-02-04,0.5747,8750
넥스턴,2021-03-16,0.8357,18100
신영증권,2021-03-17,0.8518,59200
CJ프레시웨이,2021-03-15,1.0225,24700
대신증권우,2020-12-28,1.2766,11900
코리아에셋투자증권,2020-08-05,1.4068,8650
KT,2021-02-17,1.4842,27350
한독크린텍,2021-01-20,1.5773,32200
HMM,2021-03-09,1.9068,24050
미원화학,2021-01-22,1.9432,68200
제주항공,2021-03-17,1.9724,25850
삼영무역,2021-02-22,2.0339,15050
하나투어,2021-03-16,2.1429,71500
하나금융지주,2021-03-16,2.1661,42450
노랑풍선,2020-11-17,2.1818,28100
대신증권2우B,2020-12-28,2.2523,11350
유진테크,2021-03-02,2.2673,42850
티앤알바이오팹,2021-03-16,2.277,26950
사람인에이치알,2021-02-18,2.3041,33300
동남합성,2020-12-28,2.3392,52500
경동인베스트,2021-03-03,2.3578,36900
삼양통상,2020-08-18,2.3599,69400
넥센타이어1우B,2021-02-15,2.3729,3020
일신방직,2021-01-18,2.4229,93000
에버다임,2021-03-12,2.4605,5830
동일금속,2021-03-04,2.4691,12450
더네이쳐홀딩스,2021-03-08,2.5729,59800
국도화학,2021-03-17,2.5765,63700
KISCO홀딩스,2021-02-18,2.5806,15900
YW,2021-03-03,2.5862,4760
월덱스,2021-03-05,2.6374,23350
이녹스첨단소재,2020-09-15,2.7447,53119
현대그린푸드,2021-03-15,2.8436,10850
휴비츠,2021-02-17,2.8465,8310
신세계푸드,2020-05-14,2.8721,78800
세이브존I&C,2021-03-10,2.9294,3865
동원개발,2021-03-16,2.9575,5570
코오롱인더,2021-02-16,2.9668,59000
BNK금융지주,2021-03-09,2.9674,6940
세아특수강,2021-03-08,3.1128,13250
현대미포조선,2021-03-15,3.1199,62800
한섬,2021-03-17,3.1368,41100
원림,2021-03-08,3.1818,22700
NH투자증권우,2020-12-28,3.1868,9390
대명소노시즌,2021-03-17,3.2468,1590
인탑스,2021-02-19,3.352,37000
대신증권,2021-03-04,3.3898,15250
코텍,2020-06-09,3.4146,10600
대한화섬,2021-02-05,3.4749,134000
코리안리,2020-04-17,3.4884,8900
금화피에스시,2020-08-18,3.6021,30200
효성첨단소재,2021-03-17,3.6061,373500
희림,2021-02-01,3.6364,4560
한양증권,2021-02-08,3.7559,11050
디와이파워,2021-03-11,3.8123,17700
한미반도체,2021-02-19,3.8462,25650
GST,2020-07-15,3.8813,22750
S&T중공업,2021-03-04,3.9672,7600
