stock,date,gap,high
디씨엠,2021-03-22,0.3185,15750
메가스터디교육,2021-03-19,0.8446,59700
아모레퍼시픽,2021-01-25,0.994,254000
신영증권우,2021-03-22,1.0345,58600
오스템임플란트,2021-03-22,1.4541,90700
우진플라임,2021-03-22,1.4837,6840
CJ프레시웨이,2021-03-22,1.6194,25100
웅진,2021-03-09,1.8391,2215
PI첨단소재,2021-02-16,1.9507,49650
대한그린파워,2021-02-26,2.0225,2270
강원랜드,2021-03-18,2.0484,27400
코리아에셋투자증권,2020-08-05,2.1251,8650
모바일리더,2021-03-16,2.1912,25650
원익QnC,2021-01-25,2.2779,22450
맵스리얼티1,2020-06-02,2.3669,4325
넥센타이어1우B,2021-02-15,2.3729,3020
금화피에스시,2020-08-18,2.3729,30200
신영증권,2021-03-17,2.4221,59200
KT,2021-02-17,2.4345,27350
삼양패키징,2021-03-22,2.459,25000
동일금속,2021-03-04,2.4691,12450
JB금융지주,2021-03-19,2.5397,6460
코미코,2021-03-22,2.7439,67400
이녹스첨단소재,2020-09-15,2.7447,53119
일신방직,2021-01-18,2.7624,93000
코텍,2021-03-22,2.8436,10850
휴비츠,2021-02-17,2.8465,8310
유진테크,2021-03-02,2.8812,42850
삼양통상,2020-08-18,2.9674,69400
삼영무역,2021-02-22,3.0822,15050
SNT중공업,2021-03-18,3.2092,8040
희림,2021-02-01,3.2843,4560
한화손해보험,2020-12-07,3.4103,4700
두산밥캣,2021-03-17,3.4819,37150
NH투자증권우,2020-12-28,3.5281,9390
호텔신라,2021-01-18,3.5308,90900
동남합성,2020-12-28,3.5503,52500
효성화학,2021-03-22,3.6545,312000
노루홀딩스,2021-02-22,3.75,12450
하나투어,2021-03-16,3.7736,71500
원익머트리얼즈,2021-03-22,3.8108,39500
제이엠티,2021-03-22,3.8615,3900
S&T중공업,2021-03-04,3.9672,7600
락앤락,2021-03-11,4.0404,15450
한섬,2021-03-17,4.0506,41100
IHQ,2021-03-18,4.0767,2170
바텍,2021-03-19,4.0925,29250
화승알앤에이,2021-02-23,4.1096,3800
하나금융지주,2021-03-19,4.2631,42800
아모레G3우(전환),2021-01-25,4.2735,42700
티씨케이,2021-02-15,4.2941,194300
세아특수강,2021-03-08,4.3307,13250
미원상사,2021-03-16,4.3478,204000
선광,2021-03-02,4.4521,30500
KB금융,2021-03-11,4.4747,53700
BNK금융지주,2021-03-19,4.4978,6970
코스맥스,2020-10-12,4.5082,127500
이엠텍,2021-03-22,4.5455,19550
바다로19호,2020-07-20,4.5455,2645
사람인에이치알,2021-02-18,4.5526,33300
라이온켐텍,2021-02-05,4.6285,8590
디티알오토모티브,2021-03-22,4.7154,32200
대성홀딩스,2021-02-08,4.7285,29900
청보산업,2021-03-02,4.8443,15150
삼성카드,2020-12-22,5.0,35700
진로발효,2020-05-25,5.0325,32350
한신기계,2021-02-10,5.0667,1970
동일산업,2021-01-25,5.0955,82500
SK네트웍스,2021-01-20,5.1237,5950
코리안리,2020-04-17,5.2009,8900
GKL,2020-12-11,5.2174,18150
오르비텍,2021-02-19,5.2349,7840
NPC,2021-02-18,5.2632,4600
동원개발,2021-03-16,5.293,5570
이상네트웍스,2020-11-16,5.3367,8290
현대그린푸드,2021-03-15,5.3398,10850
황금에스티,2021-03-22,5.3571,8850
싸이토젠,2021-03-15,5.3782,62700
신한지주,2020-06-04,5.4318,37850
인크로스,2021-02-18,5.4386,60100
경동인베스트,2021-03-22,5.493,37450
씨티케이코스메틱스,2021-03-10,5.4945,19200
에스앤씨엔진그룹,2020-03-23,5.5838,208
에이치케이,2021-01-08,5.6022,1885
파라다이스,2021-03-04,5.618,18800
코이즈,2021-03-19,5.6338,7500
아시아경제,2020-10-14,5.6399,2435
화성밸브,2020-06-04,5.7187,6840
와토스코리아,2021-02-04,5.7263,7570
한양증권,2021-02-08,5.7416,11050
부국증권우,2020-11-23,5.7935,21000
카카오,2021-02-16,5.8104,519000
신라교역,2021-01-21,5.8252,10900
한국콜마,2021-02-19,5.8304,59900
대한화섬,2021-03-22,5.8608,144500
테스,2021-03-19,5.9002,35000
아모레G,2021-01-25,5.9655,67500
진성티이씨,2021-01-07,6.015,14100
대동기어,2021-01-21,6.0209,4050
S&T홀딩스,2021-01-21,6.1662,19800
인포바인,2020-03-31,6.1728,21500
LF,2021-03-18,6.1728,17200
NAVER,2021-03-18,6.2176,410000
맥쿼리인프라,2020-06-01,6.2222,11950
DGB금융지주,2021-03-19,6.2871,8960
위지윅스튜디오,2021-02-08,6.3415,10900
유니드,2021-03-18,6.3444,70400
세아홀딩스,2020-12-09,6.4767,82200
디에스티,2020-03-27,6.4865,394
CJ CGV,2021-01-26,6.4912,30350
이엔코퍼레이션,2021-03-04,6.5217,1470
세보엠이씨,2021-03-02,6.5287,6690
에코플라스틱,2021-03-19,6.5681,3245
동원산업,2021-02-19,6.5789,283500
제룡전기,2021-02-18,6.6023,6620
베스파,2021-02-09,6.6059,23400
웹젠,2021-01-22,6.6746,44750
POSCO,2021-03-09,6.7093,334000
정상제이엘에스,2020-11-12,6.7504,6800
신세계인터내셔날,2020-04-28,6.7961,220000
현대미포조선,2021-03-15,6.8027,62800
케이프이에스제4호,2020-06-22,6.8127,2195
쌍용양회,2020-12-11,6.9164,7420
아세아,2021-02-04,6.9593,99900
우리금융지주,2020-06-04,6.9652,10750
효성첨단소재,2021-03-17,7.0201,373500
제이콘텐트리,2021-03-05,7.0513,50100
오리온홀딩스,2020-05-15,7.0671,15150
효성티앤씨,2021-03-17,7.0896,574000
손오공,2021-03-17,7.0922,3020
GS건설,2021-01-20,7.109,45200
이에스에이,2020-03-23,7.1186,316
비즈니스온,2021-03-18,7.1253,21800
퍼시스,2020-12-11,7.1429,31500
더네이쳐홀딩스,2021-03-08,7.1685,59800
유진기업,2021-01-20,7.1713,5380
대동공업,2021-02-23,7.1836,9400
진양화학,2021-01-07,7.1942,5960
대한제당우,2021-03-03,7.2139,21550
F&F,2021-02-18,7.2165,156000
한국조선해양,2021-01-06,7.3276,124500
현대건설,2021-01-12,7.3903,46500
한전기술,2021-03-17,7.4519,22350
신세계푸드,2020-05-14,7.5034,78800
강남제비스코,2021-03-03,7.5051,26500
