stock,date,gap,high
한섬,2021-02-24,0.507,39650
한전기술,2021-03-09,0.7264,20800
KT,2021-02-17,0.7366,27350
파크시스템스,2021-02-25,0.7825,128800
바텍,2021-03-12,0.9042,27900
CJ프레시웨이,2021-03-15,1.0225,24700
신영증권우,2021-03-09,1.0453,58000
LF,2021-02-18,1.2158,16650
한국철강,2021-02-04,1.2731,8750
코리안리,2020-04-17,1.3667,8900
현대미포조선,2021-03-15,1.454,62800
우진플라임,2021-03-11,1.497,6780
삼양패키징,2021-03-05,1.6807,24200
대신증권우,2020-12-28,1.7094,11900
에버다임,2021-03-12,1.7452,5830
두산밥캣,2021-02-15,1.7833,37100
대명소노시즌,2021-02-17,2.0,1530
코리아에셋투자증권,2020-08-05,2.0047,8650
동일금속,2021-03-04,2.0492,12450
파라다이스,2021-03-04,2.1739,18800
쿠쿠홀딩스,2021-03-09,2.1978,139500
효성화학,2021-02-08,2.3551,282500
삼영무역,2021-02-22,2.381,15050
한국조선해양,2021-01-06,2.4691,124500
한일시멘트,2021-02-04,2.5641,120000
삼양통상,2020-08-18,2.6627,69400
한독크린텍,2021-01-20,2.7113,32200
사람인에이치알,2021-02-18,2.7778,33300
현대그린푸드,2021-03-15,2.8436,10850
아스트,2021-03-15,2.8614,6830
세아홀딩스,2020-12-09,2.8786,82200
F&F,2021-02-18,2.9703,156000
경동인베스트,2021-03-03,3.0726,36900
세아특수강,2021-03-08,3.1128,13250
대신증권2우B,2020-12-28,3.1818,11350
YW,2021-03-03,3.2538,4760
한세실업,2021-03-08,3.271,22100
더네이쳐홀딩스,2021-03-08,3.2815,59800
원일특강,2021-03-10,3.3175,10900
디와이파워,2021-03-11,3.5088,17700
윈팩,2021-03-08,3.6184,3150
덕산네오룩스,2021-03-02,3.6385,44150
NH투자증권우,2020-12-28,3.6424,9390
테스,2021-03-08,3.698,33650
GS,2021-02-23,3.6991,42050
오스템임플란트,2021-03-15,3.726,86300
대신증권,2021-03-04,3.7415,15250
희림,2021-02-01,3.7543,4560
넥센타이어1우B,2021-02-15,3.7801,3020
동원산업,2021-02-19,3.8462,283500
나노스,2021-03-04,3.8462,8640
롯데쇼핑,2021-03-09,3.8462,135000
유진테크,2021-03-02,3.8788,42850
디티알오토모티브,2021-03-11,3.9088,31900
KISCO홀딩스,2021-02-18,3.9216,15900
코텍,2020-06-09,3.9216,10600
CJ CGV,2021-01-26,3.9384,30350
금화피에스시,2020-08-18,3.9587,30200
S&T중공업,2021-03-04,3.9672,7600
화승알앤에이,2021-02-23,4.1096,3800
잉글우드랩,2021-01-26,4.1322,6300
이엠텍,2021-03-03,4.1899,18650
맵스리얼티1,2020-03-16,4.2118,4330
휴비츠,2021-02-17,4.266,8310
미원화학,2021-01-22,4.2813,68200
한국콜마,2021-02-19,4.3554,59900
삼성카드,2020-12-22,4.386,35700
아모레G3우(전환),2021-01-25,4.401,42700
원익머트리얼즈,2021-01-05,4.4295,38900
호텔신라,2021-01-18,4.4828,90900
진로발효,2020-05-25,4.5234,32350
진에어,2021-03-05,4.5872,22800
인크로스,2021-02-18,4.7038,60100
모두투어,2021-01-14,4.7228,25500
실리콘웍스,2021-01-26,4.7425,77300
TS인베스트먼트,2021-03-15,4.8405,4765
KB금융,2021-03-11,4.8828,53700
일신방직,2021-01-18,4.9661,93000
동남합성,2020-12-28,5.0,52500
신세계,2021-03-09,5.0788,300000
GST,2020-07-15,5.0808,22750
NAVER,2021-02-22,5.1881,405500
이마트,2021-01-13,5.2198,191500
BGF리테일,2021-01-29,5.2326,181000
한양증권,2021-02-08,5.2381,11050
게임빌,2021-02-16,5.2632,45000
디아이,2021-03-10,5.2632,7400
BNK금융지주,2021-03-09,5.3111,6940
락앤락,2021-03-11,5.4608,15450
신세계푸드,2020-05-14,5.4886,78800
부국증권우,2020-11-23,5.5276,21000
한국가스공사,2021-01-20,5.5306,35300
원림,2021-03-08,5.5814,22700
JTC,2020-12-03,5.641,6180
BYC우,2021-02-24,5.6604,168000
부스타,2021-03-10,5.6667,6340
퍼시스,2020-12-11,5.7047,31500
현대백화점,2021-03-09,5.7368,94000
현대상사,2021-01-08,5.7377,19350
동일산업,2021-01-25,5.7692,82500
위지윅스튜디오,2021-02-08,5.8252,10900
GKL,2020-12-11,5.8309,18150
오리온홀딩스,2020-05-15,5.9441,15150
진성티이씨,2021-01-07,6.015,14100
골프존,2020-07-28,6.0209,81000
제이콘텐트리,2021-03-05,6.0317,50100
SK네트웍스,2021-01-20,6.0606,5950
세아베스틸,2021-03-08,6.079,17450
백산,2021-03-12,6.099,9220
크라운해태홀딩스,2021-03-10,6.1061,10600
코오롱인더,2021-02-16,6.1151,59000
월덱스,2021-03-05,6.1364,23350
인바디,2020-05-11,6.1538,20700
S&T홀딩스,2021-01-21,6.1662,19800
인탑스,2021-02-19,6.1693,37000
한신기계,2021-02-10,6.1995,1970
대성홀딩스,2021-02-08,6.2167,29900
맥쿼리인프라,2020-06-01,6.2222,11950
한국캐피탈,2021-03-10,6.2319,733
제이엠티,2021-03-03,6.25,3740
대우건설,2021-02-02,6.3492,6700
세보엠이씨,2021-03-02,6.3593,6690
우리금융지주,2020-06-04,6.4356,10750
SNT홀딩스,2021-01-21,6.4516,19800
씨큐브,2020-05-29,6.4593,8900
진양홀딩스,2021-03-15,6.5026,3030
동성코퍼레이션,2020-12-21,6.5196,5310
이엔코퍼레이션,2021-03-04,6.5217,1470
인스코비,2021-02-26,6.5292,3100
국순당,2021-02-08,6.5675,8600
대동기어,2021-01-21,6.5789,4050
유니켐,2020-04-29,6.6038,1695
솔브레인,2021-02-22,6.7336,329700
제룡전기,2021-02-18,6.7742,6620
골프존뉴딘홀딩스,2020-11-06,6.7821,7400
에이치케이,2021-01-08,6.7989,1885
케이프이에스제4호,2020-06-22,6.8127,2195
노루홀딩스,2021-02-22,6.867,12450
황금에스티,2021-02-22,6.8702,9800
테이팩스,2021-02-18,6.8884,45000
이상네트웍스,2020-11-16,6.9677,8290
라이온켐텍,2021-02-05,6.9738,8590
SK텔레콤,2021-01-08,7.0175,274500
삼정펄프,2021-01-11,7.0707,31800
이니텍,2020-07-09,7.0727,5450
SK하이닉스,2021-03-02,7.1174,150500
쌍용양회,2020-12-11,7.2254,7420
롯데칠성,2021-02-09,7.2874,132500
영풍,2021-02-24,7.4919,660000
윌비스,2021-02-10,7.5,1720
인포바인,2020-03-31,7.5,21500
한국경제TV,2021-03-10,7.511,7300
신한지주,2020-06-04,7.5284,37850
오뚜기,2020-08-12,7.5472,627000
신세계인터내셔날,2020-04-28,7.5795,220000
코스맥스,2020-10-12,7.5949,127500
한화손해보험,2020-12-07,7.6747,4700
LG이노텍,2021-01-26,7.6923,238000
미래에셋생명,2020-09-10,7.7106,4540
키네마스터,2021-02-26,7.7187,62800
에스제이그룹,2020-06-15,7.7689,24248
피제이메탈,2021-03-12,7.8125,2760
다우기술,2021-01-27,7.8212,28950
아모레G,2021-01-25,7.8275,67500
HMM,2021-03-09,7.8475,24050
싸이토젠,2021-03-15,7.9174,62700
이베스트투자증권,2021-01-11,8.0851,7620
비즈니스온,2021-02-22,8.1006,19350
제룡산업,2020-12-17,8.1395,7440
NI스틸,2021-02-22,8.1662,3775
AP시스템,2021-02-16,8.1772,31750
이녹스첨단소재,2020-09-15,8.1853,53119
한국토지신탁,2020-12-21,8.2126,2240
대창스틸,2021-01-13,8.2143,3030
아시아경제,2020-10-14,8.2222,2435
원익IPS,2021-01-22,8.2353,55200
티씨케이,2021-02-15,8.3055,194300
롯데관광개발,2021-03-02,8.313,22150
카카오,2021-02-16,8.3507,519000
NPC,2021-02-18,8.3628,4600
한국ANKOR유전,2021-01-29,8.4337,1800
정상제이엘에스,2020-11-12,8.453,6800
LG생활건강,2021-01-26,8.4552,1706000
크리스에프앤씨,2020-09-04,8.4646,27550
아세아,2021-02-04,8.4691,99900
제일기획,2020-10-15,8.4706,23050
씨티케이코스메틱스,2021-03-10,8.4746,19200
SNT에너지,2020-06-08,8.4848,17900
노랑풍선,2020-11-17,8.4942,28100
선광,2021-03-02,8.5409,30500
이글루시큐리티,2021-02-04,8.5714,6840
신세계 I&C,2020-09-14,8.6207,157500
OCI,2021-03-05,8.6275,138500
와이지-원,2020-11-25,8.631,7300
현대건설,2021-01-12,8.6449,46500
SPC삼립,2020-05-07,8.6538,79100
디지아이,2021-02-08,8.7273,2990
동방아그로,2020-08-06,8.7278,7350
GS우,2020-06-19,8.75,34800
강남제비스코,2021-03-03,8.8296,26500
알톤스포츠,2021-03-15,8.8398,5910
바다로19호,2020-07-20,8.8477,2645
베뉴지,2021-01-22,8.8643,1965
금호타이어,2020-09-17,8.9059,4280
대한화섬,2021-02-05,8.9431,134000
신라교역,2021-01-21,9.0,10900
BYC,2021-02-24,9.0153,393000
DSR제강,2021-02-17,9.0909,5760
POSCO,2021-03-09,9.1503,334000
이스트소프트,2020-10-05,9.1772,10350
코미코,2021-01-25,9.3137,66900
우신시스템,2021-02-09,9.3578,5960
KCC,2021-01-26,9.4203,226500
대동공업,2021-02-23,9.4296,9400
한국자산신탁,2020-12-22,9.441,4405
참엔지니어링,2021-01-20,9.4801,1790
삼익악기,2020-06-04,9.4937,1730
아진엑스텍,2021-02-17,9.5052,8410
넥센타이어,2021-02-10,9.5116,8520
