stock,date,gap,high
라이온켐텍,2021-02-05,0.1166,8590
세아특수강,2021-03-08,0.3788,13250
신영증권우,2021-03-22,0.5146,58600
동성코퍼레이션,2021-03-25,0.9328,5410
KB금융,2021-03-11,0.9398,53700
대신증권,2021-03-23,0.9646,15700
전방,2020-10-19,0.9768,41350
일신방직,2021-01-18,0.9772,93000
세아베스틸,2021-03-23,1.1429,17700
LG상사,2021-03-16,1.1551,30650
신영증권,2021-03-17,1.1966,59200
코리아에셋투자증권,2021-03-25,1.25,8910
아모그린텍,2021-01-05,1.8634,16400
골프존뉴딘홀딩스,2020-11-06,1.9284,7400
동성화인텍,2020-11-25,1.9608,13000
대신증권2우B,2021-03-23,2.0243,12600
동일금속,2021-03-04,2.0492,12450
코오롱인더,2021-03-25,2.0734,64000
대원미디어,2021-02-15,2.0833,14700
진양화학,2021-03-24,2.1962,6980
동원개발,2021-03-16,2.2018,5570
코스맥스,2020-10-12,2.4096,127500
진양산업,2021-03-23,2.4211,9730
삼일씨엔에스,2021-03-25,2.4845,16500
한국토지신탁,2020-12-21,2.5172,2240
GS홈쇼핑,2021-03-23,2.5333,153800
금화피에스시,2020-08-18,2.5467,30200
나노스,2021-03-17,2.6005,8680
코텍,2021-03-22,2.8436,10850
NH투자증권우,2020-12-28,2.8478,9390
우진플라임,2021-03-22,2.8571,6840
JB금융지주,2021-03-19,2.8662,6460
유진기업,2021-01-20,2.8681,5380
강남제비스코,2021-03-03,2.9126,26500
바다로19호,2020-07-20,2.9183,2645
맥쿼리인프라,2020-06-01,3.0172,11950
원림,2021-03-25,3.1315,24700
아모레G3우(전환),2021-01-25,3.1401,42700
SBS콘텐츠허브,2020-06-23,3.2532,7300
사람인에이치알,2021-02-18,3.2558,33300
CJ프레시웨이,2021-03-22,3.2922,25100
대동공업,2021-02-23,3.2967,9400
삼양패키징,2021-03-22,3.3058,25000
한라IMS,2020-06-04,3.3766,7960
BNK금융지주,2021-03-19,3.4125,6970
넥센타이어1우B,2021-02-15,3.4247,3020
삼영무역,2021-02-22,3.4364,15050
원익머트리얼즈,2021-03-22,3.5387,39500
신한지주,2020-06-04,3.5568,37850
