stock,date,gap,high
신영증권,2021-02-15,0.8772,57500
에버다임,2020-09-17,0.9259,5450
현대건설기계,2020-12-11,1.1166,40750
디티알오토모티브,2021-01-20,1.3746,29500
CJ프레시웨이,2021-01-25,1.5385,23100
메가스터디교육,2021-03-04,2.1818,56200
게임빌,2021-02-16,2.3891,45000
S&T중공업,2021-03-04,2.4259,7600
동일금속,2021-03-04,2.4691,12450
현대그린푸드,2020-05-18,2.6721,9990
GS홈쇼핑,2020-10-29,2.7586,149000
KT,2021-02-17,2.8195,27350
알톤스포츠,2021-03-08,2.8623,5750
대신증권우,2020-12-28,3.0303,11900
세아특수강,2021-03-08,3.1128,13250
제주항공,2021-03-08,3.1712,24400
제이콘텐트리,2021-03-05,3.299,50100
국도화학,2020-12-17,3.3217,59100
현대통신,2021-02-22,3.3333,10850
미원에스씨,2021-01-07,3.4632,119500
한섬,2021-02-24,3.5248,39650
강원랜드,2020-05-27,3.6893,26700
삼양통상,2020-08-18,3.7369,69400
LF,2021-02-18,3.7383,16650
바텍,2020-04-29,3.7594,27600
금화피에스시,2020-08-18,3.7801,30200
크라운해태홀딩스,2020-09-07,3.8542,9970
삼양패키징,2021-03-05,3.8627,24200
파라다이스,2021-03-04,3.8674,18800
한일시멘트,2021-02-04,3.8961,120000
넥센타이어1우B,2021-02-15,3.9587,3020
디아이,2021-03-08,4.0119,7000
화승알앤에이,2021-02-23,4.1096,3800
한국철강,2021-02-04,4.1667,8750
한세실업,2021-03-08,4.2453,22100
BGF리테일,2021-01-29,4.3228,181000
지니틱스,2021-01-18,4.4081,4145
코텍,2020-06-09,4.4335,10600
KISCO홀딩스,2021-02-18,4.6053,15900
대신증권2우B,2020-12-28,4.6083,11350
원일특강,2021-03-08,4.6512,10350
아모레G3우(전환),2021-01-25,4.7853,42700
우진플라임,2020-12-29,4.7855,6350
화승엔터프라이즈,2021-03-08,4.8632,17250
S-Oil,2021-03-08,4.8864,92300
한국콜마,2021-02-19,4.9037,59900
동일산업,2021-01-25,4.9618,82500
아모레G,2021-01-25,4.9767,67500
BYC우,2021-02-24,5.0,168000
덴티움,2021-03-08,5.0736,64200
씨큐브,2020-05-29,5.3254,8900
신한지주,2020-06-04,5.4318,37850
더네이쳐홀딩스,2021-03-08,5.4674,59800
하나투어,2021-03-02,5.4878,69200
희림,2021-02-01,5.5556,4560
일신방직,2021-01-18,5.5619,93000
강남제비스코,2021-03-03,5.5777,26500
S&T홀딩스,2021-01-21,5.6,19800
세아베스틸,2021-03-08,5.7576,17450
제로투세븐,2021-03-04,5.8824,11700
롯데케미칼,2021-03-02,5.9561,338000
삼익악기,2020-06-04,6.135,1730
세아홀딩스,2020-12-09,6.2016,82200
대신증권,2021-03-04,6.2718,15250
현대상사,2021-01-08,6.3187,19350
테스,2021-03-08,6.3191,33650
듀오백,2021-02-24,6.3226,8240
롯데칠성,2021-02-09,6.4257,132500
우리금융지주,2020-06-04,6.4356,10750
DSR제강,2021-02-17,6.4695,5760
이엔코퍼레이션,2021-03-04,6.5217,1470
케이프이에스제4호,2020-06-22,6.5534,2195
코리안리,2020-04-17,6.5868,8900
동원개발,2021-01-06,6.7061,5410
하이트론,2021-02-09,6.8,8010
모바일리더,2021-02-23,6.8817,24850
넥센타이어,2021-02-10,7.0352,8520
NH투자증권우,2020-12-28,7.0696,9390
GKL,2020-12-11,7.0796,18150
YW,2021-03-03,7.0866,4760
월덱스,2021-03-05,7.1101,23350
한국가스공사,2021-01-20,7.132,35300
영풍,2021-02-24,7.1429,660000
맥쿼리인프라,2020-06-01,7.1749,11950
삼성카드,2020-12-22,7.2072,35700
현대일렉트릭,2020-09-10,7.2165,20800
파크시스템스,2021-02-25,7.244,128800
미래에셋벤처투자,2021-03-04,7.2981,6910
GS,2021-02-23,7.4074,42050
부국증권우,2020-11-23,7.4169,21000
사람인에이치알,2021-02-18,7.4194,33300
퍼시스,2020-12-11,7.5085,31500
오뚜기,2020-08-12,7.5472,627000
한국조선해양,2021-01-06,7.7922,124500
세보엠이씨,2021-03-02,7.9032,6690
IHQ,2021-02-16,7.9156,2045
호텔신라,2021-01-18,7.9572,90900
씨티케이코스메틱스,2020-08-13,7.9618,16950
삼성생명,2021-01-11,8.0346,87400
보성파워텍,2020-10-19,8.061,2480
동국제강,2021-03-08,8.0808,10700
삼성엔지니어링,2021-01-06,8.0882,14700
데브시스터즈,2021-02-24,8.1505,69000
제룡전기,2021-02-18,8.1699,6620
윌비스,2021-02-10,8.1761,1720
이마트,2021-01-13,8.1921,191500
한양증권,2021-02-08,8.3333,11050
에이치케이,2021-01-08,8.3333,1885
극동유화,2021-03-08,8.3791,3945
라이온켐텍,2021-02-05,8.4596,8590
신송홀딩스,2020-12-17,8.4708,4930
S&TC,2020-06-08,8.4848,17900
경창산업,2021-02-16,8.4967,3320
성창기업지주,2020-12-22,8.5062,2615
코리아에셋투자증권,2020-08-05,8.532,8650
선광,2021-03-02,8.5409,30500
보해양조,2020-12-09,8.5714,1140
인포바인,2020-03-31,8.5859,21500
DB금융투자,2021-01-11,8.6207,6300
동양생명,2021-02-23,8.6391,4590
황금에스티,2021-02-22,8.6475,9800
지니뮤직,2021-03-04,8.6601,6650
싸이토젠,2021-01-22,8.7719,62000
경동인베스트,2021-03-03,8.8496,36900
BYC,2021-02-24,9.0153,393000
이상네트웍스,2020-11-16,9.0789,8290
대한제강,2021-03-04,9.0909,15000
한국ANKOR유전,2021-01-29,9.0909,1800
NI스틸,2021-02-22,9.104,3775
티웨이홀딩스,2021-02-26,9.1803,1665
금호타이어,2020-09-17,9.1837,4280
노루홀딩스,2021-02-22,9.2105,12450
동성코퍼레이션,2020-12-21,9.2593,5310
로지시스,2021-02-26,9.2649,10850
진로발효,2020-03-10,9.2834,33550
영원무역,2021-03-04,9.2848,43550
진에어,2021-03-05,9.3525,22800
동방아그로,2020-08-06,9.375,7350
오리온홀딩스,2020-05-15,9.3863,15150
베뉴지,2021-01-22,9.4708,1965
뉴프라이드,2020-03-09,9.484,785
하림지주,2021-02-22,9.5556,9860
잉글우드랩,2021-01-26,9.5652,6300
제룡산업,2020-12-17,9.5729,7440
유니드,2021-02-23,9.6,68500
대명소노시즌,2021-02-17,9.6774,1530
유니켐,2020-04-29,9.7087,1695
신세계인터내셔날,2020-04-28,9.7257,220000
CJ CGV,2021-01-26,9.7649,30350
용평리조트,2020-05-25,9.7804,5500
청보산업,2021-03-02,9.7826,15150
아즈텍WB,2021-01-15,9.8425,2790
코이즈,2021-03-08,9.9253,5150
두산밥캣,2021-02-15,9.9259,37100
대성에너지,2020-09-16,9.9624,5850
세이브존I&C,2020-10-12,9.9851,3690
쌍용양회,2020-12-11,10.089,7420
삼성화재,2020-11-19,10.1299,212000
참엔지니어링,2021-01-20,10.1538,1790
SK하이닉스,2021-03-02,10.2564,150500
와이엔텍,2021-02-18,10.356,17050
S-Oil우,2021-02-16,10.395,53100
크리스에프앤씨,2020-09-04,10.4208,27550
AP시스템,2021-02-16,10.4348,31750
넥스턴,2021-02-16,10.4575,16900
액션스퀘어,2021-02-18,10.5023,2420
효성첨단소재,2021-03-04,10.5611,335000
동아엘텍,2020-10-13,10.5664,10150
이베스트투자증권,2021-01-11,10.5951,7620
미래에셋생명,2020-09-10,10.5968,4540
진양홀딩스,2020-07-10,10.6227,3020
이엠텍,2021-03-03,10.6825,18650
SK텔레콤,2021-01-08,10.6855,274500
피제이메탈,2020-08-04,10.6996,2690
한화생명,2021-02-23,10.7251,3665
신라교역,2021-01-21,10.7724,10900
제이엠티,2021-03-03,10.8148,3740
엠투아이,2021-02-18,10.8851,13029
비즈니스온,2021-02-22,10.8883,19350
미원화학,2021-01-22,10.8943,68200
대동기어,2021-01-21,10.9589,4050
한신기계,2021-02-10,10.9859,1970
유진테크,2021-03-02,11.0104,42850
미원상사,2021-02-22,11.0119,186500
아이에스동서,2021-01-22,11.0487,59300
한국자산신탁,2020-12-22,11.0971,4405
NPC,2021-02-18,11.1111,4600
삼정펄프,2021-01-11,11.1888,31800
SPC삼립,2020-05-07,11.2518,79100
인바디,2020-05-11,11.2903,20700
다우기술,2021-01-27,11.3462,28950
광주신세계,2020-10-08,11.3497,181500
GS우,2020-06-19,11.36,34800
SIMPAC,2021-02-10,11.4243,3755
한국토지신탁,2020-12-21,11.4428,2240
펌텍코리아,2021-02-17,11.4706,18950
덕산네오룩스,2021-03-02,11.4899,44150
LG상사,2020-12-23,11.5242,30000
디와이,2021-01-20,11.6239,6530
KT&G,2020-06-03,11.7353,89500
아세아,2021-02-04,11.745,99900
HB테크놀러지,2021-02-18,11.8182,3075
정상제이엘에스,2020-03-09,11.84,6990
모두투어,2021-01-14,11.8421,25500
삼천리,2020-09-10,11.8644,92400
덱스터,2021-03-08,11.9537,8710
비피도,2021-01-05,12.0,28000
우노앤컴퍼니,2021-02-05,12.0125,7180
동성화인텍,2020-11-25,12.069,13000
우리손에프앤지,2020-06-02,12.1212,2590
이스트소프트,2020-10-05,12.1343,10350
NAVER,2021-02-22,12.1715,405500
아시아경제,2020-10-14,12.212,2435
위닉스,2021-02-19,12.2449,27500
코콤,2021-01-28,12.3547,7730
이니텍,2020-07-09,12.3711,5450
본느,2021-02-19,12.4031,3625
정산애강,2020-07-20,12.4402,2350
아스트,2020-03-11,12.4585,6770
디오,2021-02-15,12.4658,41050
SBS콘텐츠허브,2020-06-23,12.4807,7300
YTN,2021-01-22,12.4859,5000
윈팩,2021-03-08,12.5,3150
동원산업,2021-02-19,12.5,283500
카프로,2020-11-25,12.5298,4715
엔씨소프트,2021-02-08,12.5671,1048000
원림,2021-03-08,12.6551,22700
이루온,2020-04-02,12.6935,1820
백광산업,2021-01-21,12.7059,4790
제일기획,2020-10-15,12.7139,23050
대한제당,2021-03-03,12.7273,24800
에스제이그룹,2020-06-15,12.7814,24248
와이지-원,2020-11-25,12.8284,7300
기업은행,2020-06-04,12.9032,10150
제주은행,2021-03-04,12.9032,10150
제일연마,2021-01-15,12.9076,8310
화일약품,2020-08-06,13.0159,17800
테이팩스,2021-02-18,13.0653,45000
노랑풍선,2020-11-17,13.0785,28100
백산,2021-03-08,13.1378,8870
휴비츠,2020-03-09,13.1378,8870
신일전자,2020-05-20,13.1403,2540
골프존뉴딘홀딩스,2020-11-06,13.1498,7400
KCC,2021-01-26,13.25,226500
코스맥스,2020-10-12,13.3333,127500
동원F&B,2020-05-18,13.3501,225000
한독크린텍,2021-01-20,13.3803,32200
현대제철,2021-01-08,13.3867,49550
아모레퍼시픽,2021-01-25,13.3929,254000
에스에프에이,2021-02-17,13.4293,47300
LG생활건강,2021-01-26,13.4309,1706000
노바렉스,2020-08-10,13.5068,45800
에이텍티앤,2020-08-14,13.5185,30650
OCI,2021-03-05,13.5246,138500
디지캡,2020-08-27,13.5496,5950
동양철관,2021-02-26,13.6,1420
TS인베스트먼트,2020-11-25,13.6598,4410
코오롱인더,2021-02-16,13.6802,59000
한국금융지주,2021-02-22,13.7116,96200
안랩,2021-01-07,13.7149,105300
세아제강지주,2020-09-08,13.7212,51800
유진기업,2021-01-20,13.7421,5380
현대홈쇼핑,2020-12-16,13.7709,88400
영원무역홀딩스,2020-06-03,13.7845,45400
동남합성,2020-12-28,13.8829,52500
포스코인터내셔널,2021-02-19,13.9013,25400
아프리카TV,2021-02-16,13.9073,86000
효성티앤씨,2021-02-03,13.9298,503000
애경유화,2021-02-22,13.9423,11850
코스메카코리아,2020-08-13,13.9706,15500
화성밸브,2020-06-04,14.0,6840
씨엠에스에듀,2021-03-05,14.0244,7480
신세계푸드,2020-05-14,14.0376,78800
대한화섬,2021-02-05,14.0426,134000
한네트,2021-02-24,14.0909,12550
신도리코,2021-02-09,14.1176,33950
무학,2020-09-17,14.1194,7840
SK머티리얼즈,2020-12-29,14.1205,375000
혜인,2020-05-27,14.1447,6940
나우IB,2021-01-19,14.1553,12500
롯데정보통신,2021-01-06,14.1753,44300
KSS해운,2020-11-12,14.218,12050
비에이치아이,2021-03-08,14.2857,3840
덕성,2021-03-08,14.2857,12800
