stock,date,gap,high
하나금융지주,2021-03-11,0.2404,41700
JB금융지주,2021-03-11,0.9615,6300
현대미포조선,2021-03-09,1.0256,59100
쿠쿠홀딩스,2021-03-09,1.087,139500
우진플라임,2021-03-11,1.194,6780
KT,2021-02-17,1.2963,27350
대신증권2우B,2020-12-28,1.3393,11350
원일특강,2021-03-10,1.3953,10900
대신증권우,2020-12-28,1.7094,11900
SNT중공업,2021-03-04,1.8767,7600
한전기술,2021-03-09,2.2113,20800
디티알오토모티브,2021-03-11,2.2436,31900
현대그린푸드,2020-05-18,2.3566,9990
현대건설기계,2021-03-11,2.4287,48500
동일금속,2021-03-04,2.4691,12450
신영증권우,2021-03-09,2.4735,58000
한일시멘트,2021-02-04,2.5641,120000
제이에스코퍼레이션,2021-03-02,2.7132,13250
현대일렉트릭,2020-09-10,2.716,20800
한국철강,2021-02-04,3.0624,8750
덴티움,2021-03-08,3.2154,64200
미원상사,2021-02-22,3.3241,186500
동국제강,2021-03-08,3.3816,10700
대신증권,2021-03-04,3.3898,15250
넥센타이어1우B,2021-02-15,3.4247,3020
DGB금융지주,2021-03-09,3.5578,8150
싸이토젠,2021-01-22,3.6789,62000
YW,2021-03-03,3.7037,4760
금화피에스시,2020-08-18,3.7801,30200
국도화학,2021-03-10,3.8062,60000
디와이파워,2021-03-11,3.8123,17700
이엠텍,2021-03-03,3.8997,18650
S&T중공업,2021-03-04,3.9672,7600
GS홈쇼핑,2020-10-29,3.9777,149000
월덱스,2021-03-05,4.0089,23350
LF,2021-02-18,4.0625,16650
삼양패키징,2021-03-05,4.086,24200
선광,2021-03-02,4.0956,30500
화승알앤에이,2021-02-23,4.1096,3800
효성티앤씨,2021-02-03,4.1408,503000
두산밥캣,2021-02-15,4.2135,37100
하나투어,2021-03-02,4.2169,69200
KISCO홀딩스,2021-02-18,4.2623,15900
한국경제TV,2021-03-10,4.2857,7300
세아특수강,2021-03-08,4.3307,13250
한국콜마,2021-02-19,4.3554,59900
제주항공,2021-03-08,4.4968,24400
덕산네오룩스,2021-03-02,4.497,44150
삼영무역,2021-02-22,4.5139,15050
화승엔터프라이즈,2021-03-10,4.5181,17350
신세계,2021-03-09,4.5296,300000
사람인에이치알,2021-02-18,4.5526,33300
부스타,2021-03-10,4.6205,6340
모바일리더,2021-02-23,4.6316,24850
진로발효,2020-05-25,4.6926,32350
동일산업,2021-01-25,4.6954,82500
강원랜드,2020-05-27,4.7059,26700
파라다이스,2021-03-04,4.7354,18800
BGF리테일,2021-01-29,4.9275,181000
락앤락,2021-03-11,5.102,15450
GS,2021-02-23,5.125,42050
