stock,date,gap,high
맥쿼리인프라,2021-06-01,0.3968,12650
고려신용정보,2021-06-04,0.6438,9380
대성홀딩스,2021-06-09,0.8287,36500
휴비츠,2021-06-08,0.9756,10350
SK가스,2020-10-15,1.1719,129500
용평리조트,2021-06-03,1.1945,5930
TBH글로벌,2021-06-09,1.2295,2470
우리로,2020-06-10,1.3089,1935
교보증권,2021-05-11,1.4115,9340
태광산업,2021-06-09,1.4627,1318000
루트로닉3우C,2021-06-09,1.4851,20500
하이골드12호,2020-12-07,1.5936,2550
현대로템,2021-06-09,1.626,25000
CJ프레시웨이,2021-06-01,1.6692,33500
레이언스,2021-06-08,1.7065,14900
S-Oil우,2021-06-09,1.7657,63400
코스맥스,2021-06-03,1.8587,137000
신한지주,2021-06-02,1.8846,43250
아모레G3우(전환),2021-06-03,1.9455,52400
맵스리얼티1,2021-06-09,1.9763,5160
CJ4우(전환),2021-06-01,1.9868,92400
제이엠아이,2020-06-10,2.0067,1525
인포바인,2021-05-31,2.0179,22750
신라교역,2021-06-03,2.0906,14650
코스메카코리아,2021-06-09,2.1277,19200
상상인,2021-06-08,2.1378,8600
엔피케이,2021-06-03,2.1598,2365
삼천리,2021-06-08,2.1807,98400
진로발효,2021-06-02,2.3599,34700
BYC우,2021-06-01,2.3684,194500
제일기획,2021-06-01,2.5641,26000
성신양회,2021-06-08,2.6415,13600
씨큐브,2021-06-09,2.649,9300
에이스침대,2020-07-01,2.6596,48250
CJ우,2021-06-01,2.7273,67800
삼성화재,2021-06-09,2.7842,221500
롯데정보통신,2021-01-06,2.7842,44300
롯데지주,2021-06-08,2.8269,43650
삼양옵틱스,2021-06-08,2.8302,10900
KBI메탈,2021-06-09,2.8571,3240
감성코퍼레이션,2021-06-04,2.8662,1615
자이글,2021-06-09,2.9126,5300
BGF리테일,2021-06-08,2.9333,193000
GS홈쇼핑,2021-06-01,3.0323,159700
선광,2021-05-17,3.0902,41700
메가스터디교육,2021-04-14,3.2593,69700
서산,2021-04-22,3.3435,3400
삼성화재우,2020-10-26,3.3639,169000
S-Oil,2021-06-03,3.3816,107000
E1,2021-06-08,3.3956,60900
정상제이엘에스,2021-06-02,3.4346,7830
하츠,2021-02-04,3.4884,13350
우리금융지주,2021-06-04,3.5088,11800
경동나비엔,2021-05-27,3.5494,67100
호텔신라,2021-05-31,3.6217,103000
하나투어,2021-06-03,3.6264,94300
현우산업,2021-04-07,3.6466,7390
삼영전자,2021-06-03,3.663,14150
디티알오토모티브,2021-05-31,3.6988,39250
대한화섬,2021-06-07,3.7162,153500
아모레G,2021-06-02,3.7323,80600
한국타이어앤테크놀로지,2021-06-08,3.7523,55300
부산산업,2021-06-07,3.7618,165500
롯데손해보험,2021-06-09,3.7647,2205
빅솔론,2021-06-08,3.8017,6280
한국콜마,2021-06-03,3.8017,62800
스카이라이프,2021-06-08,3.8095,10900
동일금속,2021-05-11,3.9711,14400
한양증권,2021-06-08,4.0123,16850
SK렌터카,2021-06-09,4.0268,15500
부국증권우,2021-05-11,4.0359,23200
세진중공업,2020-09-11,4.0736,8201
에스텍,2021-06-03,4.0816,12750
3S,2021-06-09,4.127,3280
삼영무역,2021-05-17,4.142,17600
고려시멘트,2021-04-09,4.1469,4395
DB,2021-06-07,4.186,1120
강원랜드,2021-06-03,4.2328,29550
유진기업,2021-04-09,4.2484,6380
한국패러랠,2020-06-24,4.2607,2080
동부건설,2020-12-11,4.3165,14500
하나금융지주,2021-06-04,4.3478,48000
아이텍,2021-05-21,4.4053,11850
한국쉘석유,2020-12-21,4.4248,295000
CJ ENM,2021-01-26,4.4418,174000
오리온홀딩스,2021-05-10,4.4568,18750
신화콘텍,2021-01-26,4.4814,4080
한화3우B,2021-01-26,4.4872,16300
KB금융,2021-05-11,4.5455,59800
KT,2021-06-01,4.5524,34450
미래에셋생명,2021-05-13,4.5872,4560
쎄니트,2021-04-20,4.5894,2165
신세계인터내셔날,2021-05-31,4.6154,238000
제너셈,2021-05-24,4.6154,10200
GKL,2021-05-31,4.6196,19250
화신,2021-06-09,4.6875,8710
기업은행,2021-06-04,4.6948,11150
쌍용C&E,2021-06-08,4.7561,8590
신영와코루,2021-05-31,4.8387,130000
애경산업,2021-06-01,4.8527,30250
SGC에너지,2020-09-21,4.8682,51700
현대그린푸드,2021-05-14,4.8889,11800
SK네트웍스,2021-06-09,4.91,6410
사조오양,2021-06-03,4.9587,12700
한화에어로스페이스,2021-06-08,5.123,51300
한국가스공사,2021-06-08,5.1519,39800
화천기공,2021-05-03,5.1546,40800
서한,2021-05-11,5.168,2035
서부T&D,2021-06-09,5.1852,9940
블루콤,2021-06-07,5.2083,10100
SGC이테크건설,2021-06-07,5.2334,74400
금강공업,2021-06-09,5.2758,8780
넥센타이어,2021-04-26,5.2809,9370
무학,2021-05-12,5.2922,9550
대성에너지,2021-05-27,5.3651,7070
삼성증권,2021-06-01,5.4204,47650
GS,2021-05-11,5.4507,50300
쿠쿠홀딩스,2021-04-27,5.4745,144500
지투알,2021-04-29,5.4755,7320
디오,2021-04-13,5.4878,43250
대현,2021-06-01,5.5459,3045
일신방직,2021-04-26,5.5556,114000
동우팜투테이블,2020-07-03,5.5631,3890
유니켐,2021-04-21,5.5718,1800
CJ제일제당,2021-06-01,5.5914,491000
신영증권,2021-06-03,5.618,65800
유신,2021-06-09,5.6566,26150
