stock,date,gap,high
윌비스,2021-06-03,0.1789,2800
알루코,2020-08-13,0.6861,5870
대성홀딩스,2021-05-18,0.7032,35800
태광산업,2021-06-03,0.7752,1300000
BYC우,2021-06-01,0.7772,194500
삼양옵틱스,2021-03-26,0.9346,10800
CJ4우(전환),2021-06-01,0.9836,92400
휴비츠,2021-06-03,0.9852,10250
지역난방공사,2021-06-03,1.0941,46200
바텍,2021-05-12,1.1461,35300
사조오양,2021-06-03,1.1952,12700
맥쿼리인프라,2021-06-01,1.2,12650
씨큐브,2021-06-02,1.2236,9100
디와이,2021-01-20,1.2403,6530
신영증권,2021-06-03,1.3867,65800
맵스리얼티1,2021-06-02,1.3917,5100
한국단자,2021-06-03,1.5152,100500
원익,2021-04-06,1.5598,5860
인포바인,2021-05-31,1.5625,22750
신영와코루,2021-05-31,1.5625,130000
에스텍,2021-06-03,1.5936,12750
루트로닉3우C,2021-03-22,1.5957,19100
삼천리,2021-06-02,1.5991,95300
진로발효,2021-06-02,1.6105,34700
미래테크놀로지,2021-05-27,1.6667,12200
인터로조,2021-06-03,1.7274,26500
에이스침대,2020-07-01,1.7932,48250
신도리코,2021-06-03,1.8207,36350
SGC이테크건설,2021-06-03,1.8284,72400
서부T&D,2021-06-03,1.873,9790
신한지주,2021-06-02,1.8846,43250
S-Oil,2021-06-03,1.9048,107000
한전KPS,2021-05-27,2.0452,47400
현대에버다임,2021-06-03,2.0472,6480
환인제약,2021-04-19,2.0501,22400
신라교역,2021-06-03,2.0906,14650
넥센,2021-04-26,2.1033,5340
아모레G3우(전환),2021-06-03,2.1442,52400
신화콘텍,2021-01-26,2.2556,4080
대한화섬,2021-06-03,2.3411,153000
DB손해보험,2021-06-03,2.3483,52300
두산,2021-05-31,2.3837,90200
한전산업,2021-04-22,2.3973,5980
넥센타이어1우B,2021-05-10,2.4658,3740
삼성화재,2021-05-13,2.5641,220000
계룡건설,2021-06-03,2.5745,37850
삼성증권,2021-06-01,2.5834,47650
엔피케이,2021-06-03,2.603,2365
교보증권,2021-05-11,2.6374,9340
디티알오토모티브,2021-05-31,2.7487,39250
금강공업,2021-06-02,2.75,8220
GS홈쇼핑,2021-06-01,2.7671,159700
부국증권우,2021-05-11,2.8825,23200
한국캐피탈,2021-05-21,2.9083,920
루트로닉,2021-05-31,2.9412,14000
씨엠에스에듀,2021-04-14,2.961,7650
대림B&Co,2021-04-28,3.0184,7850
한국가스공사,2021-04-30,3.0216,35800
한글과컴퓨터,2020-09-15,3.0733,21800
한국콜마,2021-06-03,3.1199,62800
롯데관광개발,2021-06-02,3.1746,22750
나이스정보통신,2021-06-03,3.1989,37100
제주항공,2021-06-02,3.2075,27350
GKL,2021-05-31,3.2172,19250
롯데지주,2021-06-03,3.2297,43150
레이언스,2021-05-12,3.2491,14300
BGF리테일,2021-06-03,3.2787,189000
한국공항,2021-06-03,3.301,53200
삼성화재우,2020-10-26,3.3639,169000
이지케어텍,2021-06-03,3.3803,36700
코스맥스,2021-06-03,3.3962,137000
아진엑스텍,2021-02-17,3.444,8410
대한항공,2021-06-02,3.4691,34300
청담러닝,2021-06-02,3.4783,35700
강원랜드,2021-06-03,3.5026,29550
율호,2021-06-03,3.5503,3500
대현,2021-06-01,3.5714,3045
DL이앤씨,2021-05-12,3.5842,144500
CJ제일제당,2021-06-01,3.5865,491000
동일금속,2021-05-11,3.5971,14400
아모레G,2021-06-02,3.599,80600
빛샘전자,2021-06-03,3.6025,8340
한양증권,2021-06-02,3.6066,15800
한일사료,2021-05-25,3.619,2720
CJ우,2021-06-01,3.6697,67800
SK텔레콤,2021-06-02,3.7441,332500
KT,2021-06-01,3.7651,34450
핌스,2021-04-27,3.7915,21900
KB금융,2021-05-11,3.8194,59800
금호타이어,2021-05-14,3.8194,5980
인피니트헬스케어,2020-06-25,3.8323,8670
정상제이엘에스,2021-06-02,3.8462,7830
텔코웨어,2020-06-30,3.876,13400
멀티캠퍼스,2021-06-02,3.8961,40000
JB금융지주,2021-05-14,3.8961,8000
현대중공업지주,2021-05-07,3.9318,79300
SK네트웍스,2021-06-02,3.9867,6260
한국패러랠,2020-06-24,4.0,2080
유성기업,2021-05-21,4.01,4150
세명전기,2021-05-06,4.0385,5410
유안타증권,2021-04-07,4.0404,5150
삼영전자,2021-06-03,4.0441,14150
쎄니트,2021-04-20,4.0865,2165
쌍용C&E,2021-04-26,4.0868,8150
한화3우B,2021-01-26,4.1534,16300
동아타이어,2021-05-10,4.1667,13750
동원산업,2021-05-13,4.2088,309500
현대건설,2021-06-02,4.2781,58500
쿠쿠홀딩스,2021-04-27,4.3321,144500
피엔에이치테크,2021-06-03,4.3413,34850
한솔로지스틱스,2021-02-18,4.4335,4240
애경산업,2021-06-01,4.4905,30250
경동나비엔,2021-05-27,4.5171,67100
세보엠이씨,2021-05-26,4.5288,8540
예림당,2021-06-02,4.5394,3915
용평리조트,2021-06-03,4.5855,5930
무학,2021-05-12,4.6002,9550
펌텍코리아,2021-05-27,4.6053,23850
코리안리,2021-05-13,4.6154,10200
선광,2021-05-17,4.6424,41700
경방,2021-05-26,4.6667,15700
코스메카코리아,2021-06-03,4.6832,19000
BNK금융지주,2021-05-13,4.7559,8370
대구백화점,2021-05-31,4.8276,15200
하이즈항공,2020-12-17,4.8387,6500
상상인,2020-06-09,4.8507,8430
디알텍,2021-01-19,4.8571,1835
남해화학,2021-05-10,4.878,10750
코나아이,2021-05-28,4.878,47300
LG유플러스,2021-06-02,4.918,16000
피에이치에이,2021-02-05,4.943,13800
그리티,2021-05-31,4.9482,4560
유니켐,2021-04-21,4.9563,1800
파라다이스,2021-05-31,4.9738,20050
백광산업,2021-06-01,4.9743,6120
NH투자증권,2021-05-10,4.9808,13700
에스제이그룹,2021-05-11,5.0,31500
미래에셋증권2우B,2021-05-10,5.0154,5130
한국타이어앤테크놀로지,2021-02-22,5.0584,54000
샘표식품,2021-06-01,5.0613,68500
일신방직,2021-04-26,5.0691,114000
서희건설,2021-06-03,5.0808,2275
티웨이항공,2021-06-03,5.0888,4440
솔브레인,2021-04-26,5.1163,361600
하림,2021-06-01,5.1282,3485
동양,2021-04-28,5.137,1535
미창석유,2021-04-15,5.1454,94000
코스맥스엔비티,2021-06-02,5.1502,12250
토비스,2020-11-24,5.1613,9780
한국쉘석유,2020-12-21,5.1693,295000
한전기술,2021-06-02,5.1724,61000
미래에셋생명,2021-05-13,5.1903,4560
휴젤,2020-10-23,5.2079,230300
제일기획,2021-06-01,5.2632,26000
아모레G우,2021-06-03,5.2632,29000
연우,2021-05-28,5.3068,31750
CJ ENM,2021-01-26,5.3269,174000
삼익악기,2021-06-01,5.3299,2075
오리콤,2021-04-13,5.3391,7300
하이골드12호,2020-12-07,5.3719,2550
국순당,2021-06-02,5.3812,9400
실리콘웍스,2021-06-03,5.386,117400
삼성생명,2021-05-03,5.4567,88900
리드코프,2021-06-03,5.5046,10350
NPC우,2021-05-07,5.5556,3040
글로벌텍스프리,2021-06-02,5.5917,4060
파마리서치,2021-06-01,5.6511,86000
원익QnC,2021-04-26,5.6799,30700
NH투자증권우,2021-05-11,5.7269,12000
동아지질,2021-06-02,5.7269,24000
롯데푸드,2021-05-27,5.7421,488000
