stock,date,gap,high
나노스,2021-03-02,0.7371,8200
백산,2021-03-02,0.8451,7160
제로투세븐,2021-02-23,0.9091,11100
유진테크,2021-03-02,0.9423,42850
디씨엠,2021-02-24,1.1673,13000
NAVER,2021-02-22,1.5019,405500
제이콘텐트리,2021-03-02,1.6287,46800
동일금속,2021-01-15,2.0576,12400
금화피에스시,2020-08-18,2.1997,30200
청보산업,2021-03-02,2.3649,15150
SK하이닉스,2021-03-02,2.381,150500
영원무역,2021-03-02,2.4764,43450
월덱스,2021-03-02,2.4831,22700
한일시멘트,2021-02-04,2.5641,120000
테스,2021-02-15,2.6194,33300
신영증권우,2021-02-18,2.6738,57600
신영증권,2021-02-15,2.6786,57500
한섬,2021-02-24,2.8534,39650
한국콜마,2021-02-19,2.921,59900
세아베스틸,2021-02-24,2.9508,15700
롯데케미칼,2021-03-02,3.0488,338000
제우스,2021-03-02,3.1696,32550
부스타,2020-09-16,3.2949,6270
KT,2021-02-17,3.4026,27350
락앤락,2021-03-02,3.413,15150
하나투어,2021-03-02,3.438,69200
제주항공,2021-02-24,3.4483,24000
덴티움,2021-02-26,3.4596,62800
이마트,2021-01-13,3.5135,191500
한세실업,2020-10-22,3.5461,21900
무림P&P,2021-02-24,3.5836,6070
윌비스,2021-02-10,3.6145,1720
우진플라임,2020-12-29,3.7582,6350
듀오백,2021-02-24,3.7783,8240
동원개발,2021-01-06,3.8388,5410
미원에스씨,2021-01-07,3.913,119500
선광,2021-03-02,3.9182,30500
메가스터디교육,2021-02-19,3.94,55400
파크시스템스,2021-02-25,3.9548,128800
한국가스공사,2021-01-20,3.9764,35300
아모레G,2021-01-25,4.0062,67500
LF,2021-02-18,4.0625,16650
화승알앤에이,2021-02-23,4.1096,3800
TJ미디어,2021-02-23,4.2471,4050
BYC우,2021-02-24,4.3478,168000
한국캐피탈,2020-11-27,4.5531,620
노루홀딩스,2021-02-22,4.6218,12450
넥센타이어1우B,2021-02-15,4.6794,3020
삼양패키징,2020-09-21,4.7836,23000
일신방직,2021-01-18,4.8478,93000
NEW,2021-02-05,4.902,10700
디티알오토모티브,2020-03-04,4.9296,29800
덕산네오룩스,2021-03-02,4.9941,44150
부국증권우,2020-11-23,5.0,21000
GS홈쇼핑,2020-10-29,5.0035,149000
티웨이홀딩스,2021-02-26,5.0473,1665
바텍,2020-04-29,5.1429,27600
카카오,2021-02-16,5.1672,519000
한국큐빅,2020-12-30,5.1705,4780
JB금융지주,2020-12-16,5.2189,6250
롯데관광개발,2021-03-02,5.2257,22150
OCI,2021-03-02,5.2632,130000
하나금융지주,2021-01-13,5.2903,40800
넥센타이어,2021-02-10,5.3152,8520
인포바인,2020-03-31,5.3922,21500
퍼시스,2020-12-11,5.5276,31500
현대그린푸드,2020-05-18,5.6025,9990
동일산업,2021-01-25,5.6338,82500
세보엠이씨,2021-03-02,5.6872,6690
국도화학,2020-12-17,5.7245,59100
비즈니스온,2021-02-22,5.7377,19350
황금에스티,2021-02-22,5.8315,9800
아모레퍼시픽,2021-01-25,5.8333,254000
환인제약,2021-02-16,5.8974,20650
대한제강,2021-02-04,5.9259,14300
CJ프레시웨이,2021-01-25,5.9633,23100
이루온,2020-04-02,6.1224,1820
BYC,2021-02-24,6.2162,393000
한일네트웍스,2021-02-22,6.2612,5940
아프리카TV,2021-02-16,6.3041,86000
씨엠에스에듀,2020-08-18,6.3492,6700
AP시스템,2021-02-16,6.3652,31750
서울옥션,2021-02-25,6.4159,9620
세아특수강,2020-06-03,6.4516,13200
금호타이어,2020-09-17,6.4677,4280
KB금융,2020-11-26,6.4835,48450
케이프이에스제4호,2020-06-22,6.5534,2195
잉글우드랩,2021-01-26,6.599,6300
맥쿼리인프라,2020-06-01,6.6964,11950
KISCO홀딩스,2021-02-18,6.7114,15900
진에어,2021-02-26,6.7146,22250
한양증권,2021-02-08,6.7633,11050
DB금융투자,2021-01-11,6.7797,6300
BGF리테일,2021-01-29,6.7847,181000
삼익악기,2020-06-04,6.7901,1730
강원랜드,2020-05-27,6.8,26700
동성코퍼레이션,2020-12-21,6.841,5310
오스템임플란트,2021-02-10,6.8724,76200
화일약품,2020-08-06,6.9069,17800
올리패스,2021-02-09,6.963,36100
영풍,2021-02-24,6.9692,660000
S-Oil,2021-02-23,7.0175,91500
마이크로프랜드,2021-02-10,7.0984,8600
원일특강,2020-05-08,7.2555,10200
제이에스코퍼레이션,2021-03-02,7.2874,13250
희림,2021-02-01,7.2941,4560
한국타이어앤테크놀로지,2021-02-22,7.3559,54000
솔브레인,2021-02-22,7.3592,329700
메이슨캐피탈,2020-05-08,7.3684,510
KG케미칼,2021-02-25,7.4212,28950
디아이,2021-02-15,7.4675,6620
한국금융지주,2021-02-22,7.486,96200
삼성카드,2020-12-22,7.5301,35700
GS,2021-02-23,7.5448,42050
동양철관,2021-02-26,7.5758,1420
경창산업,2021-02-16,7.6175,3320
코콤,2021-01-28,7.6602,7730
호텔신라,2021-01-18,7.8292,90900
코리아에셋투자증권,2020-08-05,7.8554,8650
코텍,2020-03-05,7.8629,10700
베뉴지,2021-01-22,7.967,1965
원풍,2021-02-03,8.0045,4790
한국철강,2021-02-04,8.0247,8750
현대상사,2021-01-08,8.1006,19350
오뚜기,2020-08-12,8.1034,627000
SK네트웍스,2021-01-20,8.1818,5950
인스코비,2021-02-26,8.2024,3100
오리온홀딩스,2020-05-15,8.2143,15150
원익IPS,2021-01-22,8.2353,55200
DGB금융지주,2020-11-18,8.2418,7880
크리스에프앤씨,2020-09-04,8.2515,27550
코오롱인더,2021-02-16,8.2569,59000
에이치케이,2021-01-08,8.3333,1885
유니드,2021-02-23,8.3861,68500
코스메카코리아,2020-08-13,8.3916,15500
제일제강,2021-01-29,8.4084,3610
액션스퀘어,2021-02-18,8.5202,2420
현대미포조선,2021-01-05,8.5981,58100
롯데칠성,2021-02-09,8.6066,132500
에스에프에이,2021-02-17,8.6108,47300
디와이,2021-01-20,8.6522,6530
피제이메탈,2020-08-04,8.6869,2690
SK텔레콤,2021-01-08,8.7129,274500
애경유화,2021-02-22,8.7156,11850
한국토지신탁,2020-12-21,8.7379,2240
AK홀딩스,2021-02-24,8.758,34150
한국ANKOR유전,2021-01-29,8.7613,1800
아세아,2021-02-04,8.8235,99900
크라운해태홀딩스,2020-09-07,8.8428,9970
대원산업,2021-03-02,8.8626,7370
윈팩,2021-01-27,8.9015,2875
진로발효,2020-03-10,8.9286,33550
엔씨소프트,2021-02-08,8.9397,1048000
신세계 I&C,2020-09-14,8.9965,157500
디오,2021-02-15,9.0305,41050
다우기술,2021-01-27,9.0395,28950
제너셈,2021-02-04,9.1075,5990
CJ CGV,2021-01-26,9.1727,30350
아이에스동서,2021-01-22,9.2081,59300
진양홀딩스,2020-07-10,9.2224,3020
대명소노시즌,2021-02-17,9.2857,1530
NH투자증권우,2020-12-28,9.3132,9390
아진엑스텍,2021-02-17,9.3628,8410
이상네트웍스,2020-11-16,9.3668,8290
이엔코퍼레이션,2021-02-19,9.3878,1340
라이온켐텍,2021-02-05,9.4268,8590
미원화학,2021-01-22,9.4703,68200
LG상사,2020-12-23,9.4891,30000
신라교역,2021-01-21,9.5477,10900
원익머트리얼즈,2021-01-05,9.5775,38900
기신정기,2020-09-09,9.5855,4230
알로이스,2021-02-03,9.589,5600
동아엘텍,2020-10-13,9.6112,10150
대신증권2우B,2020-12-28,9.6618,11350
대신증권우,2020-12-28,9.6774,11900
인바디,2020-03-05,9.6859,20950
아모레G3우(전환),2020-03-05,9.6933,44700
삼일기업공사,2020-12-24,9.7959,5380
이베스트투자증권,2021-01-11,9.7983,7620
펌텍코리아,2021-02-17,9.8551,18950
SPC삼립,2020-05-07,9.8611,79100
동방아그로,2020-08-06,9.8655,7350
씨큐브,2020-05-29,9.8765,8900
유화증권,2021-01-06,9.8901,2500
세아홀딩스,2020-12-09,9.893,82200
두산밥캣,2021-02-15,9.9259,37100
영원무역홀딩스,2020-06-03,9.9274,45400
위닉스,2021-02-19,10.0,27500
다나와,2021-02-16,10.0,37950
와이엔텍,2021-02-18,10.0,17050
우리금융지주,2020-06-04,10.0307,10750
한신기계,2021-02-10,10.0559,1970
글로벌에스엠,2021-02-09,10.084,1310
DSR제강,2021-02-17,10.1338,5760
코리안리,2020-04-17,10.1485,8900
한국자산신탁,2020-12-22,10.2628,4405
동원산업,2021-02-19,10.3113,283500
디지아이,2021-02-08,10.3321,2990
삼일,2020-12-11,10.3753,2500
모두투어,2021-01-14,10.3896,25500
삼성전기,2021-01-26,10.396,223000
극동유화,2020-12-11,10.4106,3765
삼정펄프,2021-01-11,10.4167,31800
쌍용양회,2020-12-11,10.4167,7420
지엔원에너지,2021-02-18,10.4427,4865
레이크머티리얼즈,2021-02-18,10.4712,4220
유진기업,2021-01-20,10.4723,5380
효성첨단소재,2021-02-17,10.5175,331000
케이사인,2021-03-02,10.5376,2570
에버다임,2020-09-17,10.5477,5450
금강철강,2021-03-02,10.566,4395
현대건설기계,2020-12-11,10.5834,40750
S&T홀딩스,2021-01-21,10.6145,19800
삼성생명,2021-01-11,10.6329,87400
한독크린텍,2021-01-20,10.6529,32200
태광산업,2021-02-09,10.661,1038000
LG디스플레이,2021-02-16,10.6987,25350
한솔PNS,2021-03-02,10.7317,2270
텔레칩스,2021-02-17,10.7692,21600
신세계인터내셔날,2020-04-28,10.8312,220000
사조오양,2021-02-23,10.8374,11250
대현,2021-01-27,10.8491,2350
한국종합기술,2021-01-28,10.9804,8490
NI스틸,2021-02-22,11.0294,3775
KSS해운,2020-11-12,11.0599,12050
유니셈,2021-01-26,11.1111,14500
알톤스포츠,2021-02-22,11.134,5390
롯데정보통신,2021-01-06,11.1669,44300
GS우,2020-06-19,11.1821,34800
아시아경제,2020-10-14,11.1872,2435
잉크테크,2020-12-16,11.2486,4945
광주신세계,2020-10-08,11.3497,181500
한솔케미칼,2021-02-22,11.3537,255000
풍산,2021-02-23,11.3604,39700
사람인에이치알,2021-02-18,11.3712,33300
원익QnC,2021-01-25,11.4144,22450
현대홈쇼핑,2020-12-16,11.4754,88400
S&TC,2020-06-08,11.5265,17900
이즈미디어,2021-02-22,11.5385,17400
KCC,2021-01-26,11.5764,226500
동남합성,2020-12-28,11.5834,52500
삼천리,2020-09-10,11.5942,92400
사조동아원,2021-02-23,11.6,1395
인선이엔티,2021-02-18,11.6466,13900
한국조선해양,2021-01-06,11.6592,124500
이니텍,2020-07-09,11.6803,5450
미래생명자원,2021-02-17,11.7021,6300
IHQ,2021-02-16,11.7486,2045
성창기업지주,2020-12-22,11.7521,2615
삼양통상,2020-08-18,11.7552,69400
팜스토리,2021-02-24,11.7808,2040
현대일렉트릭,2020-09-10,11.828,20800
케이씨씨글라스,2021-02-17,11.9048,51700
하림지주,2021-02-22,11.9183,9860
케이디켐,2020-12-21,11.9403,15000
에스제이그룹,2020-06-15,12.0,24248
엔텔스,2021-02-17,12.0074,9095
TS인베스트먼트,2020-11-25,12.0712,4410
리노공업,2021-02-22,12.0767,175400
서부T&D,2021-01-07,12.1099,8980
티케이케미칼,2021-02-02,12.1406,3510
앤씨앤,2021-02-04,12.1464,6740
KT&G,2020-06-03,12.1554,89500
우노앤컴퍼니,2021-02-05,12.1875,7180
피에스케이홀딩스,2021-01-25,12.2249,9180
에이피티씨,2021-02-18,12.2249,22950
동서,2021-02-19,12.232,44500
네오티스,2021-02-04,12.3321,4600
동양생명,2021-02-23,12.3623,4590
미래에셋생명,2020-09-10,12.3762,4540
GKL,2020-12-11,12.3839,18150
루멘스,2021-01-04,12.4126,3215
에스티아이,2020-07-23,12.4668,21200
SBS콘텐츠허브,2020-06-23,12.4807,7300
신한지주,2020-06-04,12.4814,37850
대성에너지,2020-09-16,12.5,5850
와이아이케이,2021-02-05,12.5176,8000
삼익THK,2020-09-21,12.5475,14800
제주은행,2021-02-18,12.6061,9290
대성홀딩스,2021-02-08,12.6177,29900
F&F,2021-02-18,12.6354,156000
심텍,2021-02-16,12.6362,25850
테이팩스,2021-02-18,12.6408,45000
티로보틱스,2021-02-18,12.6761,12000
모바일리더,2021-02-23,12.6984,24850
우진아이엔에스,2020-08-24,12.7249,8770
싸이토젠,2021-01-22,12.7273,62000
애경산업,2020-04-28,12.7413,29200
디스플레이텍,2021-01-25,12.7733,4900
까뮤이앤씨,2021-02-04,12.7941,3835
사조대림,2021-02-22,12.7976,18950
카프로,2020-11-25,12.799,4715
코스맥스,2020-10-12,12.8319,127500
하나머티리얼즈,2021-02-19,12.8571,39500
브리지텍,2020-08-27,12.9193,4545
피에스엠씨,2021-01-12,12.963,1830
삼표시멘트,2021-02-04,12.9741,5660
한미반도체,2021-02-19,12.9956,25650
씨티케이코스메틱스,2020-08-13,13.0,16950
참좋은여행,2021-01-14,13.0435,13000
SK렌터카,2021-02-17,13.0435,13000
PI첨단소재,2021-02-16,13.0979,49650
YTN,2021-01-22,13.1222,5000
NH투자증권,2021-01-11,13.1579,12900
LG생활건강,2021-01-26,13.205,1706000
율호,2021-02-17,13.2554,2905
데브시스터즈,2021-02-24,13.3005,69000
파워로직스,2021-01-11,13.3333,11050
S-Oil우,2021-02-16,13.3404,53100
고려아연,2020-08-07,13.3495,467000
동원F&B,2020-05-18,13.3501,225000
한컴MDS,2021-01-27,13.3758,17800
대원전선,2021-02-16,13.3956,1820
조선내화,2021-01-05,13.4085,90500
아이씨디,2021-02-16,13.4286,19850
KPX케미칼,2021-02-08,13.44,70900
NPC,2021-02-18,13.4402,4600
케이씨,2021-02-05,13.4545,31200
한솔테크닉스,2021-01-19,13.4615,11800
테크윙,2021-01-26,13.5135,25200
인터파크,2021-02-17,13.5238,5960
SJM홀딩스,2021-02-04,13.5521,3980
LG이노텍,2021-01-26,13.6038,238000
아나패스,2020-09-09,13.6106,30050
이랜텍,2021-01-07,13.6631,9650
골프존뉴딘홀딩스,2020-11-06,13.6713,7400
아가방컴퍼니,2020-03-06,13.6856,4195
엘브이엠씨홀딩스,2021-01-27,13.6905,4775
이녹스첨단소재,2020-09-15,13.7452,53119
한일현대시멘트,2021-02-16,13.7484,43850
대동기어,2021-01-21,13.764,4050
파트론,2021-02-18,13.7778,12800
노바렉스,2020-08-10,13.7888,45800
넥스턴,2021-02-16,13.8047,16900
제일연마,2021-01-15,13.8356,8310
싸이맥스,2021-01-25,13.8425,23850
실리콘웍스,2021-01-26,13.8439,77300
인산가,2020-09-17,13.8889,2255
미원홀딩스,2021-01-08,13.9073,86000
무학,2020-09-17,13.9535,7840
동성화학,2020-06-05,14.0187,18300
사조산업,2021-02-17,14.0625,43800
LG생활건강우,2020-03-05,14.0845,810000
피에스케이,2020-12-17,14.0957,42900
대한항공,2021-02-08,14.1071,31950
동양파일,2021-02-09,14.1199,5900
경남스틸,2021-02-24,14.2315,3010
한화시스템,2021-02-19,14.25,22850
이랜시스,2020-10-16,14.2857,2840
삼성엔지니어링,2020-03-05,14.2857,14800
롯데푸드,2021-02-17,14.2857,432000
코오롱인더우,2021-02-02,14.3137,29150
서울반도체,2021-01-11,14.3216,22750
삼보모터스,2021-01-20,14.3226,8860
안랩,2021-01-07,14.3322,105300
부국증권,2020-10-23,14.3498,25500
이스트소프트,2020-10-05,14.3646,10350
남해화학,2020-08-10,14.3678,9950
아세아제지,2021-02-17,14.382,50900
LS,2021-01-08,14.4492,80000
용평리조트,2020-05-25,14.4641,5500
드림시큐리티,2020-09-17,14.486,4900
유니켐,2020-04-29,14.527,1695
대한유화,2021-02-17,14.548,405500
엠케이전자,2021-02-17,14.5923,13350
인텍플러스,2021-02-18,14.5923,26700
대동공업,2021-02-23,14.6341,9400
대한그린파워,2021-02-26,14.6465,2270
SIMPAC,2021-02-10,14.6565,3755
정상제이엘에스,2020-03-03,14.7249,7090
패션플랫폼,2021-02-19,14.7766,1670
NPC우,2020-06-19,14.7844,2795
글로벌텍스프리,2020-12-04,14.8325,3600
무림페이퍼,2020-12-11,14.8581,3440
피에스텍,2021-02-22,14.8862,6560
JYP Ent,2020-12-03,14.888,43600
대우건설,2021-02-02,14.9228,6700
한국특수형강,2020-12-04,14.9733,2150
대한화섬,2021-02-05,15.0215,134000
한국패러랠,2020-03-09,15.0259,2220
넥센,2020-05-08,15.1125,5370
제룡전기,2021-02-18,15.1304,6620
한국컴퓨터,2021-02-25,15.1775,4705
동운아나텍,2021-01-04,15.2074,12500
삼성전자,2021-01-11,15.2381,96800
캐리소프트,2021-02-22,15.2846,7090
세이브존I&C,2020-10-12,15.3125,3690
엔피케이,2020-12-21,15.3266,2295
이글루시큐리티,2021-02-04,15.3457,6840
HDC,2020-09-14,15.3846,12750
파세코,2020-06-04,15.3846,18750
씨앤지하이테크,2021-01-27,15.3846,16500
게임빌,2021-02-16,15.3846,45000
미래에셋대우2우B,2020-08-11,15.4286,5050
SFA반도체,2021-02-16,15.4709,10300
서희건설,2021-01-06,15.4839,1790
한전기술,2020-09-04,15.493,20500
에스넷,2020-09-09,15.493,8200
대덕전자,2021-02-16,15.5116,17500
시디즈,2020-08-18,15.5229,70700
현대건설,2021-01-12,15.528,46500
한신공영,2021-01-25,15.5313,21200
삼현철강,2021-02-24,15.5319,5430
뉴트리,2020-05-18,15.544,33450
지란지교시큐리티,2020-05-18,15.5556,6760
동아지질,2020-04-22,15.6627,19200
일동홀딩스,2021-02-04,15.6667,17350
에이팩트,2021-01-06,15.6977,7960
유니트론텍,2020-10-14,15.7347,8900
미래에셋대우,2021-01-11,15.7456,11100
태영건설,2021-01-19,15.7676,13950
CJ대한통운,2021-02-04,15.7738,194500
대창,2021-02-17,15.869,2300
휠라홀딩스,2021-01-13,15.8711,48550
SJM,2021-02-04,15.8924,4740
로체시스템즈,2021-01-27,15.8983,7290
삼성출판사,2021-02-18,15.9664,41400
한화생명,2021-02-23,15.981,3665
원익홀딩스,2021-01-26,16.0126,7390
주성엔지니어링,2021-02-15,16.0194,11950
삼성바이오로직스,2021-01-11,16.0315,883000
피엔티,2021-01-08,16.0714,29250
동성화인텍,2020-11-25,16.0714,13000
대상우,2021-01-27,16.1111,20900
SK머티리얼즈,2020-12-29,16.135,375000
동일기연,2021-02-17,16.1417,14750
세아제강지주,2020-09-08,16.1435,51800
우리손에프앤지,2020-06-02,16.1435,2590
코미코,2021-01-25,16.1458,66900
코이즈,2021-02-18,16.1616,4600
에이루트,2020-11-13,16.1765,7900
알에스오토메이션,2021-01-25,16.1972,11550
포스코인터내셔널,2021-02-19,16.2471,25400
일진파워,2020-09-16,16.3227,6200
제일기획,2020-10-15,16.4141,23050
보성파워텍,2020-10-19,16.4319,2480
혜인,2020-05-27,16.443,6940
신도리코,2021-02-09,16.4666,33950
삼성화재,2020-11-19,16.4835,212000
신일전자,2020-05-20,16.5138,2540
이노션,2021-01-08,16.5563,70400
하이비젼시스템,2021-02-18,16.5563,17600
하이트론,2021-02-09,16.5939,8010
예림당,2020-12-17,16.6118,3545
비아트론,2021-02-18,16.6667,13650
삼화콘덴서,2021-01-26,16.6904,81800
SM Life Design,2021-02-16,16.7224,3490
현대제철,2021-01-08,16.7256,49550
현대코퍼레이션홀딩스,2021-02-04,16.7331,14650
티비씨,2020-12-03,16.7382,1360
CJ제일제당,2021-01-25,16.7488,474000
지어소프트,2021-02-17,16.7526,22650
와토스코리아,2021-02-04,16.821,7570
현대공업,2021-01-08,16.8317,11800
효성,2021-02-08,16.8512,95000
스튜디오드래곤,2021-01-21,16.8563,113000
롯데제과,2021-02-18,16.8675,145500
휴스틸,2021-02-19,16.8969,11000
DL,2021-02-22,16.9065,97500
SBS,2021-01-21,17.0213,27500
보해양조,2020-12-09,17.0431,1140
엘오티베큠,2021-01-04,17.0588,19900
드림어스컴퍼니,2020-12-11,17.0686,6310
제주반도체,2021-02-16,17.1827,7570
디와이피엔에프,2021-01-29,17.1875,30000
대성산업,2020-07-07,17.2166,4085
지역난방공사,2020-05-18,17.223,43900
빅솔론,2020-07-23,17.2557,5640
미원상사,2021-02-22,17.2956,186500
휴비츠,2020-03-03,17.3198,9280
바이오로그디바이스,2021-02-26,17.3295,2065
심텍홀딩스,2021-02-16,17.3585,3110
나스미디어,2021-02-18,17.3797,43900
인크로스,2021-02-18,17.3828,60100
켐트로닉스,2021-02-05,17.3838,34100
성신양회,2020-07-27,17.3913,9450
화천기공,2020-05-08,17.4051,37100
삼성전자우,2021-01-11,17.456,86800
KG ETS,2021-02-23,17.4803,7460
문배철강,2021-01-05,17.487,4535
코나아이,2021-02-22,17.5,47000
나이스정보통신,2020-05-15,17.5258,34200
삼성SDI,2021-02-17,17.5287,818000
삼일씨엔에스,2021-02-04,17.5573,15400
노랑풍선,2020-11-17,17.5732,28100
한화3우B,2021-01-26,17.6895,16300
서연이화,2020-12-09,17.715,9170
고려신용정보,2020-05-18,17.7152,7110
일진머티리얼즈,2021-02-18,17.7396,82300
모토닉,2020-09-10,17.7536,16250
케이씨에스,2021-03-02,17.7778,10600
