stock,date,gap,high
제주항공,2021-03-04,0.2075,24150
동국제강,2021-03-03,0.7128,9890
파라다이스,2021-03-04,0.8043,18800
제이엠티,2021-03-03,0.8086,3740
에버다임,2020-09-17,1.1132,5450
더네이쳐홀딩스,2021-03-04,1.2367,57300
대신증권,2021-03-04,1.3289,15250
한세실업,2020-10-22,1.3889,21900
에코프로,2021-03-04,1.4327,70800
영원무역,2021-03-04,1.5152,43550
디씨엠,2021-02-24,1.5625,13000
S&T중공업,2021-03-04,1.6043,7600
한국콜마,2021-02-19,1.6978,59900
YW,2021-03-03,1.7094,4760
신영증권,2021-02-15,1.7699,57500
강원랜드,2020-05-27,1.9084,26700
덴티움,2021-03-04,1.9386,63100
신영증권우,2021-02-18,1.9469,57600
부스타,2020-09-16,1.9512,6270
락앤락,2021-03-02,2.0202,15150
청보산업,2021-03-02,2.0202,15150
미원에스씨,2021-01-07,2.1368,119500
GS홈쇼핑,2020-10-29,2.4759,149000
하나투어,2021-03-02,2.5185,69200
메가스터디교육,2021-03-04,2.5547,56200
현대상사,2021-01-08,2.6525,19350
넥스틴,2021-03-04,2.7708,81600
티웨이홀딩스,2021-02-26,2.7778,1665
한일시멘트,2021-02-04,3.0043,120000
KB금융,2020-11-26,3.0851,48450
롯데쇼핑,2021-03-04,3.125,132000
디아이,2021-02-15,3.2761,6620
바텍,2020-04-29,3.3708,27600
화승엔터프라이즈,2021-03-03,3.6697,16950
한전기술,2020-09-04,3.7975,20500
IHQ,2021-02-16,3.8071,2045
JB금융지주,2020-12-16,3.8206,6250
아모레G,2021-01-25,3.8462,67500
원풍,2021-02-03,3.9046,4790
황금에스티,2021-02-22,3.9236,9800
부국증권우,2020-11-23,3.9604,21000
효성첨단소재,2021-03-04,4.0373,335000
디티알오토모티브,2021-01-20,4.0564,29500
테스,2021-02-15,4.0625,33300
화승알앤에이,2021-02-23,4.1096,3800
덱스터,2021-03-04,4.1131,8100
넥센타이어1우B,2021-02-15,4.1379,3020
금화피에스시,2020-08-18,4.1379,30200
우진플라임,2020-12-29,4.2693,6350
한섬,2021-02-24,4.3421,39650
한국캐피탈,2020-11-27,4.3771,620
LF,2021-02-18,4.3887,16650
씨큐브,2020-05-29,4.4601,8900
동일금속,2021-03-04,4.6218,12450
TJ미디어,2021-02-23,4.6512,4050
삼양통상,2020-08-18,4.6757,69400
윈팩,2021-01-27,4.7359,2875
강남제비스코,2021-03-03,4.7431,26500
DGB금융지주,2020-11-18,4.7872,7880
미래에셋벤처투자,2021-03-04,4.8558,6910
캐리소프트,2021-02-22,4.8817,7090
디와이파워,2021-03-04,4.886,16100
롯데케미칼,2021-03-02,4.9689,338000
BYC우,2021-02-24,5.0,168000
라이온켐텍,2021-02-05,5.0122,8590
파세코,2020-06-04,5.042,18750
아모레G3우(전환),2020-03-06,5.0786,43450
일신방직,2021-01-18,5.0847,93000
동일산업,2021-01-25,5.0955,82500
KT,2021-02-17,5.1923,27350
GKL,2020-12-11,5.2174,18150
대신증권우,2020-12-28,5.3097,11900
퍼시스,2020-12-11,5.3512,31500
선광,2021-03-02,5.3541,30500
서울옥션,2021-02-25,5.3669,9620
오스템임플란트,2021-02-10,5.3942,76200
S-Oil,2021-02-23,5.4147,91500
코텍,2020-06-09,5.4726,10600
AP시스템,2021-02-16,5.4817,31750
DSR제강,2021-02-17,5.4945,5760
노루홀딩스,2021-02-22,5.5085,12450
롯데칠성,2021-02-09,5.5777,132500
NI스틸,2021-02-22,5.5944,3775
현대그린푸드,2020-05-18,5.6025,9990
한국가스공사,2021-01-20,5.6886,35300
코이즈,2021-02-18,5.7471,4600
무림P&P,2021-02-24,5.7491,6070
영풍,2021-02-24,5.7692,660000
하나금융지주,2021-01-13,5.8366,40800
동원개발,2021-01-06,5.8708,5410
이엠텍,2021-03-03,5.9659,18650
세아특수강,2020-06-03,6.0241,13200
삼익악기,2020-06-04,6.135,1730
케이디켐,2020-12-21,6.383,15000
SM Life Design,2021-02-16,6.4024,3490
환인제약,2021-02-16,6.4433,20650
이엔코퍼레이션,2021-03-04,6.5217,1470
듀오백,2021-02-24,6.5977,8240
KISCO홀딩스,2021-02-18,6.7114,15900
이루온,2020-04-02,6.7449,1820
코리안리,2020-04-17,6.9712,8900
위닉스,2021-02-19,7.0039,27500
롯데관광개발,2021-03-02,7.0048,22150
희림,2021-02-01,7.168,4560
넥센타이어,2021-02-10,7.1698,8520
아모레퍼시픽,2021-01-25,7.173,254000
와이엔텍,2021-02-18,7.2327,17050
아즈텍WB,2021-01-15,7.3077,2790
케이프이에스제4호,2020-06-22,7.335,2195
에이치케이,2021-01-08,7.4074,1885
NAVER,2021-02-22,7.4172,405500
라온피플,2021-03-03,7.4266,31100
국도화학,2020-12-17,7.4545,59100
SK하이닉스,2021-03-02,7.5,150500
윌비스,2021-02-10,7.5,1720
세보엠이씨,2021-03-02,7.5563,6690
대신증권2우B,2020-12-28,7.5829,11350
씨티케이코스메틱스,2020-08-13,7.619,16950
한국철강,2021-02-04,7.6261,8750
맥쿼리인프라,2020-06-01,7.6577,11950
CJ프레시웨이,2021-01-25,7.6923,23100
동성코퍼레이션,2020-12-21,7.7079,5310
BGF리테일,2021-01-29,7.7381,181000
이상네트웍스,2020-11-16,7.8023,8290
한양증권,2021-02-08,7.8049,11050
모바일리더,2021-02-23,7.8091,24850
신세계인터내셔날,2020-04-28,7.8431,220000
유진테크,2021-03-02,7.9345,42850
KSS해운,2020-11-12,8.0717,12050
비즈니스온,2021-02-22,8.1006,19350
이마트,2021-01-13,8.1921,191500
잉글우드랩,2021-01-26,8.2474,6300
코오롱인더,2021-02-16,8.2569,59000
BYC,2021-02-24,8.2645,393000
경남스틸,2021-02-24,8.2734,3010
성창기업지주,2020-12-22,8.2816,2615
펌텍코리아,2021-02-17,8.2857,18950
비에이치아이,2021-01-19,8.2935,3395
