stock,date,gap,high
원일특강,2021-06-02,0.3279,15300
리더스 기술투자,2021-03-04,0.4237,1185
맵스리얼티1,2021-06-02,0.5917,5100
글로벌텍스프리,2021-06-02,0.7444,4060
파라다이스,2021-05-31,0.7538,20050
우리금융지주,2021-05-11,0.8811,11450
바텍,2021-05-12,1.0014,35300
진로발효,2021-06-02,1.1662,34700
파마리서치,2021-06-01,1.1765,86000
SK텔레콤,2021-06-02,1.2177,332500
에스에스알,2021-05-31,1.2766,7140
씨엠에스에듀,2021-04-14,1.3245,7650
롯데손해보험,2020-06-11,1.4218,2140
넥스트아이,2021-05-31,1.4374,2470
씨큐브,2021-06-02,1.4493,9100
제주항공,2021-06-02,1.4842,27350
신한지주,2021-06-02,1.5258,43250
롯데관광개발,2021-06-02,1.5625,22750
LG유플러스,2021-06-02,1.5873,16000
맥쿼리인프라,2021-06-01,1.6064,12650
에이스침대,2020-07-01,1.686,48250
대성홀딩스,2021-05-18,1.7045,35800
삼성증권,2021-06-01,1.7076,47650
CJ우,2021-06-01,1.8018,67800
환인제약,2021-04-19,1.8182,22400
BYC우,2021-06-01,1.8325,194500
GKL,2021-05-31,1.8519,19250
원익,2021-04-06,1.913,5860
경방,2021-05-26,1.9481,15700
신영와코루,2021-05-31,1.9608,130000
코스맥스엔비티,2021-06-02,2.0833,12250
레이언스,2021-05-12,2.1429,14300
KT,2021-06-01,2.2255,34450
인포바인,2021-05-31,2.2472,22750
현대엘리베이,2021-06-01,2.3214,57300
삼양옵틱스,2021-03-26,2.3697,10800
대한항공,2021-06-02,2.3881,34300
멀티캠퍼스,2021-06-02,2.4328,40000
GS홈쇼핑,2021-06-01,2.4375,159700
삼천리,2021-06-02,2.4731,95300
S-Oil우,2021-05-18,2.5641,60000
KB금융,2021-05-11,2.5729,59800
두산인프라코어,2021-06-02,2.7397,15000
금강공업,2021-06-02,2.75,8220
제일기획,2021-06-01,2.7668,26000
기업은행,2021-05-18,2.7778,11100
신세계,2021-05-31,2.8257,327500
신화콘텍,2021-01-26,2.9004,4080
네오티스,2021-02-04,2.9083,4600
아모레G,2021-06-02,2.9374,80600
넥센타이어1우B,2021-05-10,3.0303,3740
애경산업,2021-06-01,3.0664,30250
텔코웨어,2020-06-30,3.0769,13400
호텔신라,2021-05-31,3.1031,103000
부국증권우,2021-05-11,3.1111,23200
LF,2021-06-02,3.1175,21500
디와이,2021-01-20,3.1596,6530
아진엑스텍,2021-02-17,3.1902,8410
코리아에프티,2021-06-02,3.2609,4750
CJ ENM,2021-01-26,3.2641,174000
넥센,2021-04-26,3.2882,5340
정상제이엘에스,2021-06-02,3.2982,7830
코나아이,2021-05-28,3.5011,47300
