stock,date,gap,high
삼양패키징,2021-03-18,0.2033,24650
GS홈쇼핑,2021-03-18,0.2618,153200
미원화학,2021-01-22,0.2941,68200
디티알오토모티브,2021-03-18,0.3135,32000
CJ프레시웨이,2021-03-15,0.4065,24700
국도화학,2021-03-17,0.6319,63700
대신증권우,2020-12-28,0.8475,11900
우리기술투자,2021-03-18,1.0959,7380
SNT중공업,2021-03-18,1.3871,8040
유니드,2021-03-18,1.4409,70400
신영증권,2021-03-17,1.5437,59200
동일금속,2021-03-04,1.6327,12450
한일시멘트,2021-03-18,1.6461,123500
하나투어,2021-03-16,1.707,71500
코리아에셋투자증권,2020-08-05,1.7647,8650
NAVER,2021-03-18,1.99,410000
효성화학,2021-03-18,2.0761,295000
윈팩,2021-03-18,2.0833,3185
에버다임,2021-03-12,2.1016,5830
이엠텍,2021-03-18,2.1053,19400
일신방직,2021-01-18,2.1978,93000
대신증권2우B,2020-12-28,2.2523,11350
원일특강,2021-03-18,2.2523,11350
게임빌,2021-02-16,2.2727,45000
위니아딤채,2021-03-18,2.3077,3990
현대그린푸드,2021-03-15,2.3585,10850
우진플라임,2021-03-11,2.4169,6780
한섬,2021-03-17,2.4938,41100
경동인베스트,2021-03-03,2.5,36900
삼양통상,2020-08-18,2.5111,69400
아시아경제,2020-10-14,2.5263,2435
동남합성,2020-12-28,2.5391,52500
KISCO홀딩스,2021-02-18,2.5806,15900
휴비츠,2021-02-17,2.5926,8310
LF,2021-03-18,2.6866,17200
넥센타이어1우B,2021-02-15,2.7211,3020
효성첨단소재,2021-03-17,2.751,373500
루트로닉3우C,2021-01-05,2.8249,18200
쿠쿠홀딩스,2021-03-18,2.9304,140500
코리안리,2020-04-17,3.0093,8900
KT,2021-02-17,3.0132,27350
삼영무역,2021-02-22,3.0822,15050
테이팩스,2021-02-18,3.211,45000
세아베스틸,2021-03-08,3.2544,17450
덕산네오룩스,2021-03-18,3.2672,44250
동원산업,2021-02-19,3.2787,283500
IHQ,2021-03-18,3.3333,2170
인스코비,2021-03-18,3.3774,3520
강원랜드,2021-03-18,3.3962,27400
SK네트웍스,2021-01-20,3.4783,5950
아이원스,2021-01-26,3.4946,7700
NH투자증권우,2020-12-28,3.5281,9390
