stock,date,gap,high
CJ4우(전환),2020-01-02,0.2762,72600
동운아나텍,2020-12-29,0.4032,12450
자화전자,2020-12-29,0.6579,22950
옵트론텍,2020-12-24,0.8511,11850
아비코전자,2020-12-29,1.0465,8690
한미반도체,2020-12-29,1.105,18300
LG전자,2020-12-28,1.1111,136500
아이에스동서,2020-12-29,1.1236,54000
일승,2020-09-09,1.1983,2449
삼성전기우,2020-12-18,1.3029,93300
엑시콘,2020-12-17,1.4303,16736
유니셈,2020-12-17,1.5169,8700
동양에스텍,2020-09-18,1.5385,1584
삼성전자우,2020-12-28,1.6304,74800
민앤지,2020-12-24,1.6854,18100
선진,2020-12-17,1.7699,11500
LG생활건강,2020-12-16,1.7901,1649000
성도이엔지,2020-09-23,1.8764,4615
제이티,2020-11-25,1.9305,13200
SK하이닉스,2020-12-09,2.1097,121000
현대차3우B,2020-12-28,2.1615,89800
삼성물산,2020-12-24,2.1739,141000
이건산업,2020-12-16,2.3364,10950
제우스,2020-12-29,2.4221,29600
한신공영,2020-12-14,2.6866,17200
NHN한국사이버결제,2020-08-31,2.6949,70346
미원화학,2020-11-17,2.7464,63600
인팩,2020-12-21,2.7915,6260
원익QnC,2020-12-18,2.8235,21850
엔케이맥스,2020-12-16,2.8571,21600
에코프로비엠,2020-12-29,2.8807,175000
비즈니스온,2020-12-18,2.8818,17850
현대모비스,2020-12-15,2.9354,263000
RFHIC,2020-09-18,3.0208,44880
퓨쳐켐,2020-12-29,3.0675,25200
KCC건설,2020-12-14,3.2333,8940
한국단자,2020-12-28,3.3762,64300
원익IPS,2020-12-17,3.3898,45750
LG전자우,2020-12-28,3.4483,66000
한솔테크닉스,2020-01-09,3.4483,10500
아이원스,2020-12-29,3.5211,7350
현대차,2020-12-04,3.6458,199000
일진디스플,2020-12-29,3.7049,6550
금화피에스시,2020-08-18,3.7801,30200
한독크린텍,2020-12-02,3.827,13565
세방우,2020-12-23,3.8407,7300
KG ETS,2020-12-17,3.8633,6990
SK이노베이션,2020-08-10,3.9474,197500
어보브반도체,2020-12-29,3.9548,18400
티움바이오,2020-12-29,4.0284,21950
한화시스템,2020-12-28,4.0471,16094
한국타이어앤테크놀로지,2020-12-28,4.0609,41000
원풍,2020-12-21,4.077,4595
원익,2020-12-17,4.0881,4965
현대차2우B,2020-12-16,4.1295,93300
효성티앤씨,2020-12-18,4.2654,220000
디아이,2020-08-07,4.3979,4985
싸이토젠,2020-12-29,4.4496,44600
에이테크솔루션,2020-10-13,4.5455,12650
싸이맥스,2020-12-18,4.5673,21750
HDC현대산업개발,2020-12-10,4.5977,27300
GS건설,2020-12-11,4.6296,39550
유진테크,2020-11-24,4.6477,34900
이엔드디,2020-12-17,4.6875,36850
LG화학,2020-12-04,4.733,863000
POSCO,2020-12-11,4.7794,285000
우진플라임,2020-12-29,4.7855,3175
SK머티리얼즈,2020-12-29,4.8072,375000
한국종합기술,2020-12-28,4.878,5160
미래에셋벤처투자,2020-12-03,4.9541,5720
