stock,date,gap,high
NHN한국사이버결제,2020-08-31,0.4943,70346
동양에스텍,2020-09-18,0.5714,1584
케이씨텍,2020-12-30,0.6431,31300
민앤지,2020-12-24,0.8357,18100
엘앤에프,2020-12-17,0.915,77200
삼화콘덴서,2020-02-18,1.0116,69900
스튜디오드래곤,2020-12-30,1.164,95600
코미코,2020-12-30,1.1858,51200
일승,2020-09-09,1.1983,2449
원림,2020-12-30,1.2195,20750
유틸렉스,2020-12-21,1.2407,40800
한솔케미칼,2020-12-30,1.269,199500
에코프로,2020-09-07,1.4359,37511
세방우,2020-12-23,1.5299,7300
KCC건설,2020-12-14,1.5909,8940
롯데정보통신,2020-01-20,1.6867,42200
유니퀘스트,2020-12-30,1.6949,15000
동국제강,2020-06-11,1.7281,8830
RFHIC,2020-09-18,1.7687,44880
인지컨트롤스,2020-12-30,1.7751,17200
원익QnC,2020-12-18,1.8648,21850
에프엔에스테크,2020-02-21,1.8939,13450
엔씨소프트,2020-07-06,1.9427,997000
WISCOM,2020-01-07,2.011,2790
현대로템,2020-04-21,2.0356,20050
유한양행,2020-12-21,2.0947,80859
마이크로프랜드,2020-07-03,2.1127,7250
LG생활건강,2020-12-16,2.2953,1649000
켐트로닉스,2020-12-22,2.3689,30250
한솔테크닉스,2020-01-09,2.439,10500
현대차우,2020-08-10,2.5082,94000
퀀타매트릭스,2020-12-09,2.5773,29850
비즈니스온,2020-12-18,2.5862,17850
경인전자,2020-10-22,2.6114,33400
엠투아이,2020-07-29,2.6713,9647
디아이,2020-08-07,2.6777,4985
에스엘,2020-12-02,2.6786,17250
비아트론,2020-12-21,2.6906,11450
SNT모티브,2020-08-25,2.693,57200
ISC,2020-12-21,2.7076,28450
미원화학,2020-11-17,2.7464,63600
후성,2020-09-07,2.834,12700
삼영전자,2020-12-30,2.8846,10700
이랜텍,2020-12-24,2.9032,9570
SKC,2020-08-12,2.9557,104500
대성홀딩스,2020-12-11,2.9586,26100
디스플레이텍,2020-05-21,3.0691,4030
유진테크,2020-11-24,3.1019,34900
한화시스템,2020-12-28,3.1534,16094
원익IPS,2020-12-17,3.2731,45750
현대제철,2020-12-10,3.2767,42550
효성티앤씨,2020-12-18,3.2864,220000
에이팩트,2020-07-17,3.3025,7820
하이비젼시스템,2020-12-30,3.3557,15400
테이팩스,2020-12-07,3.3722,39850
씨에스윈드,2020-12-30,3.3986,91303
티엘아이,2020-08-18,3.4261,9660
유진기업,2020-12-14,3.4447,4955
유니테스트,2020-09-09,3.5714,29000
코렌텍,2020-12-30,3.6212,18600
금호석유,2020-11-06,3.6424,156500
원익,2020-12-17,3.6534,4965
레고켐바이오,2020-12-30,3.7396,74900
오스코텍,2020-12-08,3.7736,71500
HDC현대산업개발,2020-12-10,3.8023,27300
네패스,2020-12-30,3.815,44900
DL건설,2020-07-16,3.8462,32400
엔케이맥스,2020-12-16,3.8462,21600
이엔코퍼레이션,2020-05-12,3.8809,8405
하나마이크론,2020-12-30,3.8961,12000
GS건설,2020-12-11,3.9422,39550
휴켐스,2020-11-09,3.9474,27650
현대비앤지스틸,2020-06-04,3.9801,10450
청보산업,2020-12-03,4.0042,9870
KG ETS,2020-12-17,4.0179,6990
인탑스,2020-12-30,4.0541,30800
기아,2020-12-04,4.0625,66600
대한제강,2020-12-07,4.2056,11150
하이트론,2020-12-29,4.2061,4955
어보브반도체,2020-12-29,4.2493,18400
세방,2020-12-09,4.2553,12250
싸이맥스,2020-12-18,4.3165,21750
현대에이치티,2020-12-29,4.3689,8600
POSCO,2020-12-11,4.3956,285000
기가레인,2020-12-23,4.4262,3185
인텔리안테크,2020-12-30,4.4922,53500
사조대림,2020-05-15,4.5045,17400
테스나,2020-12-30,4.5775,59400
원풍,2020-12-21,4.6697,4595
에쓰씨엔지니어링,2020-12-15,4.7552,7490
피에스텍,2020-10-12,4.7718,5050
센트럴바이오,2020-12-23,4.7945,3060
솔루에타,2020-11-25,4.9312,4575
계룡건설,2020-08-13,4.9743,30600
엘디티,2020-11-20,4.9849,3475
동진쎄미켐,2020-08-11,5.0,38850
와이아이케이,2020-07-31,5.0553,6650
서원인텍,2020-05-27,5.1059,8440
피엔티,2020-09-15,5.1081,26750
엘비세미콘,2020-12-30,5.1195,15400
올리패스,2020-12-30,5.1473,19733
신영증권,2020-08-11,5.2632,56000
키다리스튜디오,2020-09-11,5.2632,11000
인텍플러스,2020-07-23,5.2795,16950
일동홀딩스,2020-12-21,5.2817,14950
우진플라임,2020-12-29,5.3068,3175
제우스,2020-12-29,5.3381,29600
한컴위드,2020-12-22,5.3543,6690
대림B&Co,2020-12-18,5.3543,6690
KTB투자증권,2020-12-04,5.418,3405
DB금융투자,2020-11-25,5.4545,4930
동부건설,2020-12-11,5.4545,14500
SK머티리얼즈,2020-12-29,5.4556,375000
풍산,2020-12-07,5.4965,29750
모베이스전자,2020-12-28,5.5777,2650
한국종합기술,2020-12-28,5.6295,5160
DB,2020-01-06,5.6558,878
한일시멘트,2020-12-14,5.6604,112000
진성티이씨,2020-12-28,5.668,13050
에코플라스틱,2020-12-08,5.6689,2330
인선이엔티,2020-08-10,5.6769,12100
