stock,date,gap,high
쿠쿠홀딩스,2021-03-05,0.3704,135500
디씨엠,2021-02-24,0.3861,13000
신영증권우,2021-02-18,0.8757,57600
신영증권,2021-02-15,0.8772,57500
부스타,2020-09-16,1.2924,6270
JB금융지주,2020-12-16,1.461,6250
락앤락,2021-03-02,1.6779,15150
하나금융지주,2021-01-13,2.1277,40800
롯데쇼핑,2021-03-04,2.3256,132000
이즈미디어,2021-02-22,2.6549,17400
한전기술,2020-09-04,2.7569,20500
YW,2021-03-03,2.8078,4760
동일금속,2021-03-04,2.8926,12450
미원에스씨,2021-01-07,3.0172,119500
GS홈쇼핑,2020-10-29,3.0429,149000
S&T중공업,2021-03-04,3.2609,7600
한국콜마,2021-02-19,3.2759,59900
국도화학,2020-12-17,3.3217,59100
바텍,2020-04-29,3.3708,27600
강원랜드,2020-05-27,3.4884,26700
디티알오토모티브,2021-01-20,3.5088,29500
모바일리더,2021-02-23,3.5417,24850
오스템임플란트,2021-02-10,3.8147,76200
현대그린푸드,2020-05-18,3.9542,9990
금화피에스시,2020-08-18,3.9587,30200
현대상사,2021-01-08,4.0323,19350
삼양패키징,2021-03-05,4.086,24200
화승알앤에이,2021-02-23,4.1096,3800
강남제비스코,2021-03-03,4.1257,26500
넥센타이어1우B,2021-02-15,4.1379,3020
LF,2021-02-18,4.3887,16650
코텍,2020-06-09,4.4335,10600
메가스터디교육,2021-03-04,4.461,56200
동국알앤에스,2021-01-08,4.5849,4220
TJ미디어,2021-02-23,4.6512,4050
월덱스,2021-03-05,4.7085,23350
KT,2021-02-17,4.7893,27350
동일산업,2021-01-25,4.8285,82500
한국철강,2021-02-04,4.9161,8750
크라운해태홀딩스,2020-09-07,4.9474,9970
희림,2021-02-01,4.9482,4560
BYC우,2021-02-24,5.0,168000
아모레G3우(전환),2021-01-25,5.0431,42700
대신증권,2021-03-04,5.1724,15250
청보산업,2021-03-02,5.2083,15150
한국캐피탈,2020-11-27,5.2632,620
대신증권우,2020-12-28,5.3097,11900
하림지주,2021-02-22,5.3419,9860
퍼시스,2020-12-11,5.3512,31500
에버다임,2020-09-17,5.4159,5450
아모레G,2021-01-25,5.6338,67500
KISCO홀딩스,2021-02-18,5.6478,15900
GS,2021-02-23,5.6533,42050
라이온켐텍,2021-02-05,5.6581,8590
티웨이홀딩스,2021-02-26,5.7143,1665
한섬,2021-02-24,5.7333,39650
기신정기,2020-09-09,5.75,4230
NI스틸,2021-02-22,5.8906,3775
파라다이스,2021-03-04,5.9155,18800
영풍,2021-02-24,5.939,660000
CJ프레시웨이,2021-01-25,5.9633,23100
현대미포조선,2021-01-05,6.0219,58100
성창기업지주,2020-12-22,6.0852,2615
삼양통상,2020-08-18,6.1162,69400
하나투어,2021-03-02,6.135,69200
삼익악기,2020-06-04,6.135,1730
한일시멘트,2021-02-04,6.1947,120000
팜스토리,2021-02-24,6.25,2040
일신방직,2021-01-18,6.2857,93000
듀오백,2021-02-24,6.3226,8240
노루홀딩스,2021-02-22,6.4103,12450
이엔코퍼레이션,2021-03-04,6.5217,1470
케이프이에스제4호,2020-06-22,6.5534,2195
