stock,date,gap,high
인크로스,2021-02-18,0.8389,60100
신영증권우,2021-03-22,1.0345,58600
원익머트리얼즈,2021-03-22,1.2821,39500
인텍플러스,2021-02-18,1.3283,26700
희림,2021-02-01,1.4461,4560
넥스틴,2021-03-23,1.4724,82700
이녹스첨단소재,2020-09-15,1.566,53119
대신증권우,2021-03-23,1.5936,12750
파세코,2021-03-23,1.676,27300
GST,2021-03-23,1.6771,24250
아이에이네트웍스,2020-06-03,1.8789,2440
국도화학,2021-03-23,1.8898,64700
대신증권,2021-03-23,1.9481,15700
잉크테크,2021-03-15,1.9737,7750
삼양패키징,2021-03-22,2.0408,25000
동일금속,2021-03-04,2.0492,12450
신영증권,2021-03-17,2.069,59200
휴비츠,2021-02-17,2.0885,8310
에스티아이,2020-07-23,2.1687,21200
GS홈쇼핑,2021-03-23,2.1927,153800
PI첨단소재,2021-02-16,2.3711,49650
실리콘웍스,2021-03-23,2.4804,78500
코리아에셋투자증권,2020-08-05,2.4882,8650
맵스리얼티1,2020-06-02,2.4882,4325
라이온켐텍,2021-02-05,2.506,8590
JB금융지주,2021-03-19,2.5397,6460
CJ프레시웨이,2021-03-22,2.6585,25100
씨티케이코스메틱스,2021-03-10,2.6738,19200
넥센타이어1우B,2021-02-15,2.7211,3020
삼양통상,2020-08-18,2.8148,69400
오스템임플란트,2021-03-22,2.9512,90700
우진플라임,2021-03-22,3.012,6840
한섬,2021-03-17,3.1368,41100
웹젠,2021-01-22,3.2295,44750
대동기어,2021-01-21,3.3163,4050
일신방직,2021-01-18,3.3333,93000
NH투자증권우,2020-12-28,3.4141,9390
효성티앤씨,2021-03-17,3.4234,574000
삼영무역,2021-02-22,3.4364,15050
두산밥캣,2021-03-17,3.4819,37150
SBS콘텐츠허브,2020-06-23,3.5461,7300
에이치케이,2021-01-08,3.5714,1885
노루홀딩스,2021-02-22,3.75,12450
데브시스터즈,2021-03-23,3.7572,107700
금화피에스시,2020-08-18,3.7801,30200
한라IMS,2020-06-04,3.781,7960
SNT홀딩스,2021-03-23,3.7879,20550
아이원스,2021-03-23,3.815,8980
원림,2021-03-23,3.9046,23950
싸이맥스,2021-01-25,3.9216,23850
바다로19호,2020-07-20,3.9293,2645
S&T중공업,2021-03-04,3.9672,7600
에스제이그룹,2021-03-23,3.9832,24800
이엠텍,2021-03-22,3.9894,19550
베스파,2021-02-09,4.0,23400
경동인베스트,2021-03-22,4.0278,37450
코스맥스,2020-10-12,4.0816,127500
화승알앤에이,2021-02-23,4.1096,3800
강원랜드,2021-03-18,4.1825,27400
선광,2021-03-02,4.2735,30500
서울옥션,2021-03-23,4.2904,15800
동원개발,2021-03-16,4.3071,5570
코텍,2021-03-22,4.3269,10850
현대건설기계,2021-03-16,4.3478,52800
동성화인텍,2020-11-25,4.4177,13000
한국경제TV,2021-03-10,4.4349,7300
부스타,2021-03-19,4.4684,6780
하나금융지주,2021-03-19,4.5177,42800
대성홀딩스,2021-02-08,4.5455,29900
대신증권2우B,2021-03-23,4.5643,12600
이상네트웍스,2020-11-16,4.6717,8290
더네이쳐홀딩스,2021-03-08,4.7285,59800
세아베스틸,2021-03-23,4.7337,17700
세아특수강,2021-03-08,4.7431,13250
IHQ,2021-03-18,4.8309,2170
덴티움,2021-03-16,4.8513,67000
사람인에이치알,2021-02-18,4.8819,33300
싸이토젠,2021-03-15,5.0251,62700
진로발효,2020-05-25,5.0325,32350
동일산업,2021-01-25,5.0955,82500
SNT에너지,2021-03-23,5.1136,18500
아모레G3우(전환),2021-01-25,5.1724,42700
미원에스씨,2021-03-23,5.2055,192000
한양증권,2021-02-08,5.2381,11050
테스,2021-03-19,5.2632,35000
골프존뉴딘홀딩스,2020-11-06,5.2632,7400
신세계인터내셔날,2020-04-28,5.2632,220000
KB금융,2021-03-11,5.2941,53700
현대그린푸드,2021-03-15,5.3398,10850
원익IPS,2021-01-22,5.3435,55200
한신기계,2021-02-10,5.3476,1970
인포바인,2020-03-31,5.3922,21500
에이피티씨,2021-03-23,5.3996,24400
호텔신라,2021-01-18,5.4524,90900
황금에스티,2021-03-22,5.4827,8850
카카오,2021-02-16,5.4878,519000
부국증권우,2020-11-23,5.5276,21000
유니켐,2020-04-29,5.6075,1695
파라다이스,2021-03-04,5.618,18800
한독크린텍,2021-03-23,5.6548,35500
맥쿼리인프라,2020-06-01,5.7522,11950
하나투어,2021-03-16,5.7692,71500
신세계푸드,2020-05-14,5.7718,78800
아세아,2021-02-04,5.8263,99900
나노스,2021-03-17,5.8537,8680
이글루시큐리티,2021-02-04,5.8824,6840
대한제당우,2021-03-03,5.8968,21550
디티알오토모티브,2021-03-22,5.9211,32200
NAVER,2021-03-18,5.9432,410000
한국조선해양,2021-01-06,5.9574,124500
한국콜마,2021-02-19,6.0177,59900
세아홀딩스,2020-12-09,6.0645,82200
제룡전기,2021-02-18,6.0897,6620
유진기업,2021-01-20,6.1144,5380
인바디,2020-05-11,6.1538,20700
S&T홀딩스,2021-01-21,6.1662,19800
LF,2021-03-18,6.1728,17200
락앤락,2021-03-11,6.1856,15450
퍼시스,2020-12-11,6.2395,31500
삼성카드,2020-12-22,6.25,35700
크리스에프앤씨,2021-03-23,6.25,34000
에이스토리,2021-01-21,6.2967,49800
동국제강,2021-03-23,6.3348,11750
게임빌,2021-03-23,6.3388,48650
파인테크닉스,2020-08-04,6.3636,5850
BNK금융지주,2021-03-19,6.4122,6970
정상제이엘에스,2020-11-12,6.4163,6800
SK네트웍스,2021-01-20,6.4401,5950
지란지교시큐리티,2020-05-18,6.4567,6760
와토스코리아,2021-02-04,6.4698,7570
SNK,2021-02-19,6.4771,33700
디에스티,2020-03-27,6.4865,394
이엔코퍼레이션,2021-03-04,6.5217,1470
피제이메탈,2021-03-12,6.5637,2760
코리안리,2020-04-17,6.5868,8900
