stock,date,gap,high
잉크테크,2021-03-09,0.1672,5990
대신증권2우B,2020-12-28,0.4425,11350
대신증권우,2020-12-28,0.8475,11900
신영증권,2021-02-15,0.8772,57500
코이즈,2021-03-08,1.378,5150
덴티움,2021-03-08,1.5823,64200
아스트,2020-03-11,1.8045,6770
바텍,2020-04-29,1.845,27600
한전기술,2021-03-09,1.9608,20800
동일금속,2021-03-04,2.0492,12450
KT,2021-02-17,2.0522,27350
화승엔터프라이즈,2021-03-10,2.0588,17350
우노앤컴퍼니,2021-03-10,2.1828,7490
신영증권우,2021-03-09,2.2928,58000
액션스퀘어,2021-02-18,2.3256,2420
원일특강,2021-03-10,2.3474,10900
국도화학,2021-03-10,2.5641,60000
티케이케미칼,2021-02-02,2.7818,3510
KISCO홀딩스,2021-02-18,2.9126,15900
쿠쿠홀딩스,2021-03-09,2.952,139500
미원상사,2021-02-22,3.0387,186500
대신증권,2021-03-04,3.0405,15250
한국철강,2021-02-04,3.3058,8750
금화피에스시,2020-08-18,3.6021,30200
현대그린푸드,2020-05-18,3.6307,9990
DGB금융지주,2021-03-09,3.6896,8150
LF,2021-02-18,3.7383,16650
삼양패키징,2021-03-05,3.8627,24200
현대미포조선,2021-03-09,3.8664,59100
한일시멘트,2021-02-04,3.8961,120000
세아특수강,2021-03-08,3.9216,13250
제이에스코퍼레이션,2021-03-02,3.9216,13250
넥센타이어1우B,2021-02-15,3.9587,3020
S&T중공업,2021-03-04,3.9672,7600
동원개발,2021-01-06,4.0385,5410
GS홈쇼핑,2020-10-29,4.0503,149000
CJ프레시웨이,2021-01-25,4.0541,23100
화승알앤에이,2021-02-23,4.1096,3800
알톤스포츠,2021-03-08,4.1667,5750
오뚜기,2020-08-12,4.3261,627000
코리아에셋투자증권,2020-08-05,4.3426,8650
신세계,2021-03-09,4.3478,300000
강원랜드,2020-05-27,4.501,26700
하나투어,2021-03-02,4.5317,69200
삼성카드,2020-12-22,4.5388,35700
뉴프라이드,2020-03-11,4.6025,750
부스타,2021-03-10,4.6205,6340
BGF리테일,2021-01-29,4.6243,181000
진로발효,2020-05-25,4.8622,32350
효성티앤씨,2021-02-03,5.0104,503000
씨큐브,2020-05-29,5.0767,8900
동일산업,2021-01-25,5.0955,82500
디아이,2021-03-10,5.1136,7400
BYC우,2021-02-24,5.3292,168000
미래에셋벤처투자,2021-03-04,5.3354,6910
IHQ,2021-02-16,5.4124,2045
선광,2021-03-02,5.5363,30500
강남제비스코,2021-03-03,5.5777,26500
파라다이스,2021-03-04,5.618,18800
삼양통상,2020-08-18,5.7927,69400
더네이쳐홀딩스,2021-03-08,5.8407,59800
롯데쇼핑,2021-03-09,5.8824,135000
듀오백,2021-02-24,5.9126,8240
일신방직,2021-01-18,6.0433,93000
제주항공,2021-03-08,6.087,24400
싸이토젠,2021-01-22,6.1644,62000
S&T홀딩스,2021-01-21,6.1662,19800
코리안리,2020-04-17,6.2053,8900
코텍,2020-06-09,6.2124,10600
NH투자증권우,2020-12-28,6.2217,9390
한양증권,2021-02-08,6.25,11050
희림,2021-02-01,6.2937,4560
테스,2021-03-08,6.3191,33650
이엔코퍼레이션,2021-03-04,6.5217,1470
휴비츠,2021-02-17,6.5385,8310
현대백화점,2021-03-09,6.576,94000
한국콜마,2021-02-19,6.5836,59900
한섬,2021-02-24,6.586,39650
부국증권우,2020-11-23,6.599,21000
메가스터디교육,2021-03-04,6.6414,56200
맥쿼리인프라,2020-06-01,6.6964,11950
티웨이홀딩스,2021-02-26,6.7308,1665
신한지주,2020-06-04,6.9209,37850
대원화성,2020-05-27,6.9544,2230
우리금융지주,2020-06-04,6.9652,10750
아모레G3우(전환),2021-01-25,7.0175,42700
제이콘텐트리,2021-03-05,7.0513,50100
케이프이에스제4호,2020-06-22,7.0732,2195
월덱스,2021-03-05,7.1101,23350
HB테크놀러지,2021-02-18,7.1429,3075
세아홀딩스,2020-12-09,7.3107,82200
