stock,date,gap,high
인포바인,2021-05-31,0.4415,22750
디와이,2021-01-20,0.4615,6530
휴비츠,2021-06-03,0.4902,10250
맥쿼리인프라,2021-06-01,0.7968,12650
넥센타이어1우B,2021-05-10,0.8086,3740
신한지주,2021-06-02,0.8159,43250
하이골드3호,2021-06-04,0.8264,1830
E1,2021-06-03,0.846,59600
CJ4우(전환),2021-06-01,0.8734,92400
지역난방공사,2021-06-03,1.0941,46200
트루윈,2021-06-04,1.1421,7970
GS글로벌,2021-04-27,1.2346,3280
우리금융지주,2021-06-04,1.2876,11800
BYC우,2021-06-01,1.3021,194500
기업은행,2021-06-04,1.3636,11150
서전기전,2021-05-11,1.3817,5870
삼성화재,2021-05-13,1.3825,220000
맵스리얼티1,2021-06-02,1.3917,5100
3S,2021-04-27,1.4286,3195
신영와코루,2021-05-31,1.5625,130000
에스텍,2021-06-03,1.5936,12750
에이스침대,2020-07-01,1.686,48250
GS홈쇼핑,2021-06-01,1.7197,159700
신도리코,2021-06-03,1.8207,36350
인바디,2021-06-01,1.8395,30450
쌍용C&E,2021-04-26,1.875,8150
현대로템,2021-01-05,1.8908,24250
넥센,2021-04-26,1.9084,5340
하나금융지주,2021-06-04,1.9108,48000
인터로조,2021-06-03,1.9231,26500
엔피케이,2021-06-03,1.9397,2365
레이언스,2021-05-12,2.1429,14300
신영증권,2021-06-03,2.1739,65800
환인제약,2021-04-19,2.2831,22400
아모레G3우(전환),2021-06-03,2.3438,52400
SK네트웍스,2021-06-02,2.455,6260
삼성증권,2021-06-01,2.4731,47650
한국공항,2021-06-03,2.5048,53200
롯데지주,2021-06-03,2.6159,43150
현대에버다임,2021-06-03,2.6941,6480
삼성화재우,2020-10-26,2.7356,169000
교보증권,2021-05-11,2.7503,9340
SK텔레콤,2021-06-02,2.7821,332500
진로발효,2021-06-02,2.8148,34700
씨큐브,2021-06-02,2.8249,9100
DL이앤씨,2021-05-12,2.847,144500
우리로,2020-06-09,2.8796,1965
CJ우,2021-06-01,2.8832,67800
GKL,2021-05-31,2.9412,19250
서부T&D,2021-06-03,2.9443,9790
DGB금융지주,2021-06-04,2.9443,9790
디티알오토모티브,2021-05-31,3.0184,39250
글로벌텍스프리,2021-06-02,3.0457,4060
바텍,2021-05-12,3.0657,35300
KB금융,2021-05-11,3.1034,59800
부국증권우,2021-05-11,3.1111,23200
LF,2021-06-02,3.1175,21500
에스엠,2021-06-03,3.1556,47400
DB손해보험,2021-06-03,3.1558,52300
한화3우B,2021-01-26,3.1646,16300
동일금속,2021-05-11,3.2258,14400
한일사료,2021-05-25,3.2258,2720
미래에셋생명,2021-05-13,3.2843,4560
신화콘텍,2021-01-26,3.2911,4080
서한,2021-05-11,3.2995,2035
대우조선해양,2021-05-11,3.4264,40750
엠케이전자,2021-02-17,3.4884,13350
강원랜드,2021-06-03,3.5026,29550
신라교역,2021-06-03,3.5336,14650
롯데손해보험,2021-06-04,3.5629,2180
한국콜마,2021-06-03,3.6304,62800
엘디티,2021-06-04,3.6364,5700
하이골드12호,2020-12-07,3.6585,2550
에스에스알,2021-06-04,3.6827,7320
HDC현대산업개발,2021-02-04,3.6977,32250
인피니트헬스케어,2020-06-25,3.7081,8670
동양,2021-04-28,3.7162,1535
한국캐피탈,2021-05-21,3.7204,920
파마리서치,2021-06-01,3.7394,86000
선도전기,2021-04-30,3.7471,4430
KT,2021-06-01,3.7651,34450
제일기획,2021-06-01,3.7924,26000
현대홈쇼핑,2021-05-14,3.8002,95600
아진엑스텍,2021-02-17,3.8272,8410
한국쉘석유,2020-12-21,3.8732,295000
텔코웨어,2020-06-30,3.876,13400
동아지질,2021-06-02,3.8961,24000
LG유플러스,2021-06-02,3.8961,16000
JB금융지주,2021-05-14,3.8961,8000
동방아그로,2021-05-12,3.8977,8530
현대건설,2021-06-02,3.9076,58500
정상제이엘에스,2021-06-02,3.9841,7830
한국패러랠,2020-06-24,4.0,2080
삼영전자,2021-06-03,4.0441,14150
원익,2021-04-06,4.0853,5860
롯데관광개발,2021-06-02,4.119,22750
CJ제일제당,2021-06-01,4.1357,491000
동원산업,2021-05-13,4.2088,309500
유진기업,2021-04-09,4.2484,6380
선광,2021-05-17,4.25,41700
쿠쿠홀딩스,2021-04-27,4.3321,144500
대모,2021-04-26,4.3675,6930
신세계인터내셔날,2021-05-31,4.386,238000
S-Oil,2021-06-03,4.3902,107000
코리안리,2021-05-13,4.5082,10200
한화에어로스페이스,2021-05-26,4.5168,49750
코텍,2021-06-01,4.5267,12700
감성코퍼레이션,2021-06-04,4.5307,1615
서희건설,2021-06-03,4.5977,2275
본느,2021-05-28,4.6095,4085
BNK금융지주,2021-05-13,4.625,8370
아모레G,2021-06-02,4.6753,80600
휴젤,2020-10-23,4.7294,230300
고려시멘트,2021-04-09,4.7676,4395
한국전자인증,2021-06-04,4.7847,10950
핌스,2021-04-27,4.7847,21900
하림,2021-06-01,4.812,3485
토비스,2020-11-24,4.8232,9780
경동나비엔,2021-05-27,4.8437,67100
롯데정보통신,2021-01-06,4.8521,44300
광진실업,2021-05-11,4.8673,7110
사조오양,2021-06-03,4.9587,12700
파라다이스,2021-05-31,4.9738,20050
