stock,date,gap,high
리더스 기술투자,2021-02-16,0.2045,980
원림,2021-02-26,0.7177,21050
SGA클라우드서비스,2020-06-26,1.1824,2995
한빛소프트,2020-07-31,1.3238,4975
신세계,2021-02-24,1.982,283000
파라다이스,2021-02-24,1.983,18000
동일금속,2021-01-15,2.0576,12400
S&T중공업,2021-01-21,2.069,7400
디와이파워,2021-02-22,2.3973,14950
한일시멘트,2021-02-04,2.5641,120000
우진플라임,2020-12-29,2.5848,6350
넥센타이어,2021-02-10,2.7744,8520
한섬,2021-02-24,2.987,39650
금화피에스시,2020-08-18,3.2479,30200
신영증권우,2021-02-18,3.4111,57600
대한그린파워,2021-02-26,3.4169,2270
신영증권,2021-02-15,3.4173,57500
한국콜마,2021-02-19,3.4542,59900
넥센타이어1우B,2021-02-15,3.6021,3020
메이슨캐피탈,2020-05-08,3.6585,510
POSCO,2021-01-07,3.6842,295500
경동인베스트,2020-03-03,3.7325,33350
현대백화점,2021-01-25,3.7713,85300
윌비스,2021-02-10,3.9275,1720
대신증권,2020-11-17,3.9427,14500
TJ미디어,2021-02-23,3.9795,4050
디씨엠,2021-02-24,4.0,13000
화승알앤에이,2021-02-23,4.1096,3800
롯데쇼핑,2021-02-23,4.1152,126500
미원에스씨,2021-01-07,4.3668,119500
에이펙스인텍,2021-02-16,4.4776,14000
메가스터디교육,2021-02-19,4.5283,55400
삼양패키징,2020-09-21,4.5455,23000
한국캐피탈,2020-11-27,4.5531,620
듀오백,2021-02-24,4.5685,8240
덴티움,2021-02-26,4.6667,62800
라온피플,2021-02-18,4.7535,29750
KT,2021-02-17,4.7893,27350
서울옥션,2021-02-25,5.1366,9620
서전기전,2021-02-25,5.1995,4350
현대그린푸드,2020-05-18,5.2687,9990
퍼시스,2020-12-11,5.3512,31500
동일산업,2021-01-25,5.4987,82500
국도화학,2020-12-17,5.5357,59100
카카오,2021-02-16,5.5951,519000
파크시스템스,2021-02-25,5.6604,128800
BNK금융지주,2020-03-03,5.7239,6280
한세실업,2020-10-22,5.7971,21900
아모레G,2021-01-25,5.7994,67500
바이오프로테크,2020-03-11,5.802,3100
엔텔스,2021-02-17,5.8824,13500
미래에셋벤처투자,2021-01-14,5.9375,6780
NEW,2021-02-05,5.9406,10700
바텍,2020-04-29,5.9501,27600
제주항공,2021-02-24,5.9603,24000
BYC우,2021-02-24,5.9937,168000
팬오션,2021-02-23,6.0391,5970
한일네트웍스,2021-02-22,6.0714,5940
무림P&P,2021-02-24,6.1189,6070
금호타이어,2020-09-17,6.2035,4280
YW,2020-07-21,6.2356,4600
KG케미칼,2021-02-25,6.2385,28950
비즈니스온,2021-02-22,6.3187,19350
솔브레인,2021-02-22,6.3548,329700
삼표시멘트,2021-02-04,6.391,5660
지엔원에너지,2021-02-18,6.4551,4865
IHQ,2021-02-16,6.5104,2045
케이프이에스제4호,2020-06-22,6.5534,2195
테스,2021-02-15,6.56,33300
부국증권우,2020-11-23,6.599,21000
GS홈쇼핑,2020-10-29,6.6571,149000
환인제약,2021-02-16,6.7183,20650
동양철관,2021-02-26,6.7669,1420
제일제강,2021-01-29,6.8047,3610
디티알오토모티브,2020-03-04,6.81,29800
부스타,2020-09-16,6.8143,6270
엠게임,2021-02-18,6.8571,7480
코콤,2021-01-28,6.9156,7730
동원개발,2021-01-06,6.917,5410
강남제비스코,2020-12-16,6.9264,24700
JB금융지주,2020-12-16,7.0205,6250
세아베스틸,2021-02-24,7.1672,15700
맥쿼리인프라,2020-06-01,7.1749,11950
다우기술,2021-01-27,7.2222,28950
진에어,2021-02-26,7.2289,22250
마이크로프랜드,2021-02-10,7.2319,8600
일신방직,2021-01-18,7.2664,93000
경창산업,2021-02-16,7.2698,3320
현대공업,2021-01-08,7.2727,11800
올리패스,2021-02-09,7.2808,36100
세아특수강,2020-06-03,7.3171,13200
노루홀딩스,2021-02-22,7.3276,12450
한솔케미칼,2021-02-22,7.3684,255000
NAVER,2021-02-22,7.4172,405500
동성코퍼레이션,2020-12-21,7.4899,5310
하나금융지주,2021-01-13,7.6517,40800
원일특강,2020-05-08,7.7086,10200
에이치케이,2021-01-08,7.7143,1885
다나와,2021-02-16,7.8125,37950
