,종목명,현재가,전일비,등락률,액면가,거래량,거래대금,전일거래량,시가,고가,저가,매수호가,매도호가,매수총잔량,매도총잔량,상장주식수,시가총액,매출액,자산총계,부채총계,영업이익,당기순이익,주당순이익,보통주배당금,매출액증가율,영업이익증가율,외국인비율,PER,ROE,ROA,PBR,유보율
21,SK바이오사이언스,"272,500","7,500",-2.68%,500,"1,566,139","428,702","683,777","275,000","281,500","271,000","272,000","272,500","167,891","103,508","76,500","208,462","2,256","5,622","2,984",377,329,"2,053",N/A,22.66,65.42,5.09,132.73,13.25,6.81,15.51,763.9
22,신한지주,"38,700",50,-0.13%,"5,000","1,068,507","41,183","765,677","38,400","38,700","38,300","38,650","38,700","260,827","146,170","516,600","199,924","290,007","6,052,341","5,588,772","49,297","34,981","7,727","1,500",-3.35,-2.31,60.34,5.01,8.20,0.60,0.45,"1,483.4"
23,SK,"273,500","2,000",+0.74%,200,"313,297","85,986","281,369","272,500","278,000","269,000","273,000","273,500","28,333","36,913","70,360","192,435","818,201","1,376,384","857,785","-1,645","-1,084","15,493","7,000",-16.35,-104.40,19.44,17.65,1.11,-0.08,0.72,"127,125.6"
24,SK아이이테크놀로지,"224,500","1,500",+0.67%,"1,000","270,861","60,637","443,622","224,500","227,500","218,500","224,000","224,500","25,387","34,011","71,298","160,063","4,693","19,916","7,834","1,252",882,"1,521",0,78.42,55.44,9.57,147.60,11.00,6.36,7.33,"1,864.3"
25,한국전력,"24,500",250,+1.03%,"5,000","2,375,953","57,696","1,605,275","24,250","24,500","24,050","24,450","24,500","505,261","295,146","641,964","157,281","585,693","2,031,421","1,324,753","40,863","20,925","1,857","1,216",-1.02,420.11,15.00,13.19,2.91,1.04,0.23,"1,657.5"
26,HMM,"38,550",600,+1.58%,"5,000","5,451,193","208,576","3,085,336","38,000","38,550","37,500","38,550","38,600","157,255","481,080","405,392","156,279","64,133","93,734","76,848","9,808","1,240","1,579",0,16.33,427.26,9.51,24.41,8.93,1.50,3.02,-176.1
27,LG,"94,600",200,-0.21%,"5,000","202,998","19,100","151,108","93,500","94,700","93,100","94,500","94,600","31,558","20,408","157,301","148,807","66,321","242,823","34,210","17,022","15,407","15,963","2,500",1.50,71.20,33.47,5.93,7.50,6.60,0.74,"2,245.6"
28,삼성생명,"72,800",300,-0.41%,500,"283,801","20,651","223,861","73,000","73,100","72,500","72,700","72,800","47,951","49,505","200,000","145,600","345,343","3,365,693","2,929,587","17,900","13,705","8,759","2,500",8.59,42.91,13.00,8.31,3.53,0.42,0.33,"45,621.0"
29,삼성전기,"178,500","1,000",-0.56%,"5,000","358,538","64,060","409,939","180,000","181,500","177,000","178,500","179,000","95,626","55,488","74,694","133,328","82,087","92,255","33,151","8,291","6,238","11,471","1,400",6.35,11.91,32.88,15.56,10.92,6.97,2.16,"1,319.2"
30,하나금융지주,"44,400",350,-0.78%,"5,000","879,199","39,031","731,515","44,400","44,750","44,150","44,300","44,400","133,677","90,269","300,242","133,307","482,159","4,603,133","4,287,130","38,364","26,849","10,139","1,850",25.62,17.73,68.15,4.38,8.96,0.61,0.40,"2,025.0"
